1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
PHM 1:17	ដូច្នេះ ប្រសិនបើ​លោកប្អូន​ចាត់ទុក​ខ្ញុំ​ជា​បងប្អូន​រួម​ជំនឿ​មែន សូម​ទទួលយក​គាត់​ឲ្យបាន​ដូចជា​ទទួលយក​ខ្ញុំ​ដែរ​។
PHM 1:18	ប្រសិនបើ គាត់​ធ្វើអ្វី​ខុស​ចំពោះ​លោកប្អូន ឬ​ប្រសិនបើ​គាត់​ជំពាក់​អ្វី​លោកប្អូន សូម​គិត​លើ​ខ្ញុំ​ចុះ​។
PHM 1:19	ខ្ញុំ ប៉ូល ខ្ញុំ​សរសេរ​ពាក្យ​ទាំងនេះ​ដោយដៃ​ខ្ញុំ​ផ្ទាល់​ថា ខ្ញុំ​នឹង​សង​លោកប្អូន​វិញ (តែ​ខ្ញុំ​មិន​ចាំបាច់​រំឭក​ទេ​ថា លោកប្អូន​ក៏​នៅ​ជំពាក់​ខ្ញុំ​ដែរ​នោះ​ទេ)។
PHM 1:20	លោកប្អូន​អើយ សូម​លោកប្អូន​មេត្តា​ជួយ​ខ្ញុំ ដោយ​យល់​ដល់​ព្រះនាម​ព្រះ‌អម្ចាស់ ហើយ​សូម​ធ្វើឲ្យ​ចិត្ត​ខ្ញុំ​បាន​ធូរស្បើយ​ក្នុង​អង្គ​ព្រះ‌គ្រិស្ដ​ផង​។
PHM 1:21	ខ្ញុំ​សូម​សរសេរ​មក​លោកប្អូន ដោយ​ភាព​ជឿជាក់​ថា លោកប្អូន​មុខ​ជា​ស្ដាប់​តាម​សំណូមពរ​របស់ខ្ញុំ​។ ខ្ញុំ​ក៏​ដឹង​ថា លោកប្អូន​នឹង​ធ្វើ​លើស​ពី​ពាក្យ​ដែល​ខ្ញុំ​សុំ​នេះ​ទៅទៀត​។
PHM 1:22	ក្នុង​ពេល​ជាមួយគ្នា​នេះ សូម​លោកប្អូន​រៀបចំ​កន្លែង​មួយ​សម្រាប់​ឲ្យ​ខ្ញុំ​ស្នាក់នៅ​ផង ដ្បិត​ខ្ញុំ​សង្ឃឹមថា ដោយសារ​បងប្អូន​បាន​ទូល‌អង្វរ​ព្រះ‌ជា‌ម្ចាស់​ឲ្យ​ខ្ញុំ នោះ​ខ្ញុំ​នឹង​បាន​មក​ជួប​បងប្អូន​ជាក់ជា​មិនខាន​។
PHM 1:23	លោក​អេ​ប៉ា‌ប្រាស​ដែល​បាន​ជាប់ឃុំ‌ឃាំង​ជាមួយនឹង​ខ្ញុំ ព្រោះតែ​ព្រះ​គ្រិស្ដ‌យេស៊ូ សូមជម្រាប​សួរ​មក​លោកប្អូន
PHM 1:24	ហើយ​ព្រមទាំង​លោក​ម៉ាកុស លោក​អើ​រី‌ស្ដា​ក លោ​ក​ដេម៉ា​ស និង​លោក​លូកា ដែល​រួមការ‌ងារ​របស់ខ្ញុំ​ដែរ​។
PHM 1:25	សូម​ព្រះ‌គុណ​របស់​ព្រះ‌អម្ចាស់​យេស៊ូ​គ្រិស្ដ​នៃ​យើង ស្ថិតនៅ​ជាប់​ជាមួយ​វិញ្ញាណ​របស់​លោកប្អូន​។ អា​ម៉ែ​ន​។
PHP 1:1	ខ្ញុំ ប៉ូល និង​ធីម៉ូថេ គឺជា​អ្នកបម្រើ​របស់​ព្រះគ្រិស្ត​យេស៊ូ សូមជម្រាប​មកដល់​អស់អ្នក​ដែល​បាន​ញែក​សម្រាប់​ព្រះ​គ្រិស្ដ‌យេស៊ូ​នៅ​ក្រុង​ភីលីព ព្រមទាំង​អ្នកដឹកនាំ និង​អ្នកបម្រើ​ទាំងអស់​។
PHP 1:2	សូម​ព្រះ‌គុណ និង​សេចក្ដីសុខ‌សាន្ត​បាន​ផ្តល់​ដល់​បងប្អូន មក​ពី​ព្រះ‌ជា​ម្ចាស់​ជា​ព្រះ‌បិតា​របស់​យើង និង​ព្រះ‌អម្ចាស់​យេស៊ូ​គ្រិស្ដ​។
PHP 1:3	ខ្ញុំ​តែងតែ​អរ​ព្រះ‌គុណព្រះ‌ជា​ម្ចាស់​របស់ខ្ញុំ​ជានិច្ច នៅពេល​ខ្ញុំ​នឹកគិត​ដល់​បងប្អូន
PHP 1:4	ខ្ញុំ​តែងតែ​អធិស្ឋាន​សម្រាប់​បងប្អូន​ដោយចិត្ត​រីក‌រាយ ដែល​ខ្ញុំ​បាន​ទូល​អង្វរ​។ 
PHP 1:5	ខ្ញុំ​អរគុណ​ដល់​ព្រះជាម្ចាស់ សម្រាប់​បងប្អូន​ដែល​បាន​រួមចំណែក​ក្នុង​ការផ្សាយ​ដំណឹង‌ល្អ តាំងពី​ថ្ងៃ​ដំបូង​រហូតមកដល់​សព្វថ្ងៃ​។
PHP 1:6	ខ្ញុំ​ជឿជាក់​ថា ក្នុង​គ្រប់ការ​ទាំងអស់ ដែល​ព្រះជាម្ចាស់​បាន​ផ្តើម​ការ​ល្អ​នៅក្នុង​បងប្អូន នោះ​ព្រះអង្គ​នឹង​បង្ហើយ រហូតដល់​ថ្ងៃ​ព្រះយេស៊ូ​គ្រិស្ត​យាង​មក​។
PHP 1:7	ជា​ការត្រឹមត្រូវ​ណាស់ ដែល​ខ្ញុំ​មាន​អារម្មណ៍​បែបនេះ​ជាមួយ​បងប្អូន​ទាំងអស់គ្នា ដោយសារតែ​បងប្អូន​ស្ថិតនៅ​ក្នុង​ដួងចិត្ត​របស់ខ្ញុំ​។ បងប្អូន​ទាំងអស់គ្នា​ក្លាយជា​គូកន​របស់ខ្ញុំ ដោយ​ព្រះគុណ​រួម​ទាំង​ពេល​ដែល​ខ្ញុំ​នៅ​ជាប់ឃុំឃាំង ហើយ​ដើម្បី​ការពារ និង​ប្រកាសដំណឹង​ល្អ​របស់​ព្រះជាម្ចាស់​។
PHP 1:8	ព្រះ‌ជា​ម្ចាស់​ជា​សាក្សី​ស្រាប់ហើយ​ថា ខ្ញុំ​ស្រឡាញ់​បងប្អូន​ទាំងអស់គ្នា​យ៉ាង​ខ្លាំង ដោយចិត្ត​អាណិត​មេត្តា​មក​ពី​ព្រះ​គ្រិស្ដ‌យេស៊ូ​។
PHP 1:9	នេះ​ជា​ពាក្យ​អធិស្ឋាន​របស់ខ្ញុំ សូមឲ្យ​បងប្អូន​មាន​សេចក្ដី​ស្រឡាញ់​កាន់តែ​ខ្លាំង​ឡើង​ៗ ធ្វើឲ្យ​បងប្អូន​ចេះដឹង​ច្បាស់ និង​យល់​សព្វគ្រប់​ទាំងអស់​។
PHP 1:10	និង​សូមឲ្យ​បងប្អូន​ចេះ​ពិចារណាមើល​ថា ការអ្វី​ប្រសើរ​ជាងគេ ដូច្នេះ នៅ​ថ្ងៃ​ព្រះ‌គ្រិស្ដ​យាង​មក បងប្អូន​នឹង​បាន​វិសុទ្ធ គ្មាន​កំហុស​អ្វី​ឡើយ​។
PHP 1:11	ហើយ​សូមឲ្យ​បងប្អូន​បាន​ពោរ‌ពេញដោយ​ផល​នៃ​សេចក្ដី​សុចរិត ដែល​មក​ពី​ព្រះ‌យេស៊ូ​គ្រិស្ដ ដើម្បី​លើកតម្កើង​សិរី‌រុងរឿង និង​សរសើរ​តម្កើង​ព្រះ‌ជា​ម្ចាស់​។
PHP 1:12	បងប្អូន​អើយ ឥឡូវ​ខ្ញុំ​ចង់​ប្រាប់​ឲ្យបាន​ដឹង​ថា អ្វី​ដែល​បាន​កើតឡើង​ដល់​រូប​ខ្ញុំ​ក្នុង​ការបម្រើ​នោះ ដើម្បី​ចំណេញ​សម្រាប់​ដំណឹងល្អ​វិញ​។
PHP 1:13	ការ​នេះ​បានឃើញ​យ៉ាង​ច្បាស់ នៅពេល​ដែល​ខ្ញុំ​ជាប់ឃុំឃាំង​ព្រោះ​ព្រះគ្រិស្ត​ដូចជា​ពន្លឺ​ដែល​ភ្លឺ​ឲ្យ​ទាំង​អ្នកយាម​ព្រះរាជវាំង និង​មនុស្ស​គ្រប់គ្នា​បានឃើញ​ផង​ដែរ​។
PHP 1:14	ដោយសារតែ​ខ្ញុំ​ជាប់ឃុំ‌ឃាំង​នេះ​ហើយ បងប្អូន​ភាគច្រើន​បាន​ទុកចិត្ត​លើ​ព្រះ‌អម្ចាស់ ហើយ​ពួកគេ​ក៏បាន​ការ​លើកទឹកចិត្ត​ក្លាហាន ក្នុង​ការប្រកាស​ព្រះ‌បន្ទូល​របស់​ព្រះ ដោយ​ឥត្ខ្លាច​ឡើយ​។
PHP 1:15	មាន​បងប្អូន​ខ្លះ​ប្រកាសដំណឹង‌ល្អ​អំពី​ព្រះ‌គ្រិស្ដ ដោយចិត្ត​ច្រណែន‌ឈ្នានីស ចង់​ប្រណាំងប្រជែង តែ​បងប្អូន​ខ្លះទៀត​ថ្លែង​ព្រះបន្ទូល​ដោយមាន​បំណង​ល្អ​។
PHP 1:16	ក្រោយមក ពួកគេ​ធ្វើ​ដោយ​ចេញពី​ក្តី​ស្រឡាញ់ និង​ដឹង​ថា​ព្រះ‌អម្ចាស់​បាន​ដាក់​ខ្ញុំ​កន្លែង​នេះ ដើម្បី​ការពារ​ដំណឹង‌ល្អ​។
PHP 1:17	ប៉ុន្តែ អ្នក​ដែល​ផ្សាយដំណឹង​ពីមុន​អំពី​ព្រះ‌គ្រិស្ដ ដើម្បី​ធ្វើ​ដោយ​គំនិត​ប្រកួត​ចង់​ឈ្នះ​នោះ​វិញ គេ​មាន​គោលបំណង​មិនល្អ​។​គេ​ស្មានថា​នឹង​ធ្វើឲ្យ​ខ្ញុំ​រឹង‌រឹតតែ​វេទនា ក្នុង​ពេល​ដែល​ខ្ញុំ​ជាប់ឃុំ‌ឃាំង​។
PHP 1:18	តើ​ហេតុអ្វី​ទៅ? ទោះជា​វិធី​ណាក៏ដោយ បើ​ទោះជា​គេ​សម្តែង​ក្ដី ឬ​ស្មោះសរ​ក្ដី ក៏​គេ​ផ្សាយដំណឹង​អំពី​ព្រះ‌គ្រិស្ដ​ដែរ ហើយ​ខ្ញុំ​នឹង​សប្បាយចិត្ត​អំពី​ការ​នេះ
PHP 1:19	ដ្បិត ខ្ញុំ​ដឹង​ថា ការ​នេះ​នឹង​ធ្វើឲ្យ​ខ្ញុំ​ទទួលការ​សង្គ្រោះ​ទៅវិញ​ទេ ដោយ​បងប្អូន​អធិស្ឋាន​ទៅ​សម្រាប់​ខ្ញុំ ហើយពី​ព្រះ‌វិញ្ញាណ​របស់​ព្រះ‌យេស៊ូ​គ្រិស្ដ​ដល់​ខ្ញុំ​ផង​ដែរ​។
PHP 1:20	វា​អាស្រ័យ​លើ​ការ​ទន្ទឹងរង់ចាំ និង​យកចិត្ត​ទុកដាក់​របស់ខ្ញុំ ដោយ​សង្ឃឹមថា ខ្ញុំ​នឹង​មិន​ត្រូវ​អាម៉ាស់មុខ​ឡើយ​។ ហើយ​នេះ​គឺជា​មូលហេតុ ដែល​ខ្ញុំ​នៅតែ​មានចិត្ត​អង់អាច ឥត​រង្គើ ទោះ‌បី​ជា​ខ្ញុំ​ត្រូវ​រស់ ឬ​ស្លាប់​ក្ដី ខ្ញុំ​នឹង​លើកតម្កើង​ព្រះ‌គ្រិស្ដ​ក្នុង​រូបកាយ​ខ្ញុំ​។
PHP 1:21	សម្រាប់​ខ្ញុំ បើ​រស់ ខ្ញុំ​រស់​រួម​ជាមួយ​ព្រះ‌គ្រិស្ដ ហើយ​បើ​ស្លាប់ នោះ​បាន​ជា​កម្រៃ​វិញ​។
PHP 1:22	ប៉ុន្តែ បើ​ខ្ញុំ​រស់​ខាង​ឯ​សាច់ឈាម​ទៀត​នោះ ដូច្នេះ មានន័យថា អ្វី​ដែល​ខ្ញុំ​ធ្វើនឹង​បានផល​។ ខ្ញុំ​មិនដឹងជា​ជ្រើសរើស​យក​ផ្លូវ​ណា​ឡើយ​ទេ? ខ្ញុំ​ពិតជា​មិនដឹង​មែន​។
PHP 1:23	សម្រាប់​ខ្ញុំ​ពិតជា​រារែក​រវាង​ការ​ទាំងពីរ​នោះ​។ ខ្ញុំ​ប៉ង‌ប្រាថ្នា​ចង់​លាចាកលោកនេះ​ទៅ​នៅជា​មួយ​ព្រះ‌គ្រិស្ដ នោះ​គឺជា​ការ​ប្រសើរ​ជាង
PHP 1:24	ហើយ​បើ​ខ្ញុំ​នៅ​រស់​ក្នុង​សាច់ឈាម​នេះ​ទៀត​នោះ​ជា​ប្រយោជន៍​សម្រាប់​បងប្អូន​វិញ​។
PHP 1:25	ខ្ញុំ​ជឿជាក់​ដូច្នេះ ដោយ​ដឹង​ថា ខ្ញុំ​នឹង​បន្ត​រស់នៅ ហើយ​ស្នាក់នៅ​ជាមួយ​បងប្អូន​ទាំងអស់គ្នា ដើម្បីឲ្យ​បងប្អូន​បាន​លូតលាស់​ឡើង ហើយ​មាន​អំណរ​នៅក្នុង​ជំនឿ​។
PHP 1:26	ដ្បិត នៅក្នុង​ខ្ញុំ​បងប្អូន​រីកចម្រើន​ថែមទៀត រួម​ជាមួយ​ព្រះ​គ្រិស្ដ‌យេស៊ូ ក្នុង​ពេល​ដែល​ខ្ញុំ​ត្រឡប់មកវិញ​ជួប​បងប្អូន​ម្តង​ទៀត​។
PHP 1:27	សូម​បងប្អូន​កាន់​កិរិយាមារយាទ​ឲ្យបាន​សមរម្យ សម្រាប់​ដំណឹង‌ល្អ​របស់​ព្រះ‌គ្រិស្ដ ដូច្នេះ ទោះបីជា​ខ្ញុំ​មកវិញ ឬមិន​បាន​មក​ជួប​បងប្អូន​វិញ​ក្ដី នោះ​ខ្ញុំ​តែងតែ​ឮដំណឹង ពី​ការដែល​បងប្អូន​មាន​ជំហរ​មាំ‌មួន​ដោយមាន​ចិត្តគំនិត​តែមួយ ព្រមទាំង​រួមចិត្ត​ថ្លើម​គ្នា​តយុទ្ធ ដើម្បី​ជំនឿ​លើ​ដំណឹង‌ល្អ ផង​ដែរ​។
PHP 1:28	សូម​បងប្អូន​កុំ​ភ័យ​ខ្លា​យ នឹង​ពួក​ដែល​ជាស​ត្រូវ ហើយ​ទាស់​នឹង​ប្រការ​ណាមួយ​ឡើយ​។ នេះ​ជា​សញ្ញា​បញ្ជាក់ឲ្យឃើញថា ពួកគេ​នឹង​ត្រូវ​វិនាសអន្តរាយ រី​ឯ​បងប្អូន​វិញ នឹង​ទទួលការ​សង្គ្រោះ ហើយ​ការ​នេះ​កើត​ពី​ព្រះ‌ជា​ម្ចាស់​មក​។
PHP 1:29	ដ្បិត ព្រះអង្គ​ប្រណី‌សន្ដោស​បងប្អូន​ឲ្យ​បម្រើ​ព្រះ‌គ្រិស្ដ ដោយ​មិនគ្រាន់​តែ​ជឿ​លើ​ព្រះអង្គ​ប៉ុណ្ណោះទេ ប៉ុន្តែ រួម​ទាំង​រងទុក្ខ​លំបាក​រួម​ជាមួយ​ព្រះអង្គ​ទៀត​ដែរ
PHP 1:30	បងប្អូន​បាន​តយុទ្ធ​រួម​ជាមួយ​ខ្ញុំ ដូច​បងប្អូន​ធ្លាប់​បានឃើញ​ខ្ញុំ​តយុទ្ធ​ស្រាប់ហើយ ហើយ​ដូច​បងប្អូន​ឮ​ថា​ខ្ញុំ​កំពុងតែ​តយុទ្ធ​នៅឡើយ​។
PHP 2:1	ប្រសិនណាបើ មានការ​លើកទឹកចិត្ត​នៅក្នុង​ព្រះគ្រិស្ត ហើយ​ប្រសិន​ណា​មានការ​កម្សាន្ត​ចិត្ត​មក​ពី​ក្តី​ស្រឡាញ់​របស់​ព្រះជាម្ចាស់ ហើយ​ប្រសិន​ណា​មានការ​ប្រកប​ជាមួយ​ព្រះវិញ្ញាណ​ដ៏​វិសុទ្ធ ហើយ​ប្រសិន​ណា បងប្អូន​ពិតជា​មានចិត្ត​មេត្តាករុណា និង​ចិត្តអាណិតអាសូរ
PHP 2:2	ដូច្នេះ ចូរ​ធ្វើឲ្យ​ខ្ញុំ​ពេញដោយ​អំណរ ដោយ​បងប្អូន​មានការ​គិតតែ​មួយ មាន​សេចក្តី​ស្រឡាញ់​តែមួយ មានការ​រួបរួម​ក្នុង​ឆន្ទៈ​តែមួយ ព្រមទាំង​មាន​គោលបំណង​តែមួយ​។
PHP 2:3	សូមកុំ​ឲ្យ​មាន​ភាព​អាត្មានិយម ឬ​ដោយ​អំនួត​ឥតប្រយោជន៍​។ ផ្ទុយទៅវិញ ត្រូវ​បន្ទាបខ្លួន ហើយ​គិតថា​អ្នកដទៃ​ប្រសើរ​ជាង​ខ្លួន​ជានិច្ច​។
PHP 2:4	បងប្អូន​អើយ សូមកុំ​គិតតែពី​តម្រូវការ​ផ្ទាល់ខ្លួន​ឡើយ ប៉ុន្តែ ត្រូវ​គិត​អំពី​តម្រូវការ​របស់​អ្នកដទៃ​វិញ​។
PHP 2:5	បងប្អូន សូម​គិត​ដូចជា​ព្រះគ្រិស្ត​យេស៊ូ​គិត​ដែរ​។
PHP 2:6	ព្រះអង្គ​មានឋានៈជា​ព្រះជាម្ចាស់ ប៉ុន្តែ ព្រះអង្គ​មិនបាន​គិត​ឲ្យ​ស្មើនឹង​ព្រះជាម្ចាស់​ឡើយ ដូចជា​អ្វី​ដែល​ជា​កម្ម​សិទ្ធ​របស់​ព្រះអង្គ​នោះ​ទេ​។
PHP 2:7	ផ្ទុយទៅវិញ ព្រះអង្គ​បាន​លះបង់​ទាំងអស់​។ ព្រះជាម្ចាស់​បាន​យក​ឋានៈ​ជា​អ្នកបម្រើ​។ ព្រះអង្គ​បាន​បង្ហាញ​អំពី​ភាពជា​មនុស្ស​ដូច​មនុស្ស​ឯ​ទៀ​តៗ​ដែរ​។ ព្រះអង្គ​ត្រូវ​បានឃើញ​ភាពជា​មនុស្ស​ដ៏​សាមញ្ញ​របស់​ព្រះអង្គ​។
PHP 2:8	ព្រះជាម្ចាស់​បាន​បន្ទាបខ្លួន និង​ស្តាប់​បង្កាប់​រហូតដល់​ទី​មរណា ដោយ​សុគត​នៅ​លើ​ឈើឆ្កាង​។
PHP 2:9	ដូច្នេះហើយ​បាន​ជា​ព្រះ‌ជា​ម្ចាស់​លើកតម្កើង​ព្រះយេស៊ូ​ឡើង​ខ្ពង់‌ខ្ពស់​បំផុត​។ ព្រះជាម្ចាស់​ក៏​ប្រទាន ព្រះ‌នាម​ដ៏​ប្រសើរ​ដល់​ព្រះយេស៊ូ លើស​ពី​នា​មណាៗ​ទាំងអស់​។
PHP 2:10	ព្រះជាម្ចាស់​ធ្វើ​ដូច្នេះ ដើម្បីអោយ​ក្នុងនាម​ព្រះយេស៊ូ គ្រប់​ទាំង​ជង្គង់​នឹង​លុត​ចុះ រួម​ទាំង​ជង្គង់​អ្នក​នៅ​ស្ថាន​បរម‌សុខ ទាំង​នៅ​លើ​ផែនដី ហើយ​ទាំង​នៅ​ក្រោម​ដី​ផង​ដែរ​។
PHP 2:11	ព្រះជាម្ចាស់​ធ្វើ​ដូច្នេះ ដើម្បីឲ្យ​គ្រប់​ទាំង​អណ្តាត​បាន​ប្រកាស​ថា ព្រះ‌យេស៊ូ​គ្រិស្ដ​ជា​ព្រះ‌អម្ចាស់ ដើម្បី​លើកតម្កើង​សិរី‌រុងរឿង​ដល់​ព្រះ‌បិតា​។
PHP 2:12	ហេតុនេះ បងប្អូន​ជាទីស្រឡាញ់​អើយ ដូច​បងប្អូន​តែងតែ​ស្ដាប់បង្គាប់​ជារៀងដរាប​មក គឺ​មិន​ត្រឹមតែ​ពេល​ដែល​ខ្ញុំ​នៅជា​មួយ​បងប្អូន​នោះ​ទេ ប៉ុន្តែ​ឥឡូវនេះ​ទាំង​គ្មាន​រូប​ខ្ញុំ​អ្នក​បាន​ធ្វើ​ច្រើនជាង​នោះ​ផង សូម​បងប្អូន​ខំប្រឹង​ធ្វើការ ទាំង​គោរព​កោតខ្លាច និង​ញាប់‌ញ័រ ស្របតាម​ការសង្គ្រោះ​ដែល​បងប្អូន​បាន​ទទួល
PHP 2:13	ដ្បិត ព្រះ‌ជា​ម្ចាស់​ទេតើ ដែល​បាន​ធ្វើការ​ក្នុង​បងប្អូន ទាំង​ឆន្ទៈ​ហើយនិង​ការប្រព្រឹត្ត​ដ៏​សប្បុរស​របស់​ព្រះអង្គ​។
PHP 2:14	ចូរ​ធ្វើការ​ទាំងអស់​ដោយ​គ្មាន​ការ​រអ៊ូរទាំ ឬ​ដោយ​តវ៉ា​ឡើយ​។
PHP 2:15	ចូរ​ប្រព្រឹត្ត​បែបនេះ នោះ​បងប្អូន​បាន​ល្អឥតខ្ចោះ ឥត​សៅ‌ហ្មង​ជា​បុត្រ​របស់​ព្រះ‌ជា​ម្ចាស់ ដែល​ឥតមាន​កំហុស​។ ចូរ​ប្រព្រឹត្ត​ក្នុង​បែបនេះ បងប្អូន​បាន​ជះ​ពន្លឺ​ក្នុងចំណោម​ពួកគេ ដូច​ពន្លឺ​ដែល​បំភ្លឺ​ពិភព‌លោក​ក្នុងចំណោម​មនុស្ស​អាក្រក់ និង​ខិល‌ខូច​នៅ​ជំនាន់​នេះ​។
PHP 2:16	ចូរ​តោង​ព្រះ‌បន្ទូល​នៃ​ជីវិត ធ្វើ​ដូច្នេះហើយ ខ្ញុំ​មានហេតុ​នឹង​ថ្វាយ​សិរីល្អ​នៅ​ថ្ងៃ​ព្រះ‌គ្រិស្ដ​យាង​មក​។ ដ្បិត ខ្ញុំ​នឹង​បានដឹង​ថា ខ្ញុំ​មិនបាន​រត់ និង​ខំធ្វើការ​ដោយ​នឿយហត់​នោះ មិន​ឥតប្រយោជន៍​ឡើយ​។
PHP 2:17	ទោះបី​ខ្ញុំ​ត្រូវ​បង្ហូរឈាម​ទុកជា​តង្វាយ ដាក់លើ​យញ្ញ‌បូជា និង​ពីលើ​ការបម្រើ​នៃ​ជំនឿ​របស់​បងប្អូន ខ្ញុំ​មាន​អំណរ​ណាស់ ហើយ​ខ្ញុំ​ក៏​សប្បាយចិត្ត​រួម​ជាមួយ​បងប្អូន​ទាំងអស់គ្នា​ដែរ​។
PHP 2:18	រី​ឯ​បងប្អូន​វិញ ចូរ​ឲ្យ​បងប្អូន​មាន​អំណរ ហើយ​សប្បាយចិត្ត​រួម​ជាមួយ​ខ្ញុំ​ផង​។
PHP 2:19	ខ្ញុំ​សង្ឃឹម​ក្នុង​ព្រះ‌អម្ចាស់​យេស៊ូ នឹង​ចាត់​លោក​ធីម៉ូថេ​មករ​ក​បងប្អូន ក្នុង​ពេល​ឆាប់​ៗ​ខាងមុខនេះ ដើម្បីឲ្យ​ខ្ញុំ​បាន​ទទួលការ​លើកទឹកចិត្ត ដោយ​ទទួល​ដំណឹង និង​ឮដំណឹង​ពី​បងប្អូន
PHP 2:20	ដ្បិត ខ្ញុំ​មិន​មាន​អ្នកណា​ផ្សេងទៀត ដែល​មាន​ឥរិយាបថ​ដូចជា​គាត់ ហើយ​ជា​អ្នក​ដែល​យកចិត្ត​ទុកដាក់​សម្រាប់​បងប្អូន​។
PHP 2:21	ដ្បិត អ្នក​ផ្សេង​វិញ ពួកគេ​គិតតែពី​ប្រយោជន៍​ផ្ទាល់ខ្លួន​ឯង គេ​មិន​គិត​ពី​ប្រយោជន៍​របស់​ព្រះ‌យេស៊ូ​គ្រិស្ដ​ទេ​។
PHP 2:22	បងប្អូន​ដឹង​អំពី​ទឹកចិត្ត​របស់​គាត់​ហើយ ព្រោះ​គាត់​ដូច​កូន​ដែ​លម​ប្រើ​ឪពុក ហើយ​គាត់​បាន​បម្រើ​រួម​ជាមួយ​ខ្ញុំ ក្នុង​ដំណឹង‌ល្អ​។
PHP 2:23	ដូច្នេះ ខ្ញុំ​សង្ឃឹមថានឹង​ចាត់​គាត់​មករ​ក​បងប្អូន​ក្នុង​ពេល​ឆាប់​ៗ នៅពេល​ខ្ញុំ​បានដឹង​ថា​រឿង​របស់ខ្ញុំ​រៀបរយ​ហើយ​។
PHP 2:24	ប៉ុន្តែ ខ្ញុំ​ជឿជាក់​ក្នុង​ព្រះអង្គ​ម្ចាស់ ថា​រូប​ខ្ញុំ​ផ្ទាល់​នឹង​បាន​ទៅ​រក​បងប្អូន​ក្នុង​ពេល​ឆាប់​ៗ​នេះ​។
PHP 2:25	ប៉ុន្តែ ខ្ញុំ​គិតថា ត្រូវតែ​ចាត់​លោក​អេ​ប៉ា‌ប្រូ​ឌីត ដើម្បី​ត្រឡប់ទៅ​បងប្អូន​វិញ​ជាចាំបាច់​។ គាត់​គឺជា​បងប្អូន​របស់ខ្ញុំ ហើយក៏​ជា​សហការី និង​ជា​ទាហាន​របស់​ព្រះជាម្ចាស់ ហើយក៏​ជា​អ្នកនាំ​សំបុត្រ​របស់​អ្នករាល់គ្នា គាត់​ជា​ម្នាក់​ដែល​បម្រើ​សេចក្តី​ត្រូវការ​របស់ខ្ញុំ​។
PHP 2:26	ដ្បិត គាត់​មានទុក្ខ​ព្រួយ​ជា​ខ្លាំង ហើយ​គាត់​ទទឹង​រង់ចាំ​ឲ្យតែ​ដល់ពេល​ត្រឡប់ទៅ​បងប្អូន​ទាំងអស់គ្នា ហើយ​បងប្អូន​ក៏​ធ្លាប់​ឮ​ថា​គាត់​បាន​ឈឺ​ដែរ​។ ជា​ការពិត​នោះ​គាត់​បាន​ឈឺធ្ងន់​មែន រហូត​ក្បែរ​នឹង​ស្លាប់​ផង​។
PHP 2:27	ក៏ប៉ុន្តែ ព្រះ‌ជា​ម្ចាស់​អាណិត​គាត់ ព្រះអង្គ​មិន​ត្រឹមតែ​អាណិត​គាត់​ទេ ព្រះអង្គ​ក៏​អាណិត​ខ្ញុំ​ដែរ ដើម្បីកុំឲ្យ​ខ្ញុំ​មានទុក្ខ​ត្រួតពីលើ​ទុក្ខ​។
PHP 2:28	ដូច្នេះហើយ បាន​ជា​ខ្ញុំ​ខំ​ខ្នះ‌ខ្នែង​ចាត់​គាត់​ឲ្យ​មក​ជួប​បងប្អូន ដើម្បីឲ្យ​បងប្អូន​មាន​អំណរ​សប្បាយ ដោយ​ឃើញ​គាត់​សារ​ជាថ្មី ហើយ​ឲ្យ​ខ្ញុំ​ផ្ទាល់​ឈប់​ព្រួយចិត្ត​។
PHP 2:29	សូម​ទទួល​គាត់​នៅក្នុង​ព្រះអង្គ​ម្ចាស់ និង​ការ​អរ​សប្បាយ​បំផុត​។ សូម​គោរព​មនុស្ស​ដូចជា​គាត់​នេះ​ផង​។
PHP 2:30	ដ្បិត គាត់​ជិត​បាត់បង់ជីវិត ព្រោះតែ​កិច្ចការ​របស់​ព្រះ‌គ្រិស្ដ​។ គឺ​គាត់​បាន​ស៊ូប្ដូរ​ជីវិត​ដើម្បី​បម្រើ​ខ្ញុំ ហើយ​បំពេញ​អ្វី​ដែល​បងប្អូន​មិន​អាច​ធ្វើ​ក្នុង​ការបម្រើ​ដល់​ខ្ញុំ​។
PHP 3:1	ជាចុងក្រោយ បងប្អូន​អើយ ចូរ​អរ​សប្បាយ​នៅក្នុង​ព្រះអង្គ​ម្ចាស់​ចុះ​។ ដ្បិត ខ្ញុំ​មិន​ធុញទ្រាន់​ក្នុង​ការ​សរសេរ​សេចក្តី​ទាំងនេះ​មក​បងប្អូន​ម្តង​ទៀត​ទេ​។
PHP 3:2	ពីព្រោះ​សេចក្តី​ទាំងនេះ​នឹង​ការពារ​បងប្អូន​ឲ្យ​មាន​សុវត្ថិភាព​។ ចូរ​ប្រយ័ត្ន​នឹង​ពួក​ឆ្កែ ចូរ​ប្រយ័ត្ន​នឹង​ពួក​អ្នក​ដែល​ធ្វើការ​អាក្រក់ ចូរ​ប្រយ័ត្ន​នឹង​ពួក​អ្នក​កាត់​ស្បែក​។
