w	def
កងចល័ត	[kɑɑŋ caʔlat] [[កង]] [[ចល័ត]] <br>1). mobile group (in KR terms this was a group of workers or field hands), mobile unit
កងចៅ	[kɑɑŋ cav] <br>1). n female servants in the Royal Palace
កងចំបើងមួយកង	[kɑɑŋ cɑmbaəŋ muə yɔɔ kɑɑŋ] [[កង]] [[ចំបើង]] [[មួយ]] [[កង]] <br>1). to carry an armful of hay
កងច្រវាក់	[kɑɑŋ crɑvak] [[កង]] [[ច្រវាក់]] <br>1). link (of a chain)
កងជរា	[kɑɑŋ ceaʔrie] [[កង]] [[ជរា]] <br>1). old people's unit See: កងមនុស្ស​ចាស់, កងតាៗ
កងជីវពល	[kɑɑŋ cii vɔɔ pʊəl] [[កង]] [[ជីវពល]] <br>1). home guard, militia, armed villagers
កងជំនួយ	[kɑɑŋ cumnuəy] [[កង]] [[ជំនួយ]] <br>1). relief force, reinforcements
កងឈ្លប(ការណ៍)	<br>1). scout unit, reconnaissance unit, village guerillas (esp. referring to an irregular force unit used for reconnaissance by the KR);<br> fifth column See: ទ័ពឈ្លប
កងដឹកនាំ	[kɑɑŋ dək noam] [[កង]] [[ដឹកនាំ]] <br>1). transportation unit
កងដៃ	[kɑɑŋ day] [[កង]] [[ដៃ]] <br>1). bracelet
កងតាៗ	<br>1). See: កងជរា
កងតូច	[kɑɑŋ tooc~tuuc] [[កង]] [[តូច]] <br>1). platoon (esp. KR - about 30 - 40 people)
កងតំបន់	[kɑɑŋ tɑmbɑn] [[កង]] [[តំបន់]] <br>1). regional unit
កងតំរួតក្រហម	[kɑɑŋ tɑmruət krɑhɑɑm] [[កង]] [[តំរួត]] [[ក្រហម]] <br>1). (Chinese) Red Guards
កងតំរួតរក្សាខែត្រ	[kɑɑŋ tɑmruət reaksaa kʰaet] [[កង]] [[តំរួត]] [[រក្សា]] [[ខែត្រ]] <br>1). provincial guard
កងថ្មើរជើង	[kɑɑŋ tmaə cəəŋ] [[កង]] [[ថ្មើរជើង]] <br>1). infantry, infantry unit
កងទាហានជាង	[កងទាហានវិស្វករ :: kɑɑŋ tiehien cieŋ kɑɑŋ ------ ] [[កង]] [[ទាហានជាង]] <br>1). engineer troops, engineer brigade
កងទាហានជើងគោក	[kɑɑŋ tiehien cəəŋ kook] [[កង]] [[ទាហានជើងគោក]] <br>1). ground force(s), infantry
កងទាហានវិស្វករ	[kɑɑŋ tiehien vihsvaʔkɑɑ] [[កង]] [[ទាហាន]] [[វិស្វករ]] <br>1). See: កងទាហានជាង
កងទ័ព	[kɑɑŋ toap] [[កង]] [[ទ័ព]] <br>1). troops, armed forces, army;<br> soldier;<br> army corps
កងទ័ពក្លែងភេទ	[kɑɑŋ toap klaeŋ pʰeet] [[កងទ័ព]] [[ក្លែង]] [[ភេទ]] <br>1). lit. `the disguised army' (used by the KR to refer to Vietnamese soldiers disguised as Cambodian soldiers)
កងទ័ពចំណាន	[kɑɑŋ toap cɑm naa nɔɔ] [[កងទ័ព]] [[ចំណាន]] <br>1). well-trained army
កងទ័ពជាតិកម្ពុជាប្រជាធិបតេយ្យ	[kɑɑŋ toap ciet kampuʔcie prɑcietʰiʔpaʔtay] [[កងទ័ព]] [[ជាតិ]] [[កម្ពុជាប្រជាធិបតេយ្យ]] <br>1). National Army of Democratic Kampuchea (Khmer Rouge military forces)
កងទ័ពជាតិកម្ពុជាឯករាជ្យ	[kɑɑŋ toap ciet kampuʔcie ʔaek riec] [[កងទ័ព]] [[ជាតិ]] [[កម្ពុជា]] [[ឯករាជ្យ]] <br>1). National Army of Independent Cambodia (Prince Sihanouk's military forces before 1983)
កងទ័ពជើងគោក	[kɑɑŋ toap cəəŋ kook] [[កងទ័ព]] [[ជើងគោក]] <br>1). army, ground forces
កងទ័ពជើងទឹក	[kɑɑŋ toap cəəŋ tɨk] [[កងទ័ព]] [[ជើងទឹក]] <br>1). navy
កងទ័ពតំបន់	[kɑɑŋ toap tɑmbɑn] [[កងទ័ព]] [[តំបន់]] <br>1). regional force
កងទ័ពប្រចាំអាណាខែត្រ	[kɑɑŋ toap prɑcam ʔaa naa kʰaet] [[កងទ័ព]] [[ប្រចាំ]] [[អាណាខែត្រ]] <br>1). territorial force
កងទ័ពប្រជាជនកម្ពុជា	[kɑɑŋ toap prɑcie cɔɔn kampuʔcie] [[កងទ័ព]] [[ប្រជាជន]] [[កម្ពុជា]] <br>1). Cambodian People's Army (PRK military forces)
កងទ័ពប្រជាជនបដិវត្តកម្ពុជា	[kɑɑŋ toap prɑcie cɔɔn paʔdeʔvoat kampuʔcie] [[កងទ័ព]] [[ប្រជាជន]] [[បដិវត្ត]] [[កម្ពុជា]] <br>1). Cambodian People's Revolutionary Army (PRK military forces,)
កងទ័ពប្រជាជនរំដោះជាតិកម្ពុជា	[kɑɑŋ toap prɑcie cɔɔn rumdɑh ciet kampuʔcie] [[កងទ័ព]] [[ប្រជាជន]] [[រំដោះ]] [[ជាតិ]] [[កម្ពុជា]] <br>1). Cambodian People's National Liberation Army (the KR forces before 1979)
កងទ័ពពិសេស	[kɑɑŋ toap piʔsaeh~piʔseeh] [[កងទ័ព]] [[ពិសេស]] <br>1). special forces
កងទ័ពព្រៃ	[kɑɑŋ toap prey] [[កង]] [[ទ័ពព្រៃ]] <br>1). guerrilla force
កងទ័ពមួយវាហិនី	[kɑɑŋ toap muə yɔɔ vieheʔnii] [[កងទ័ព]] [[មួយ]] [[វាហិនី]] <br>1). one army group (In ancient times, it was composed of 81 elephants, 81 chariots, 243 cavalry, and 405 foot soldiers)
កងទ័ពស្រួច	[kɑɑŋ toap sruǝc] [[កង]] [[ទ័ពស្រួច]] <br>1). elite force
កងទ័ពអចិន្ត្រៃយ៍	[kɑɑŋ ------ ] [[កង]] [[ទ័ពអចិន្ត្រៃយ៍]] <br>1). standing army, regular army
កងទ័ពអន្តរាគមន៍	[kɑɑŋ toap ʔɑntaʔraakum] [[កងទ័ព]] [[អន្តរាគមន៍]] <br>1). intervention force
កងទ័ពអាកាស	[kɑɑŋ toap ʔaakaah] [[កង]] [[ទ័ពអាកាស]] <br>1). air force
កងទ័ពឥន្ទ្រីក្រហម	[kɑɑŋ toap ʔentrii krɑhɑɑm] [[កងទ័ព]] [[ឥន្ទ្រី]] [[ក្រហម]] <br>1). helicopter branch of the air force of the Khmer Republic (1970 - 1975)
កងទ័ពឥស្សរៈ	[kɑɑŋ toap ʔəhsaʔraʔ~ʔihsaʔraʔ] [[កងទ័ព]] [[ឥស្សរៈ]] <br>1). Issarak army (splinter group of the Viet Minh forces fighting the French in Cambodia before independence in 1954)
កងធំ	[kɑɑŋ tʰom] [[កង]] [[ធំ]] <br>1). company (KR - contains between 120 and 170 people)
កងនគរបាលប្រជាជន	[kɑɑŋ nɔkɔɔ baal prɑcie cɔɔn] [[កង]] [[នគរបាល]] [[ប្រជាជន]] <br>1). people's police (force)
កងនាវាចរណ៍	[kɑɑŋ nieviecɑɑ] [[កង]] [[នាវាចរណ៍]] <br>1). fleet, navy
កងនាវិក	[kɑɑŋ nievɨk] [[កង]] [[នាវិក]] <br>1). crew of a ship
កងបញ្ជាការ	[kɑɑŋ bɑɲcie kaa] [[កង]] [[បញ្ជាការ]] <br>1). command
