ភូមិ​^អូរញរ	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ou Nhor	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020704
ភូមិ​^បឹងត្រស់	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Boeng Tras	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020705
ភូមិ​^មនោរម្យ	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Meaknourom	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020706
ភូមិ​^ប៉ោយតាសេក	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Paoy Ta Sek	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020707
ភូមិ​^ព្រៃទទឹង	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Prey Totueng	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020708
ភូមិ​^បឹងរាំង	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Boeng Reang	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020709
ភូមិ​^វត្ដថ្មី	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Voat Thmei	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020710
ភូមិ​^ពោធិ៍ពីរដើម	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Pou Pir Daeum	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020801
ភូមិ​^រហាត់ទឹក	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Rohat Tuek	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020802
ភូមិ​^ថ្នល់បត់	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Thnal Bat	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020803
ភូមិ​^ក្រមល់	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kramol	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020804
ភូមិ​^ខ្ទុំជ្រុំ	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Khtum Chrum	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020805
ភូមិ​^ចកលិច	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Chak Lech	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020806
ភូមិ​^ដូនមូល	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Doun Mul	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020807
ភូមិ​^ព្រែកសំរោង	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Preaek Samraong	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020808
ភូមិ​^អូរដង្កោ	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ou Dangkao	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020809
ភូមិ​^ចំការចេក	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Chamkar Chek	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020810
ភូមិ​^អូរជួប	@រហាត់ទឹក	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ou Chuob	@Rohat Tuek	@Mangkul Bourei	@Banteay Meanchey	@01020811
