ben	bdef
annotation	(a note added in explanation) <p-l>ចំណារពន្យល់</p-l>
anoint	(vb) (to rub with oil as a sign) <p-l>ចាក់ប្រេងតាំង</p-l>
Anointed One, the...	(a reference to the expected king, priest or prophet in the intertestamental period) <p-l>អង្គដែលត្រូវបានចាក់ប្រេងតាំង។</p-l>
annul	(vb) (to abolish, to make void) <p-l>លើកចោល</p-l> annulment <p-l>ការលើកចោល</p-l>
Anselm	(philosopher, monk and Archbishop of Canterbury from AD 1093 to 1109) <p-l>អាន់សេម</p-l>
Ant.	(abbreviation *Antiquities of the Jews*) <p-l>«ប្រវត្តិសាស្ត្របុរាណនៃសាសន៍យូដា»</p-l>
antecedent	(an event or circumstance that happens before another) <p-l>អ្វីៗដែលមានពីមុនមក</p-l>
antediluvian	(adj) (belonging to the age before the Flood) <p-l>នៃសម័យមុនទឹកជំនន់ធំ</p-l> antediluvians <p-l>អ្នកសម័យមុនទឹកជំនន់ធំ។</p-l>
ante-Nicene	(adj) (belonging to the period before the Council of Nicaea) <p-l>នៃសម័យមុនក្រុម ប្រឹក្សា ណាសៀ។</p-l>
anthropocentrism	(belief in humanity as the most important and central factor in the universe) <p-l>មនុស្សពន្ធនិយម</p-l> (informal) <p-l>ជំនឿថាមនុស្សលោកសំខាន់ជាងអ្វីៗទាំងអស់។</p-l>
anthropology	(the study of man) <p-l>នរវិទ្យា</p-l> anthropological (adj) <p-l>នៃនរវិទ្យា</p-l>
anthropomorphism	(the attribution of human form or behavior to a deity etc.) <p-l>ពាក្យប្រហែលមនុស្ស (ការរាប់ព្រះមានលក្ខណៈស្រដៀងនឹងមនុស្ស)</p-l> anthropomorphic (adj) <p-l>ដែលរាប់ព្រះ មានលក្ខណៈស្រដៀងនឹងមនុស្ស។</p-l>
Antichrist, the...	<p-l>មេទទឹងព្រះគ្រីស្ទ [(គ.ប : អាទទឹងព្រះគ្រីស្ទ អ្នកទទឹងព្រះគ្រីស្ទ) (គ.ខ.ប : មេប្រឆាំងព្រះ គ្រិស្ត)]។</p-l>
Anti-Lebanon Mountains	(alternately known as the Eastern Lebanon Mountain Range, located between Syria and Lebanon) <p-l>ជួរភ្នំអង់ទីល្បាណូន។</p-l>
antimony	(a metalloid used in ancient times for making certain household articles and plating metal objects) <p-l>អង់ទីមន។</p-l>
Antinomianism	(a belief that under the gospel dispensation of grace, moral law is of no use or obligation because "faith alone" is necessay to salvation) <p-l>ការអះអាងថា ក្រឹត្យវិន័យ សីលធម៌អត់ប្រយោជន៍</p-l> antinomian (adj) <p-l>ដែលអះអាងថា ក្រឹត្យវិន័យសីលធម៌អត់ ប្រយោជន៍។</p-l>
Antioch, City of...	<p-l>ទីក្រុងអាន់ទីយ៉ូក</p-l> Antiochene (adj) (belonging to the City of Antioch) <p-l>នៃ ទីក្រុងអាន់ទីយ៉ូក។</p-l>
Antioch, School of...	(one of the two major centers of the study of biblical exegesis and theology during Late Antiquity) <p-l>ពួកសាស្រ្តវិទូនៅទីក្រុងអាន់ទីយ៉ូក។</p-l>
Antiochus I Soter	(a king of the Hellenistic Seleucid Empire who reigned 281-261 BC) <p-l>ស្តេចអាន់ទីអូគូសទី១ សូធើរ។</p-l>
Antiochus II Theos	(a king of the Hellenistic Seleucid Empire who reigned from 261246 BC) <p-l>ស្តេចអាន់ទីអូគូសទី២ ថេអូស។</p-l>
Antiochus III the Great	[a king of the Hellenistic Seleucid Empire who ruled over Greater Syria and Western Asia 222-187 BC (241-187 BC)] <p-l>ស្តេចអាន់ទីអូគូសទី៣។</p-l>
Antiochus IV Epiphanes	(a king of the Hellenistic Seleucid Empire from 175-164 BC, who sacked Jerusalem and forced the Jews to abandon the customs of their ancestors) <p-l>ស្តេចអាន់ទីអូគូសទី៤ អេពីហ្វេន។</p-l>
Antiochus V Eupator	[a child ruler of the Greek Seleucid Empire 163-161 BC (172-161 BC)] <p-l>ស្តេចអាន់ទីអូគូសទី៥ យូប៉ាទើរ។</p-l>
Antiochus VII Sidetes	(the last great Seleucid king, reigned 138 to 129 BC, who laid siege to Jerusalem in 134 BC, but spared the city after payment of 3000 talents) <p-l>ស្តេចអាន់ទីអូគូសទី៧ ស៊ីដេតេស។</p-l>
Antipas	[nickname of Herod Antipater, Tetrarch of Galilee and Perea at the time of the executions of John the Baptist and Jesus (c.20 BC-39 AD)] <p-l>ស្តេចអាន់ទីប៉ាស។</p-l>
antipathy	(feeling of intense aversion) <p-l>សេចក្តីស្អប់ខ្ពើម</p-l>
Antipatris	[a city built by Herod the Great and named in honour of his father, Antipater II of Judea, is on the road from Caesarea to Jerusalem (Acts 23:31)] <p-l>ក្រុង អាន់ទីប៉ាទ្រីស។</p-l>
antiphonal	(adj) (sung or recited in alternation) <p-l>ដែលច្រៀងចម្រៀងឆ្លើយឆ្លងគ្នា</p-l> "Antiquities of the Jews" (a twenty volume historiographical work composed by Josephus in around 93 AD, containing an account of the history of the Jewish people) <p-l>«ប្រវត្តិសាស្ត្របុរាណនៃសាសន៍យូដា»។</p-l>
antiquity	(the far distant past/people of ancient times) <p-l>សម័យបុរាណ</p-l>
anti-Semitism	(prejudice against, hatred of, or discrimination against Jews) <p-l>ការស្អប់ចំពោះ សាសន៍យូដា។</p-l>
antithesis	(contrast or opposite) <p-l>ប្រតិនិក្ខេបបទ</p-l> (informal) <p-l>ការប្រៀបធៀបដែលមានលក្ខណៈប្រឆាំង</p-l> antitype (person or a thing represented by a type or symbol, especially a character or event in the NT prefigured in the OT) (person) <p-l>បុគ្គលដែលសំរេចនិមិត្តរូប</p-l> (thing) <p-l>វត្ថុ ដែលសម្រេចនិមិត្តរូប។</p-l>
Antonia Tower	(Roman military barracks built by Herod the Great in Jerusalem) <p-l>ប៉មអាន តួនា។</p-l>
aorist/aorist	(adj) (grammar: verb tense in NT Greek and in certain other inflected languages indicating past action without reference to whether the action involved is momentary or continuous) <p-l>អ៊ែររីស</p-l> (informal) <p-l>កាលកិរិយាសព្ទបញ្ជាក់ពីសកម្មភាព មួយដងពីអតីតកាល។</p-l>
Aphek, City of...	<p-l>ក្រុងអាផែក</p-l>
Apiru	<p-l>សូមមើល</p-l> Hapiru
apocalypse	(prophetic disclosure or revelation) <p-l>ព្យាករណ៍</p-l>
apocalypse	(an event of great importance, generally violent) <p-l>ព្រឹត្តិការណ៍មហាវិនាស</p-l>
Apocalypse, the...	(a veiled reference to Revelation) <p-l>កណ្ឌគម្ពីវិវរណៈ</p-l> "Apocalypse of Adam" (a gnostic text written in Coptic discovered at Nag Hammadi in 1945) <p-l>ឯកសារ «វិវរណៈនៃអ័ដាម»។</p-l>
Apocalypse of Baruch	(a Jewish pseudopigraphical text written in the late 1"/early 2nd Century) <p-l>ឯកសារ «វិវរណៈនៃបារួច»។</p-l>
Apocalypse of Ezra	(also known as 2 Edras, on apocalyptic book existing in complete form only in Latin) <p-l>ឯកសារ «វិវរណៈនៃអេសដ្រាស»។</p-l>
apocalyptic	(adj) (of dreams and visions of present spiritual realities and/or the endtimes) <p-l>ដែលបើកសម្តែងពីបច្ចុប្បន្នកាលឬពេលចុងក្រោយ</p-l> (short) <p-l>ដែលបើកសម្តែង។</p-l>
apocalyptic	(reference to apocalyptic language and/or literature) <p-l>ភាសាឬអក្សរសាស្ត្រដែលបើក សម្តែងពីបច្ចុប្បន្នកាលឬពេលចុងក្រោយ</p-l> (short) <p-l>អក្សរសាស្ត្របើកសម្តែង ឬភាសាបើកសម្តែង។</p-l>
apocalypticism	(belief that there will be an apocalypse, more specifically, the world will come to an end time very soon, even within one's own lifetime) <p-l>មហាវិនាស និយម។</p-l>
apocalyptist	(a writer of apocalyptic literature) <p-l>អ្នកនិពន្ធអក្សរសាស្ត្របើកសម្តែង</p-l>
Apocrypha	[14 books of the Latin Vulgate (Bible) not in the Jewish Old Testament] <p-l>ក្រម អាប៉ូគ្រីហ្វា (កណ្ឌគម្ពីរបន្ថែមរបស់និកាយរ៉ូម៉ាំងកាតូលិក)។</p-l>
apocryphal	(adj) (of questionable authenticity) <p-l>ដែលប្រហែលមិនពិត</p-l>
Apocryphon	(Greek term for a genre of Early Christian writings meant to impart "secret teachings" or gnosis that could not be publicly taught) <p-l>ភាសាក្រេក «អាប៉ូគ្រីហ្វុន» (ប្រភេទអក្សរសាស្ត្រពីជនណស្សីស)។</p-l>
apodictic	(adj) (unquestionably true by virtue of demonstration) <p-l>ដែលអះអាងពីអ្វីដែលពិត ប្រាកដ។</p-l>
apodictic laws	(laws characterized by absolute or general commands or prohibitions) <p-l>ច្បាប់អះអាងពីអ្វីដែលពិតប្រាកដ។</p-l>
apodictic method	(philosophy: method of reasoning from premises that are self-evident) <p-l>វិធីសាស្ត្រអះអាងពីអ្វីដែលពិតប្រាកដ។</p-l>
apokalypsis	(Greek “revelation”) <p-l>ការបើកសម្តែង (ភាសាក្រេក)</p-l>
Apollinarism	(the view proposed by Apollinaris of Laodicea; see Apollinaris) <p-l>អាប៉ូលីណារីស និយម។</p-l>
Apollinaris	[Bishop of Laodicea in Syria, who emphasized the deity of Jesus and the unity of his person as far as to deny the existence of a rational human soul, a position condemned by the Synod of Constantinople (d. 390 AD)] <p-l>អភិបាល អប៉ូលីណារីស។</p-l>
Apollos	<p-l>អ័ប៉ុឡូស</p-l>
apologetic	(n) (a defence of the Christian faith in speech or writing) <p-l>ការការពារជំនឿ</p-l>
apologetics	(branch of theology concerned with the defense and rational justification of the Christian faith) <p-l>វិជ្ជាការការពារសេចក្តីជំនឿ។</p-l>
Apologists, the...	[Early Christian writers (c. 120-220 AD) who defended their faith against critics and recommended their faith to outsiders] <p-l>ថ្នាក់ដឹកនាំអភិរក្សក្តី ជំនឿ។</p-l>
apostasy	(abandonment of one's religion or faith) <p-l>ការបោះបង់ជំនឿឬសាសនា</p-l> (OT context) <p-l>ការបោះបង់សាសនា</p-l> (NT context) <p-l>ការបោះបង់ជំនឿ។</p-l>
apostate	(a person who abandons his/her religion) <p-l>អ្នកបោះបង់ជំនឿ ឬសាសនា</p-l>
a posteriori	(adj) (philosophy: Latin "from the later", knowledge or justification dependant on experience or empirical evidence) <p-l>ទិដ្ឋភាព ឬការចេះដឹងដែលអាស្រ័យដោយការ ពិសោធជាក់ស្តែង (ភាសាឡាតាំង)។</p-l>
apostle	<p-l>សាវក (គ.បៈ : សាវក គ.ខ.បៈ : សាវ័ក)</p-l> apostolic (adj) <p-l>របស់ពួកសាវក</p-l> apostleship <p-l>ភាពជា សាវក។</p-l>
Apostles Creed	(an early statement of Christian belief used widely by many denominations for liturgical purposes, but does not address Christological issues defined in the later Nicene Creed) <p-l>គោលជំនឿរបស់ពួកសាវក។</p-l>
apostolate	(the office, authority, or mission of an apostle) (office...) <p-l>តួនាទីសាវក</p-l>, (authority) <p-l>អំណាចសាវក</p-l>, (mission...) <p-l>បេសកកម្មសាវក។</p-l>
Apostolic age	(the time of the Apostles, from their commissioning to the death of the last one) <p-l>សម័យសាវក។</p-l>
Apostolic Church	(Church descended from the Apostles) <p-l>ពួកជំនុំចេញពីពួកសាវក</p-l>
Apostolic Council	(reference to the Council of Jerusalem recorded in Acts 15) <p-l>ក្រុម-ប្រឹក្សា ពួកសាវក។</p-l>
Apostolic Fathers	(a small number of early Christian authors from the second half of the 1st Century to the first half of the 2nd Century, including Clement of Rome, Ignatius of Antioch and Polycarp of Smyrna) <p-l>ពួកបុព្វបុរសសាវក។</p-l>
apotropaic	(adj) (preventing or intended to prevent evil) <p-l>ដែលការពារប្រឆាំងសេចក្ដីអាក្រក់</p-l>
appeal	(vb) (homiletics: to make an earnest request for change) <p-l>សូមធ្វើឲ្យកែប្រែចិត្ត</p-l>
appearance	(the outward or visible aspect of a person or thing) <p-l>ឫកពា (គ.ប : ឫកពា គ.ខ.បៈ សំបកក្រៅ)។</p-l>
