w	def
... ក៏ ... ដែរ	<ul><li>also, as well ខ្ញុំក៏ធ្វើការដែរ I am working also.
... ក៏... ក៏	<ul><li>both ... and ...
... ក៏ដោយ ... ក៏ដោយ	<ul><li>whether... or..., it's all the same សើចក៏ដោយយំក៏ដោយ Laugh if you like, cry if you like.
... ក៏បាន ... ក៏បាន	<ul><li>either... or...
... ក៏បានដែរ	<ul><li>... would be all right, can get along with ..., ... is OK បើគ្មានផ្កាស្លាទេ យើងយកផ្កាផ្សេងមកជំនួសក៏បានដែរ If they don't have areca flowers we'll be able to get along with a substitute.
កងទ័ពក្លែងភេទ	[kɑɑŋ toap klaeŋ pʰeet] [[កងទ័ព]] [[ក្លែង]] [[ភេទ]] 	<ul><li>lit. `the disguised army' (used by the KR to refer to Vietnamese soldiers disguised as Cambodian soldiers)
កងទ័ពចំណាន	[kɑɑŋ toap cɑm naa nɔɔ] [[កងទ័ព]] [[ចំណាន]] 	<ul><li>well-trained army
កងទ័ពជាតិកម្ពុជាប្រជាធិបតេយ្យ	[kɑɑŋ toap ciet kampuʔcie prɑcietʰiʔpaʔtay] [[កងទ័ព]] [[ជាតិ]] [[កម្ពុជាប្រជាធិបតេយ្យ]] 	<ul><li>National Army of Democratic Kampuchea (Khmer Rouge military forces)
កងទ័ពជាតិកម្ពុជាឯករាជ្យ	[kɑɑŋ toap ciet kampuʔcie ʔaek riec] [[កងទ័ព]] [[ជាតិ]] [[កម្ពុជា]] [[ឯករាជ្យ]] 	<ul><li>National Army of Independent Cambodia (Prince Sihanouk's military forces before 1983)
កងទ័ពជើងគោក	[kɑɑŋ toap cəəŋ kook] [[កងទ័ព]] [[ជើងគោក]] 	<ul><li>army, ground forces
កងទ័ពជើងទឹក	[kɑɑŋ toap cəəŋ tɨk] [[កងទ័ព]] [[ជើងទឹក]] 	<ul><li>navy
កងទ័ពតំបន់	[kɑɑŋ toap tɑmbɑn] [[កងទ័ព]] [[តំបន់]] 	<ul><li>regional force
កងទ័ពប្រចាំអាណាខែត្រ	[kɑɑŋ toap prɑcam ʔaa naa kʰaet] [[កងទ័ព]] [[ប្រចាំ]] [[អាណាខែត្រ]] 	<ul><li>territorial force
កងទ័ពប្រជាជនកម្ពុជា	[kɑɑŋ toap prɑcie cɔɔn kampuʔcie] [[កងទ័ព]] [[ប្រជាជន]] [[កម្ពុជា]] 	<ul><li>Cambodian People's Army (PRK military forces)
កងទ័ពប្រជាជនបដិវត្តកម្ពុជា	[kɑɑŋ toap prɑcie cɔɔn paʔdeʔvoat kampuʔcie] [[កងទ័ព]] [[ប្រជាជន]] [[បដិវត្ត]] [[កម្ពុជា]] 	<ul><li>Cambodian People's Revolutionary Army (PRK military forces,)
