ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ស្ទែល,"[stɛɛl] <br>1a). p bulging. <br>1b). a bulgingly."
ប្រាក់បំណុល,"[prak bɑmnol] [[ប្រាក់]] [[បំណុល]] <br>1). loan
ប្រឿង,"[prɨəŋ] <br>1). p light (of colors)."
វញ្ច,"[vaɲcaʔ] <br>1). p to trick
បង្គរឧស,"[bɑŋkɔɔ ------] [[បង្គរ]] [[ឧស]] <br>1). to pile up firewood."
ឈ្ងុយ,"[cŋuy] <br>1). p to smell delicious (generally of cooked food)."
អគុណភាព,"[ʔaʔkun pʰiep] [[អគុណ]] [[ភាព]] <br>1). calamity."
ដំណុស,"[dɑmnoh] <br>1). n cleaning
នភមណ្ឌល,"[neaʔpʰeaʔmʊəndʊəl] <br>1). n atmosphere
វញ្ឈ,"[vaɲcʰeaʔ] <br>1). p sterile
នបុំសក,"[neaʔpoŋsaʔkaʔ] <br>1). n eunuch
និយាយស៊កសៀតលេង,"[niʔyiey sɔɔk siǝt leeŋ] [[និយាយ]] [[ស៊កសៀត]] [[លេង]] <br>1). to tease
សម្ពាហិកា,"<br>1). See: សម្ពាហក."
មូរដៃអាវ,"[muu day ʔaav] [[មូរ]] [[ដៃ]] [[អាវ]] <br>1). to roll up one's shirt sleeves."
សម្រក់ជ័រល្ហុង,"[sɑmrɑk coa lhoŋ] [[សម្រក់]] [[ជ័រ]] [[ល្ហុង]] <br>1). to drain castor oil resin."
នាឡិកាប៉ោល,"[nieleʔkaa~nieliʔkaa paol] [[នាឡិកា]] [[ប៉ោល]] <br>1). pendulum clock."
កូន​សោ​,"<br>1). key. See: មេ​សោ​ 'lock.'"
ស្ទិល,"<br>1). See: ស្ទិល."
សិវិកា,"[seʔviʔkaa] <br>1). n palanquin ( See: ព្រះសិវិកា
ឆាយាបថ,"[cʰaayaabɑt] <br>1). n light beam
ពំនូកចំបើងរេល,"[pumnuuk cɑmbaəŋ reel] [[ពំនូកចំបើង]] [[រេល]] <br>1). slanting or leaning pile of hay."
ចងណែងណង,"[cɑɑŋ naeŋ-nɑɑŋ] [[ចង]] [[ណែងណង]] <br>1). to tie the ណែងណង."
ហាមឃាត់,"[haam kʰoat] [[ហាម]] [[ឃាត់]] <br>1). to forbid<br>#..). to stop (someone from doing something)
ចប់,"[cɑp] <br>1a). p to finish
ប៉ប្រេញ,"<br>1). See: ប៉ប្រិញ."
មយូរឆត្រ,"[meaʔyuureaʔcʰat] <br>1). n umbrella or parasol made of peacocks'feathers
វិកប្បនា,"[viʔkappaʔnaa] <br>1). n assignment
ត្រងោល,"[trɑŋaol] <br>1). p shaved (of the head)."
កំប៉េះគូថ,"[kɑmpeh kuut] [[កំប៉េះ]] [[គូថ]] <br>1). buttocks. See: កំប៉េះក្តិត"
សាកជាតិ,"[saak ciet] [[សាក]] [[ជាតិ]] <br>1). leguminous plant."
មានព្រះពុទ្ធដីកា,"[mien preah put dəykaa] [[មាន]] [[ព្រះពុទ្ធដីកា]] <br>1). to speak (of a Buddhist priest)."
ប្រឹស្ឋ,"[prəh] <br>1). n back ( Sanskrit pṛishta"
រនាតធុង,"[rɔniet tʰuŋ] [[រនាត]] [[ធុង]] <br>1). kind of Khmer xylophone."
សិទ្ធិមគ្គ,"[settʰiʔ~sət meak] [[សិទ្ធិ]] [[មគ្គ]] <br>1). road to prosperity. See: សិទ្ឋិមាគ៌ា"
ថ្នល់មានអាទិភាព,"[tnɑl mien ʔaatiʔ pʰiep] [[ថ្នល់]] [[មាន]] [[អាទិភាព]] <br>1). priority road."
អន្តគុណ,"[ʔɑntaʔkun] <br>1). n small intestine. Pali antaguna"
ចុម្ពិតពល,"[compitpʊəl] <br>1). n magnetism (physical force). Sanskrit cumbita;<br> bala"
អំពើសហ័ស,"[ʔɑmpǝǝ saʔhah] [[អំពើ]] [[សហ័ស]] <br>1). brave act;<br> bad deed."
ទោសខ្ញុំ!,"[--i4-- ] [[ទោសខ្ញុំ!]] <br>1). If there is anything improper in what I have said please excuse me."
ធ្មេញសំញាញ,"[tmɨɲ ------] [[ធ្មេញ]] [[សំញាញ]] <br>1). bright teeth;<br> prominent teeth."
ប័ណ្ណចាកទី,"[ban caak tii] [[ប័ណ្ណ]] [[ចាក]] [[ទី]] <br>1). evacuation permit."
រូបមន្ត,"[ruup mʊən] [[រូប]] [[មន្ត]] <br>1). formula."
កញ្ចាស់,"[kaɲcah] <br>1). p worn out
ប្រសាសន៍,"[prɑsaah] <br>1). n order;<br> words;<br> message
អធិវាសនបត្រ,"[ʔaʔtʰiʔvieh nɔɔp trɑɑ] [[អធិវាស]] [[នប]] [[ត្រ]] <br>1). statement accepting an invitation."
ស្លឹកឈើ,"[slǝk cʰəə] [[ស្លឹក]] [[ឈើ]] <br>1). leaves."
សម្មាទស្សនៈ,"[sammaa ------] [[សម្មា]] [[ទស្សនៈ]] <br>1). right thinking
វិនាយិកា,"<br>1). See: វិនាយក."
ពែងអាកោ,"[pɛɛŋ ʔaakao] [[ពែង]] [[អាកោ]] <br>1). small cup used to make the above cake.<br>#..). small cup used to make the cake called អាកោ."
ចងកំហឹង,"[cɑɑŋ kɑmhəŋ] [[ចង]] [[កំហឹង]] <br>1). to hold a grudge
ធ្វើលេខ,"[tvəə leek] [[ធ្វើ]] [[លេខ]] <br>1). to calculate
អធិគតវិជ្ជា,"[ʔaʔtʰiʔkɔǝt vɨccie] [[អធិគត]] [[វិជ្ជា]] <br>1). acquired knowledge."
រាជាប្រជាធិបតេយ្យ,"[riecie prɑcietʰiʔpaʔtay] [[រាជា]] [[ប្រជាធិបតេយ្យ]] <br>1). monarchic democracy.<br>#..). n monarchic democracy. Sanskrit
ពុទ្ឋសាស្នា,"<br>1). See: ពុទ្ឋសាសនា."
បដិលោម,"[paʔdeʔlaom] <br>1a). p reversible
និយាយឡិកឡក់,"[niʔyiey lǝk-lak] [[និយាយ]] [[ឡិកឡក់]] <br>1). to stammer
ចុល្ល,"[collaʔ] <br>1). p small
ក្ដៅសង្អន់ៗ,"<br>1). សង្អន់"
ដើរច្រេញច្រុញ,"[daə crəɲ-croɲ] [[ដើរ]] [[ច្រេញច្រុញ]] <br>1). to walk around hesitantly
ប្រទេសអាណាព្យាបាល,"[prɑteeh ʔaa naa pyiebaal] [[ប្រទេស]] [[អាណាព្យាបាល]] <br>1). protectorate."
គ្រឿងសម្ភារ,"[krɨəŋ sɑmpʰie] [[គ្រឿង]] [[សម្ភារ]] <br>1). implement
អគារវទោស,"[ʔaʔkie vɔɔ tooh] [[អគារ]] [[វ]] [[ទោស]] <br>1). offense"
យាវកាលិក,"[yieveaʔkaalɨk] <br>1). n that which can be done only in the morning before noon;<br> food which can only be eaten before noon. See: កាន់សិល Pali yāvakālika 'occasional
ស្រុកមានសុភិក្ខ,"[srok mien soʔpʰik] [[ស្រុក]] [[មាន]] [[សុភិក្ខ]] <br>1). prosperous country."
អង្គុយច្រហោង,"[ʔɑŋkuy crɑhaoŋ] [[អង្គុយ]] [[ច្រហោង]] <br>1). to sit on one's heels
ពុទ្ធសាសនា,"[puttʰeaʔsahsaʔnaa] <br>1). n Buddhism. See: ពុទ្ឋសាស្នា Sanskrit
ការិយាល័យភូមិបាល,"[kaariʔyaalay pʰuum baal] [[ការិយាល័យ]] [[ភូមិបាល]] <br>1). land office."
អដ្ឋិកល្យាណ,"[ʔattʰeʔ kɑlyaan] [[អដ្ឋិ]] [[កល្យាណ]] <br>1). beauty of bones (of the teeth). Pali aṭṭhikalyāṇa"
ដើរទេស,"[daə teeh] [[ដើរ]] [[ទេស]] <br>1). to live a wandering life.<br>#..). to wander
គ្រហរ,"[krɔhɔɔ] <br>1). n mildly insulting word often used among friends as a term of address."
ខូចផ្ដាច់,"[kʰooc pdac] [[ខូច]] [[ផ្ដាច់]] <br>1). the worst
ព្រហមព្រលែត,"[krɑhɑɑm prɔlɛɛt] [[ក្រហម]] [[ព្រលែត]] <br>1). faded red."
យុគសិលាបរមបុរាណ,"[yuk seʔlaa bɑrom boʔraan] [[យុគ]] [[សិលាបរមបុរាណ]] <br>1). សិលាបរមបុរាណ"
សហភាតា,"[saʔhaʔ pʰietaa] [[សហ]] [[ភាតា]] <br>1). fellow member
រថបញ្ជរ,"[rʊət bɑɲcɔɔ] [[រថ]] [[បញ្ជរ]] <br>1). body or structure of a chariot."
អត្តនោបទ,"[ʔattaʔnaobɑt] <br>1). n middle voice (of verbs). Pali atta-nopada"
ឆន្ទៈរបស់ប្រជាជាតិ,"[cʰanteaʔ rɔbɑh prɑcie ciet] [[ឆន្ទៈ]] [[របស់]] [[ប្រជាជាតិ]] <br>1). national will
កំរ,"[kɑmrɑɑ] <br>1). n poverty
ចបប៉ែល,"[cɑɑp pael] [[ចប]] [[ប៉ែល]] <br>1). shovel. (Fr. pelle.)"
លឿយស្បែកត្រី,"[lɨǝy sbaek trəy] [[លឿយ]] [[ស្បែក]] [[ត្រី]] <br>1). to peel fish skin."
ទូក,"[tuuk] <br>1). n boat
ស្រីមតី,"<br>1). See: ស្រីម័ត."
ជយោបាយ,"[ceaʔyoobaay] <br>1). n victory scheme or strategy. Sanskrit
សយនដ្ឋាន,"[saʔyaʔnaʔ ------] [[សយនៈ]] [[ដ្ឋាន]] <br>1). dormitory."
ផែនស្វាយ,"[pʰaen svaa yɔɔ] [[ផែន]] [[ស្វាយ]] <br>1). preserved mango made into sheets."
ប្រណីតាហារ,"[prɑnəytaahaa] <br>1). n sumptuous feast
បំបែរព្រែក,"[bɑmbae prɛɛk] [[បំបែរ]] [[ព្រែក]] <br>1). to divert a stream."
វក់សាសនា,"[vʊək saasnaa] [[វក់]] [[សាសនា]] <br>1). to be a fanatic in matters of religion."
ការរំពា,"[kaa rumpie] [[ការ]] [[រំពា]] <br>1). marriage of love."
ប្រែភាសា,"[prae pʰiesaa] [[ប្រែ]] [[ភាសា]] <br>1). to translate."
ទូង,"[tuuŋ] <br>1). i See: ទួង <br>1). p to beat
គគ្រេង,"[kɔkreeŋ] <br>1). i sound of waves breaking;<br> sound of children splashing in the water. See: គគ្រេងគគ្រាំ"
អកាលបុច្ចា,"[ʔaʔkaal ------ ] [[អកាល]] [[បុច្ចា]] <br>1). questioning at the wrong time."
សម្បារ,"[sɑmbaa] <br>1). n kind of cord made from the fibrous trunk of the banana tree. See: សំបារ"
ម៉ាញេស៊ូម,"[maaɲeesuum] <br>1). n magnesium."
ទូច,"[tuuc] <br>1). p (modified form of តូច) small."
ប្ដូរផ្ដាច់,"[pdoo pdac] [[ប្ដូរ]] [[ផ្ដាច់]] <br>1). (or: ផ្តាច់ប្តូរ) to face dangers or risks together;<br> to exchange something irrevocably."
សលាក,"[saʔlaakaʔ] <br>1). n label (for object or merchandise identification
លេបអាភៀន,"[leep ʔaapʰiən] [[លេប]] [[អាភៀន]] <br>1). to swallow or eat the residue of opium."
គ្រាប់ល្ង,"[kroap lŋɔɔ] [[គ្រាប់]] [[ល្ង]] <br>1). sesame seed."
មនុស្សឃ្លង់,"[mɔnuh~meaʔnuh~mɔnɨh klʊəŋ] [[មនុស្ស]] [[ឃ្លង់]] <br>1). leper."
ផ្ការាំទឹករាំ,"[pkaa roam tɨk roam] [[ផ្កា]] [[រាំ]] [[ទឹក]] [[រាំ]] <br>1). a Khmer epic poem 'The Dance of the Flowers and the Water.'"
មុខអាក្រក់,"[muk ʔaakrɑk] [[មុខ]] [[អាក្រក់]] <br>1). ugly face."
បៃតងថ្មយក់,"[baytɑɑŋ tmɑɑ yʊək] [[បៃតង]] [[ថ្មយក់]] <br>1). jade green."
ពៃរ៍,"[pey] <br>1). n a crime resulting from vengeance. revengeful
សក់ឡក់,"[sɑk-lɑk] <br>1a). p playful;<br> frivolous;<br> careless. <br>1b). a playfully;<br> frivolously;<br> carelessly."
ទៅខាងមុខ,"[tɨv~toh kʰaaŋ muk] [[ទៅ]] [[ខាងមុខ]] <br>1). to go in front."
គេហកិច្ច,"[keehaʔkəc] <br>1). n housekeeping
ឆត្រ,"[cʰat] <br>1). n halo
ទូញ,"[tuuɲ] <br>1a). p bulging
ល្ហោល,"<br>1). x See: រហោល"
ប្របេរ,"[prɑbeɛ] <br>1). n edge of the lips/of the mouth. See: ពពីរមាត់"
ក្លិង្គម្នាក់,"[kləŋ mneak] [[ក្លិង្គ]] [[ម្នាក់]] <br>1). an Indian."
បណីតភាព,"<br>1). See: ប្រណីតភាព."
ថ្ងៃរះ,"[tŋay reah] [[ថ្ងៃ]] [[រះ]] <br>1). sunrise."
ស្គរធំ,"[skɔɔ tʰom] [[ស្គរ]] [[ធំ]] <br>1). large drum
វិសុទ្ធ,"[viʔsot] <br>1). p purest
ត្រហេបត្រហប,"[trɑheɛp-trɑhɑɑp] <br>1). a exhaustedly (of breathing)."
សំបើមគួរភ្លឹក,"[sɑmbaǝm kuə plɨk] [[សំបើម]] [[គួរ]] [[ភ្លឹក]] <br>1). to be horrible
ល្ហោស,"<br>1). x See: រហោស"
បញ្ចុះបញ្ចូល,"[bɑɲcoh bɑɲcool] [[បញ្ចុះ]] [[បញ្ចូល]] <br>1). to persuade
ទូត,"[tuut] <br>1a). n envoy;<br> diplomat. <br>1b). p delegated or commissioned (to do something). Sanskrit
ស្រឡាញ់,"[srɑlaɲ] <br>1). p to like
ល្ហឹម,"[lhǝm] <br>1). p covering a great space (in length)."
ស្វាយអាត់,"[svaa yɔɔ ʔat] [[ស្វាយ]] [[អាត់]] <br>1). kind of very small mango."
កោះរកូតក្នុងសមុទ្រ,"[kɑh rɔkoot knoŋ sɑɑ muʔtreaʔ] [[កោះ]] [[រកូត]] [[ក្នុង]] [[ស]] [[មុទ្រ]] <br>1). islands dotting the sea."
ប្លិច,"[pləc] <br>1). a quickly
រសាត់តាមខ្យល់,"[rɔsat taam kyɑl~kcɑl] [[រសាត់]] [[តាម]] [[ខ្យល់]] <br>1). to float in the air
ការរវល់,"[kaa rɔvʊəl] [[ការ]] [[រវល់]] <br>1). affair
បង្ខាត់ចិត្ត,"[bɑŋkʰat cət] [[បង្ខាត់]] [[ចិត្ត]] <br>1). to irritate. Tandart"
ស្ទែះ,"[steh] <br>1). p worn and chipped. See: ស្ទេះ"
យោងអន្ទង,"[yooŋ ʔɑntɔɔŋ] [[យោង]] [[អន្ទង]] <br>1). See: យោង.<br>#..). to relieve someone from difficulty
មេឃមាត្រវិធី,"[meekʰeaʔmietraʔviʔtʰii] <br>1). n hygrometry."
សូត្រកំណាព្យបីចប់,"[soot kɑmnaap bəy cɑp] [[សូត្រ]] [[កំណាព្យ]] [[បី]] [[ចប់]] <br>1). to recite a poem three times."
បង្ហៀរសេះ,"[bɑŋhiə seh] [[បង្ហៀរ]] [[សេះ]] <br>1). bridle."
ឧកញ៉ាវាំង,"[ʔokɲaa veaŋ] [[ឧកញ៉ា]] [[វាំង]] <br>1). high palace official.<br>#..). title of a former royal official [according to Tandart he was a majordomo and superintendent of finances]."
វិញ្ញាបនប័ត្រខាងរជ្ជុករ,"[vɨɲɲiebannaʔbat kʰaaŋ raccuʔkɑɑ] [[វិញ្ញាបនប័ត្រ]] [[ខាង]] [[រជ្ជុករ]] <br>1). land surveying certificate."
ហ្មាយ,"[maay] <br>1). p to notice;<br> to remark;<br> to note. <br>2). n subpoena."
វេស្សន្តរជាតក,"[veehsɑntaʔraʔ~veehsɑndɑɑ ciedɑk~cietɑk] [[វេស្សន្តរ]] [[ជាតក]] <br>1). the Vessantara Jātaka."
វិញ្ញាបនប័ត្រកាយសម្បទា,"[vɨɲɲiebannaʔbat kaay ------] [[វិញ្ញាបនប័ត្រ]] [[កាយ]] [[សម្បទា]] <br>1). physical fitness certificate."
វត្ថុឯកទេស,"[voattʰoʔ ʔaek teeh] [[វត្ថុ]] [[ឯកទេស]] <br>1). patented object;<br> specialty."
ខាងៗ,"<br>1). on the side
ឆ្នាំងអ៊ុត,"[cnaŋ ʔut] [[ឆ្នាំង]] [[អ៊ុត]] <br>1). iron<br>#..). pressing iron."
ត្រប៉ក់,"[trɑpɑk] <br>1). p blistering
អថាវរៈ,"[ʔaʔtʰaaveaʔraʔ] <br>1). p precarious
ស្អែក,"[sʔaek] <br>1). a tomorrow."
ស្មុកស្មាញ,"[smok-smaaɲ] <br>1). p complex
សុរគជ,"[soʔraʔ keaʔceaʔ~kʊəc] [[សុរ]] [[គជ]] <br>1). Indra's elephant."
គគ្រាត,"[kɔkriet] <br>1). p rough
ស្នាមជើងក្រឡាញ,"[snaam cəəŋ krɑlaaɲ] [[ស្នាមជើង]] [[ក្រឡាញ]] <br>1). clear footprints."
សេរីការ,"[seɛrǝy kaa] [[សេរី]] [[ការ]] <br>1). liberation."
ដើរវីមវាម,"[daə viim-viem] [[ដើរ]] [[វីមវាម]] <br>1). to weave (in walking)."
ទន្លីង,"[tʊənliiŋ] <br>1). n ring (made of rattan or liana) used to tie an elephant's feet;<br> shackle
អព្ភន្តរ,"[ʔappʰoantaʔraʔ ~ ʔappʰoandɑɑ] <br>1). n inside
ទូរ,"[tuu] <br>1). p to compare."
បណ្ឌិតមានី,"[bandiʔtaʔmienii] <br>1). n conceited person;<br> one who has an excessively high opinion of his own ability or knowledge."
ខ្ពាក់ៗ,"[kpeak-kpeak] <br>1). p to pour down heavily (of rain). See: ធ្លាក់ខ្ពាក់ៗ"
ហិរញ្ញវេកល្យ,"[heʔraɲɲeaʔveekal] <br>1). n debit;<br> balance of an account."
ពោធិ,"[pootʰiʔ] <br>1). n illumination
ជម្ងឺឈាមខ្វះ,"[cumŋɨɨ cʰiem kvah] [[ជម្ងឺ]] [[ឈាម]] [[ខ្វះ]] <br>1). hypotension
ចិត្តល្អ,"[cət lʔɑɑ] [[ចិត្ត]] [[ល្អ]] <br>1). generous<br>#..). good heart
ទីឃបាទបក្សី,"[tiikʰeaʔbaatbaksəy] <br>1). n wading bird."
អក្ខរក្រម,"[ʔakkʰaʔraʔ krɑm] [[អក្ខរៈ]] [[ក្រម]] <br>1). alphabet. See: អក្សរក្រម"
ចូលប្លុកក្នុងបន្ទប់,"[cool plok knoŋ bɑntup~(ptup~ktup] [[ចូល]] [[ប្លុក]] [[ក្នុង]] [[បន្ទប់]] <br>1). to enter a room quickly."
បណ្ឌុកម្ពលសិលា,"[banduʔkampeaʔleaʔseʔlaa] <br>1). n orange-colored sacred rock where Indra sits."
ខាងម្ដាយ,"[kʰaaŋ mdaay] [[ខាង]] [[ម្ដាយ]] <br>1). maternal (side of the family)."
បរិយាយប័ណ្ណ,"[paʔreʔyaayeaʔban] <br>1). n prospectus. Pali pariyāya;<br> paṇṇa 'leaf
អំបូងស្នែង,"[ɑmbooŋ snaeŋ] [[អំបូង]] [[ស្នែង]] <br>1). kind of banana."
មនុស្សខាតលក្ខណ៍,"[mɔnuh~meaʔnuh~mɔnɨh kʰaat ------] [[មនុស្ស]] [[ខាតលក្ខណ៍]] <br>1). unlucky people
សួព្រ័ត្រ,"[suǝ proat] [[សួ]] [[ព្រ័ត្រ]] <br>1). to dance on a suspended strong skin cord with a peacock tail in the hands."
លំបិន,"[lumbǝn] <br>1). p miserable
គ្រហូ,"[krɔhuu] <br>1). p open
ដិតដោយ,"[dət daoy] [[ដិត]] [[ដោយ]] <br>1). to become closely attached to someone. See: ដិតដោយយំដោយ"
មានគំនិតរលុង,"[mien kumnit rɔluŋ] [[មានគំនិត]] [[រលុង]] <br>1). to be quick in one's thinking;<br> to have a quick mind."
អាយុជន្ម,"[ʔaayuʔ cʊənmeaʔ~cʊən] [[អាយុ]] [[ជន្ម]] <br>1). age counting from the date of birth). See: អាយុជន្មន
សុរគត,"[soʔraʔ kɔɔ tɑɑ] [[សុរ]] [[គ]] [[ត]] <br>1). to die ( <br>2). to be reborn as an angel."
គៀកក,"[------ kɑɑ] [[គៀក]] [[ក]] <br>1). to embrace affectionately by putting the arms around or touching the neck (for example
និយាយទាក់ទង,"[niʔyiey teak tɔɔŋ] [[និយាយ]] [[ទាក់ទង]] <br>1). to begin discussions;<br> to get to know someone by speaking to him."
អ្នកធំ,"[neak tʰom] [[អ្នក]] [[ធំ]] <br>1). dignitary<br>#..). high official
អួត,"[ʔuət] <br>1). p to exaggerate
អគ្គីជ្វាលា,"[ʔakkii cvielie] [[អគ្គី]] [[ជ្វាលា]] <br>1). bright light. Pali aggi 'fire
គ្រហើ,"[krɔhəə] <br>1a). p rude
រគេងរគោង,"[rɔkeeŋ-rɔkooŋ] <br>1). p unevenly arranged
បុរេអវសិដ្ឋ,"[boʔreeʔaʔveaʔsət] <br>1). n unclaimed pension. Pali pure;<br> avasiṭṭha 'remaining.'"
អច្ចានុរោធ,"[ʔaccaanuʔroot] <br>1). n obsequinousness
ហ្វ្រង្ក,"[fraŋ] <br>1). n a franc (French monetary unit)."
និទ្រាលុភាព,"[nittrieluʔpʰiep] <br>1). n lethargy."
ល្អិតល្អ,"[lʔǝt lʔɑɑ] [[ល្អិត]] [[ល្អ]] <br>1). fine and smooth all over."
រាជព្រឹក្ស,"[rieceaʔprɨk] <br>1). See: រាជឆ្ពឹស <br>1). n king of the plants;<br> royal plant. <br>2). n any tree which has beautiful flowers. <br>3). n kind of tree with yellow clusters of flowers. Sanskrit
អួន,"[ʔuən] <br>1). n kind of large fishing net
រីកស្គុល,"[riik skul] [[រីក]] [[ស្គុល]] <br>1). to expand awkwardly."
ឧបនាយក,"[ʔuʔpaʔnieyɔǝk] <br>1). n vice-president
ចំពាស់កណ្ដៀវ,"[cɑmpoah kɑndiəv] [[ចំពាស់]] [[កណ្ដៀវ]] <br>1). fork of a sickle or scythe."
អនាវាស,"[ʔaʔnaavieh] <br>1). n deserted/abandoned building;<br> homeless person. Pali anāvāsa"
ក្ដាមគ្រោង,"[kdaam krooŋ] [[ក្ដាម]] [[គ្រោង]] <br>1). big crab.<br>#..). kind of large crab."
ងូតទឹក,"[ŋuut tɨk] [[ងូត]] [[ទឹក]] <br>1). to take a shower."
ស្រាំងរមៀត,"[sraŋ rɔmiət] [[ស្រាំង]] [[រមៀត]] <br>1). kind of wasp."
ញែក,"[ɲɛɛk] <br>1). p to split
គន្ធរស,"[koantʰeaʔrʊəh] <br>1). n perfume<br>#..). smell
កាច់ច្រក,"[kac crɑɑk] [[កាច់]] [[ច្រក]] <br>1). hinged breechloader
អួល,"[ʔuəl] <br>1). p to gag on something;<br> to choke."
សត្វហីនជាតិ,"[sat hǝyneaʔ~hǝn ciet] [[សត្វ]] [[ហីនជាតិ]] <br>1). lower animals
រម្ងាស់,"<br>1). See: រំងាស់."
រទេះអូស,"[rɔteh ʔooh] [[រទេះ]] [[អូស]] <br>1). kind of roofless cart
មាន់អាំង,"[moan ʔaŋ] [[មាន់]] [[អាំង]] <br>1). roast chicken."
នាំចេញ,"[noam cəɲ] [[នាំ]] [[ចេញ]] <br>1). to take out
ប្រថមារម្ភ,"[prɑtʰaʔmaarɑm] <br>1). p preliminary. Sanskrit prathama;<br> ārambha 'undertaking
ស្រីទេពកញ្ញា,"[srǝy teep kaɲɲaa] [[ស្រី]] [[ទេពកញ្ញា]] <br>1). ទេពកញ្ញា"
សគ្គមោក្ខ,"[sakkeaʔ mookkʰaʔ] [[សគ្គ]] [[មោក្ខ]] <br>1). paradise and nirvana."
រាជនត្តា,"[riec noattaa] [[រាជ]] [[នត្តា]] <br>1). king's grandchildren."
ស្អែល,"[sʔael] <br>1). p protruding or jutting out clearly (of a belly). See: ស្អ៊ែល"
សាលាស្រុក,"[saalaa srok] [[សាលា]] [[ស្រុក]] <br>1). administrative headquarters of a district.<br>#..). district offices."
វិបត្តិគណៈរដ្ឋមន្ត្រី,"[viʔbat~viʔpattiʔ keaʔnaʔ roat~roattʰaʔ mʊəntrəy] [[វិបត្តិ]] [[គណៈរដ្ឋមន្ត្រី]] <br>1). cabinet crisis."
លំអក់ចិត្ត,"[lumʔɑk cət] [[លំអក់]] [[ចិត្ត]] <br>1). to upset feelings."
ប៉ប្រេះ,"[pɑpreh] <br>1). p beginning to open or burst (of rice grains). See: ប្រេះ."
រំអុករំអែ,"[rumʔok-rumʔae] <br>1). p to persist in repeating the same thing over and over. វាចេះតែមករំអុករំអែឲ្យខ្ញុំ He always persists in asking for the same thing over and over."
បណ្ឌិតមានះ,"[bandiʔtaʔmieneah] <br>1). n conceit
ច្រិមច្រុម,"[crəm-crom] <br>1a). p to hesitate. <br>1b). a hesitantly and timidly. See: ច្រុមៗ"
អុកឡុក,"[ʔok-lok] <br>1a). p revolting
រូបល្អសន្លាង,"[ruup lʔɑɑ sɑnlaaŋ] [[រូបល្អ]] [[សន្លាង]] <br>1). neat and beautiful figure."
ប្រដែប្រដៅ,"[prɑdae-prɑdav] <br>1). p to teach
មួយទឹក,"[muə yɔɔ tɨk] [[មួយ]] [[ទឹក]] <br>1). one round (in a boxing match).<br>#..). one round (of a fight
កាំបិតឆែប,"[kambət cʰaep] [[កាំបិត]] [[ឆែប]] <br>1). knife with a nicked blade."
ចាក់បញ្ច្រូច,"[cak bɑɲcrooc] [[ចាក់]] [[បញ្ច្រូច]] <br>1). to pour (water) through the spout of a pot."
មនុស្សរាប់ពាន់,"[mɔnuh~meaʔnuh~mɔnɨh roap poan] [[មនុស្ស]] [[រាប់]] [[ពាន់]] <br>1). thousands of people."
ក្អឿយ,"[kʔɨəy] <br>1). n an instrument used to spin silk or cotton threads."
អវគ្រាះ,"[ʔaʔveaʔkrieh] <br>1). n seizure
សំពៀត,"[sɑmpiǝt] <br>1). n portfolio
ប្រឡងឫទ្ធិ,"[------ rɨt] [[ប្រឡង]] [[ឫទ្ធិ]] <br>1). contest of strength."
ថ្ងៃណា?,"[tŋay naa ------] [[ថ្ងៃ]] [[ណា]] [[?]] <br>1). which day? when?"
គណ្ឋី,"[kɔantʰəy] <br>1). n Buddhist treatise on religious discipline."
ស្រុកកើតរត់លូន,"[srok kaət rʊət luun] [[ស្រុក]] [[កើត]] [[រត់លូន]] <br>1). an insecure village (whose villagers flee to hide in the jungle in order to escape danger)."
កម្មវាចា,"[kammaʔviecaa] <br>1). n prayer or chant which takes place during a gathering of monks. Pali kammavācā"
ទាំងៗ,"[teaŋ-teaŋ] <br>1). i sound of a huge drum (used by watchmen to indicate time). See: ទាំៗ"
ជរាកាស,"[creaʔriekaah] <br>1). n cough that produces premature old age;<br> cough caused by old age. Sanskrit jarākāsa"
ដើមកាកី,"[daəm kaakəy] [[ដើម]] [[កាកី]] <br>1). a plant (Amomum medium). Tandart"
អង្គប់កណ្ដុរ,"[ʔɑŋkup kɑndao~kɑndol] [[អង្គប់]] [[កណ្ដុរ]] <br>1). mousetrap."
ស្នាមរសុសខ្លួន,"[snaam rɔsoh kluən] [[ស្នាម]] [[រសុស]] [[ខ្លួន]] <br>1). scars all over the body."
ពិចារណាឲ្យល្អិត,"[piʔcaaraʔnaa~piʔcaarənaa ʔaoy lʔǝt] [[ពិចារណា]] [[ឲ្យ]] [[ល្អិត]] <br>1). to examine thoroughly in every small detail."
និយាយខ្សុច,"[niʔyiey ksoc] [[និយាយ]] [[ខ្សុច]] <br>1). to exchange secret signals
បែចេញ,"[------ cəɲ] [[បែ]] [[ចេញ]] <br>1). to turn away."
វិស្សុតនាម,"[vihsotaʔniem] <br>1). p renowned
បញ្ញត្តិរបៀប,"[baɲɲat rɔbiəp] [[បញ្ញត្តិ]] [[របៀប]] <br>1). organic law."
រឆេងរឆូង,"[rɔcʰeɛŋ-rɔcʰooŋ] <br>1). p rough
ឍាមរា,"[tʰiemeaʔrie] <br>1). n (sacred) goose. Sanskrit ḍhāmarā"
អនុគ្រោះ,"[ʔaʔnuʔkrʊəh] <br>1). p to sponsor;<br> to favor. Sanskrit anugrah"
