ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
អភិហារ,"[ʔaʔpʰiʔhaa] <br>1). n snatching
ហទយក័ណ្ណស្ដាំ,"[haʔtey~haʔteaʔyeaʔ- ------ sdam] [[ហទយ]] [[ក័ណ្ណ]] [[ស្ដាំ]] <br>1). the right auricle (of the heart)."
កន្ត្រាក់,"[kɑntrak] <br>1). p to snatch
លាយនកម្ម,"[lieyeaʔneaʔ/kam] <br>1). n harvesting
រាគាភិភូត,"[riek ------] [[រាគ]] [[អភិភូត]] <br>1). dominated by sexual desire."
រត់ចេញរប៉ាយ,"[rʊət cəɲ rɔpaay] [[រត់ចេញ]] [[រប៉ាយ]] <br>1). to run away from a place fast and in different directions."
កន្ត្រប់,"[kɑntrɑp] <br>1). n a kind of fresh water fish."
ត្រងិល,"[trɑŋəl] <br>1). p bald
អង្គុយពភ្លៀក,"[ʔɑŋkuy pɔpliək] [[អង្គុយ]] [[ពភ្លៀក]] <br>1). to sit with the body inclined."
រផាត់រទាំង,"[rɔpʰat-rɔteaŋ] <br>1a). p in ruins;<br> reduced in quantity. <br>1b). a disorderly."
ប៉ផ្ដិតប៉ផ្ដូង,"[pɑptət-pɑptooŋ] <br>1). a bouncing/ hopping manner."
ទេព្វិរូ,"<br>1). See: ទេពទារូ."
វៃយាករណ៍,"<br>1). See: វេយ្យាករណ៍."
ប្រតែងប្រតោង,"[prɑtaeŋ-prɑtaoŋ] <br>1). p to hang on to (a branch of a tree)
ត្របកចក្ខុ,"[trɑbɑɑk cakkʰoʔ] [[ត្របក]] [[ចក្ខុ]] <br>1). eyelid. See: ត្របកភ្នែក"
ខ្វាត់ខ្វែង,"[kvat-kvaeŋ] <br>1). p intertwined
ពន្យុះ,"[pʊənyuh] <br>1). p to incite."
បណ្ដូលយាប្លង,"[bɑndool yie plɑɑŋ] [[បណ្ដូល]] [[យាប្លង]] <br>1). plant with medicinal flowers. Tandart"
ស្ញាញទ្រា,"[sɲaaɲ trie] <br>1). p to get stuck and be unable to advance;<br> to shrink back."
សំយោជន,"[saŋyooceaʔneaʔ] <br>1). n strong passions which are considered as fetters or bonds (especially those which bind man to the wheel of transmigration). See: សញ្ញោជន Pali saṅyojana"
ជិះរថយន្ត,"[cih rʊət yʊən] [[ជិះ]] [[រថយន្ត]] <br>1). to ride in an automobile."
មនុស្សរបឹង,"[mɔnuh~meaʔnuh~mɔnɨh rɔbəŋ] [[មនុស្ស]] [[របឹង]] <br>1). stubborn person."
មច្ឆានុ,"[maccʰaanuʔ] <br>1). n mermaid. Pali maccha 'fish;' ?"
ព័ទ្ធមួយជុំ,"[poat muə yɔɔ cum] [[ព័ទ្ធ]] [[មួយ]] [[ជុំ]] <br>1). to wrap around once (especially string)."
ឱង្កា,"<br>1). See: អង្កា."
រោគងងុយ,"[rook ŋɔŋuy] [[រោគ]] [[ងងុយ]] <br>1). exanthematous typhus (a fever that causes the patient to sleep all the time)."
រៀបរាប់,"<br>1). See: រាប់រៀប."
ពេលទំនេរ,"[peel tumnee] [[ពេល]] [[ទំនេរ]] <br>1). (during) spare or leisure time.<br>#..). spare time."
សាមិក,"[saamɨk] <br>1). n owner
កំជេញ​,"[kɑmcɨɲ] <br>1). p to repeat oneself
អត្ថិភាព,"[ʔattʰeʔpʰiep] <br>1). n existence
បបូរមាត់ប៉ប្រិម,"[bɑboo moat pɑprəm] [[បបូរមាត់]] [[ប៉ប្រិម]] <br>1). attractive
ឥន្ធនសិលា,"[ʔentʰeaʔneaʔseʔlaa] <br>1). n peat
សុរិយ័ន,"[soʔriʔyoan] <br>1). n sun"
ស្លាជម,"[slaa cɔɔm] <br>1). n religious offering consisting of a section of banana tree trunk<br>#..). offering of areca placed in a piece of banana-tree trunk."
តែងច្បាប់,"[taeŋ cbap] [[តែង]] [[ច្បាប់]] <br>1). to make (write) a law."
ភ្នាក់ងារដ្ឋាភិបាល,"[------ roattʰaapʰiʔbaal] [[ភ្នាក់ងារ]] [[រដ្ឋាភិបាល]] <br>1). government official."
ភ្លេចត្រចៀក,"[plɨc trɑciək] [[ភ្លេច]] [[ត្រចៀក]] <br>1). to be careless<br>#..). to pay no attention to
អង្គុយពភ្លឹះទាល់ព្រឹក,"[ʔɑŋkuy pɔplɨh toal prɨk] [[អង្គុយ]] [[ពភ្លឹះ]] [[ទាល់]] [[ព្រឹក]] <br>1). to sit in a daze all night."
ស្លុតីវាទិន,"[slotdǝy vie tɨn] [[ស្លុតី]] [[វា]] [[ទិន]] <br>1). person who likes to compliment others verbally. See: ស្លុតីវាទិនី See: ស្លុតីវាទី"
ដាំដូង,"[dam dooŋ] <br>1a). p to fall upside down. See: ដាំទីង <br>1b). a upside down."
ផ្គាប់,"[pkoap] <br>1). p to satisfy (someone)
បណ្ដុំ,"[bɑndom] <br>1). n gathering
ម៉ត់,"<br>1). See: ហ្មត់."
ជ្រូកព្រុល,"[cruuk prul] <br>1). n kind of small animal<br>#..). peccary."
សាបវាទី,"[saap vietii] [[សាប]] [[វាទី]] <br>1). person who tends to support his statements with oaths. See: សាបវាទិនី"
វក្កំ,"[veakkaŋ] <br>1). n kidney. Pali vakka"
ទេសកាល,"[teeh kaal] [[ទេស]] [[កាល]] <br>1). circumstance.<br>#..). n place and time (for something);<br> unusual time;<br> period during which an unusual event takes place. Sanskrit
បណ្ដុះ,"[bɑndoh] <br>1). p to sow seed
និយាយគំរាម,"[niʔyiey kumriem] [[និយាយ]] [[គំរាម]] <br>1). to chide
សិទ្ធិធ្វើមរតកសាសន៍,"[settʰiʔ~sət tvəə meaʔtaʔkaʔ sah] [[សិទ្ធិ]] [[ធ្វើ]] [[មតកសាសន៍]] <br>1). right to make one's will."
របស់សគុណ,"[rɔbɑh saʔkun] [[របស់]] [[សគុណ]] <br>1). object that is given as a favor or kindness."
អសុចិដ្ឋាន,"[ʔɑɑ soʔceʔ ------] [[អសុចិ]] [[ដ្ឋាន]] <br>1). dirty place."
ក្របខណ្ឌ,"[krɑɑp kʰan] <br>1). n frame
ខ្សែក្ដោង,"[ksae kdaoŋ] [[ខ្សែ]] [[ក្ដោង]] <br>1). halyard
ក្រដាសត្រចៀក,"[krɑdaah trɑciək] [[ក្រដាស]] [[ត្រចៀក]] <br>1). tympanum
ហូរច្រោក,"[hoo craok] [[ហូរ]] [[ច្រោក]] <br>1). to run down (of water)
យ៉ង,"[yɑɑŋ] <br>1). n the bridge of the tro;<br> an easel. ( Th. ?) See: យ៉ងទ្រ"
