#desc	Goːgle Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/goːgle-khmer-lexicon">seanghay</a> translated to G2K's phonetics.
#priority	2
asia	ʔaː.ziː
asianboːkie	ʔaː.siən.ɓuk.khiː
ask	ʔaːh
assignment	ʔaː.saːɲ.mən
associates	ʔaː.soː.siː.ʔeːt
assurant	ʔaː.suə.rən
asus	ʔeː.suh
at	ʔat
ata	ʔaː.taː
ateav	ʔaː.tiew
ath	ʔaːt
athens	ʔaː.thɛːn
athily	ʔaː.thiː.liː
atit	ʔaː.tɨt
atkinson	ʔaːt.khiːn.sən
atletico	ʔaːt.leː.tiː.koː
atmos	ʔat.moːh
attery	ʔaː.təː.riː
attila	ʔaː.tiː.laː
attorney	ʔaː.thoː.niː
au	
auction	ʔɑːk.sən
audi	ʔoː.ɗiː
audio	ʔoː.ɗjoː
augustus	ʔɑː.gəh.stəh
aurora	ʔaː.roː.raː
auto	ʔoː.toː
autodesk	ʔoː.toː.ɗɛh
autoliv	ʔoː.toː.liːw
automatic	ʔoː.toː.maː.tɨc
automation	ʔoː.toː.meː.sən
automobiles	ʔoː.toː.moː.ɓaːj
automotive	ʔoː.toː.moː.thiːw
autonation	ʔoː.toː.neː.sən
autorun	ʔoː.toː.ran
autos	ʔoː.toː
autozone	ʔoː.toː.zoːn
av	ʔeː.wiː
avaya	ʔaː.waː.jaː
avd	ʔeː.wiː.ɗiː
avery	ʔaː.wəː.riː
avis	ʔaː.wiːh
avon	ʔeː.won
aw	
awards	ʔaː.wəːt
ax	
axa	
axis	ʔaː.sih
axle	ʔɛːk.sɑːl
ay	ʔaːj
ayean	ʔaː.jien
az	ʔeː.ziː
azharuddin	ʔaː.zaː.ruː.ɗiːn
aziz	ʔaː.zih
azure	ʔaː.zuə.riː
b	ɓiː
b'er	ɓʔeː
b'ier	ɓʔiə
ba	ɓaː
baboh	ɓɔ.ɓoh
babos	ɓɑ.ɓoh
baccarat	ɓac.caː.rat
bach	ɓɛːc
bacham	ɓɑː.caːm
bachchan	ɓac.can
background	ɓɛːk.graon
badak	ɓaː.ɗaːk
badin	ɓɑː.ɗɨn
baek	ɓaek
baen	ɓaen
baeng	ɓaeŋ
baeuk	ɓaək
baeun	ɓaən
bai	ɓaj
baidu	ɓaj.ɗuː
bak	ɓak
bakan	ɓaː.kaːn
bakav	ɓaː.kaːw
baker	ɓeːk.khəː
bakham	ɓaː.khɑːm
bakong	ɓaː.kɔːŋ
bakr	ɓaːk
baksei	ɓak.səj
baku	ɓaː.kuː
bakur	ɓaː.kuː
bal	ɓal
balaingk	ɓal.laŋ
balang	ɓal.laŋ
balat	ɓaː.lat
bale	ɓaː.leː
baliley	paː.leʔ.laj
ball	ɓɑːl
ballangk	ɓal.laŋ
bambaek	ɓɑm.ɓaek
bamnak	ɓɑm.nɑk
bampenh	ɓɑm.pɨɲ
bampong	ɓɑm.puŋ
ban	ɓaːn
banak	ɓaː.nɑːk
banan	ɓaː.nɑn
banang	ɓaː.nɑŋ
bancorp	ɓɛːn.khɑːp
bancshares	ɓɛːŋ.sɛə
