#desc	ANT dictionary from <a href="https://antkh.com">antkh.com</a>
#priority	3
អវន្ទីយបុគ្គល	▪ ពាក្យផ្ទុយ ៖ វន្ទីយបុគ្គល<br/>
អវន្ទ័យ	1.Not deserving of respect. <br/>
អវមាន	នាម 1.Contempt, scorn; indifference, disrespect. <br/>
អវយវៈ	នាម 1.Body, physique; physical structure; limbs. <br/>
អវលោកេស្វរ	▪ ស្មើនឹង​ពាក្យ ៖ លោកេស្វរ<br/>
អវសាន	គុណនាម 1.(បច្ចេកទេស) Final <br/>
អវសានបញ្ញាតិ	នាម 1.(បច្ចេកទេស) Final provision <br/>
អវិកល	នាម 1.(បច្ចេកទេស) Differential ▪ ស្មើនឹង​ពាក្យ ៖ ភាពផ្សេងគ្នា<br/>
អវិជ្ជមានកម្ម	នាម 1.Negation. <br/>
អវិជ្ជា	នាម 1.(បច្ចេកទេស) (ភាពអវិជ្ជា) Ignorance, illiteracy  2.Ignorance, blindness, the condition which the coming of a Buddha is supposed to alleviate. ▪ ស្មើនឹង​ពាក្យ ៖ អវិទ្យា<br/>
អវិជ្ជានិយម	នាម 1.Obscurantism., the policy or doctrine which believes that an educated public will be difficult to control. <br/>
អវិជ្ជោឃៈ	1.Ignorance <br/>
អវិញ្ញាណក	1.Inanimate, less, lifeless; <br/>នាម 1.Anything that is inanimate, senseless, or lifeless. ▪ ពាក្យផ្ទុយ ៖ អវិញ្ញាណកៈ<br/>
អវិញ្ញាណកទ្រព្យ	1.Nonliving property <br/>
អវិញ្ញាណកៈ	▪ ពាក្យផ្ទុយ ៖ សវិញ្ញាណកៈ<br/>▪ ពាក្យផ្ទុយ ៖ អវិញ្ញាណក<br/>
អវិញ្ញូ	1.Ignorant; drunk, stupid; <br/>នាម 1.Ignorant person, uneducated person. ▪ ពាក្យផ្ទុយ ៖ វិញ្ញូ<br/>
អវិតិក្កម	1.Non-transgression; legality, action according to the law. ▪ អាចសរសេរជា ៖ អវិតិក្រម ក៏បាន<br/>▪ ពាក្យផ្ទុយ ៖ វិតិក្កម<br/>
អវិតិក្កមចេតនា	1.Intention of being law-abiding. <br/>
អវិតិក្កមីយភាព	នាម 1.Inviolability, inviolacy, integrity. <br/>
អវិតិក្រម	▪ អាចសរសេរជា ៖ អវិតិក្កម ក៏បាន<br/>
អវិទ្យា	▪ មើលពាក្យ ៖ អវិជ្ជា<br/>
អវិនយ	▪ អាចសរសេរជា ៖ អវិន័យ ក៏បាន<br/>
អវិនយវាទិន	1.Person who makes illegal statements. ▪ អាចសរសេរជា ៖ អវិនយវាទី ក៏បាន<br/>▪ បើស្ត្រីជា ៖ អវិនយវាទិនី<br/>
អវិនយវាទិនី	▪ អវិនយវាទិន បើស្ត្រីជា អវិនយវាទិនី<br/>
អវិនយវាទី	▪ អាចសរសេរជា ៖ អវិនយវាទិន ក៏បាន<br/>
អវិនិច្ឆ័យ	នាម 1.(ច្បាប់) Sufferance <br/>
អវិន័យ	1.Illegal, outside the law; unprincipled, in disorder; unsystematic. 'bad. discipline' want of good manners. ▪ អាចសរសេរជា ៖ អវិនយ ក៏បាន<br/>
អវិភាគ	1.Undivided; joint, in common. <br/>
អវិភាគភាព	នាម 1.(បច្ចេកទេស) Joint tenancy  2.Indivisibility. <br/>
អវិភាគីយ៍	1.Indivisible. <br/>
អវិរុទ្ធ	1.Perfect; correct, accurate. ▪ អាចសរសេរជា ៖ អពិរុទ្ធ ក៏បាន<br/>▪ ពាក្យផ្ទុយ ៖ វិរុទ្ធ<br/>
អវិរូឡ្ហ	1.Not growing, non-progressive; undeveloped. <br/>
អវិរូឡ្ហវិទ្យា	1.Person who cannot learn <br/>
អវិរោធ	1.Perfection, correctness, accuracy; lack of hatred; good person. ▪ ពាក្យផ្ទុយ ៖ ពិរោធ<br/>នាម 1.(ច្បាប់) Innocent person <br/>
អវិរោធន	1.Respect for the law. <br/>
អវិរោធនៈ	នាម 1.Respect for law and order; lack of mistakes, perfection. <br/>
អវិសារទ	1.Cowardly; shy; it. coward, one who is not courageous in argument, debate); shy person. ▪ បើស្ត្រីជា ៖ អវិសារទា<br/>▪ ពាក្យផ្ទុយ ៖ វិសាទរ<br/>
អវិសារទភាព	1.Cowardice; shyness. <br/>
អវិសារទា	▪ អវិសារទ បើស្ត្រីជា អវិសារទា<br/>
អវិហិង្សា	នាម 1.Kindness (not invading, or causing trouble to, others). ▪ អាចសរសេរជា ៖ អវិហិសា ក៏បាន<br/>▪ ស្មើនឹង​ពាក្យ ៖ អហិង្សា<br/>▪ ពាក្យផ្ទុយ ៖ ហិង្សា<br/>
អវិហិសា	▪ អាចសរសេរជា ៖ អវិហិង្សា ក៏បាន<br/>
អវិហឹសា	1.Peacefulness <br/>
អវីតិក្កម	▪ ពាក្យផ្ទុយ ៖ វីតិក្កម<br/>
អវេវចនវាក្យ	នាម 1.Antonym. <br/>
អវេវចនសព្ទ	នាម 1.Antonym. <br/>
អវៈយវៈ	នាម 1.(បច្ចេកទេស) Limb, member <br/>
អវៈយវៈក្រោម	នាម 1.(បច្ចេកទេស) Inferior member, lower member <br/>
អវៈយវៈខ្លីពីកំណើត	នាម 1.(បច្ចេកទេស) Amelia <br/>
អវៈយវៈតូចជាងធម្មតា	នាម 1.(បច្ចេកទេស) Micromelia <br/>
អវៈយវៈធំខុសពីធម្មតា	នាម 1.(បច្ចេកទេស) Macromelia <br/>
អវៈយវៈលើ	នាម 1.(បច្ចេកទេស) Upper limbs <br/>
អវៈយវៈសិប្បនិមិត្ត	នាម 1.(បច្ចេកទេស) Artificial limbs <br/>
អសកម្ម	នាម 1.(បច្ចេកទេស) (ភាពអសកម្ម) Inactivation, inertia, dormancy <br/>គុណនាម 1.(បច្ចេកទេស) (ដែលអសកម្ម) Dormant <br/>
អសកម្មភាព	នាម 1.Inactivity. <br/>
អសង្ខតធម៌	▪ ពាក្យផ្ទុយ ៖ សង្ខតធម៌<br/>
អសង្ខេយ្យ	នាម 1.Infinity.  2.The number one followed by 140 zeros. ▪ អាចសរសេរជា ៖ អសង្ខៃយ ក៏បាន<br/>
អសង្ខេយ្យអប្បមេយ្យ	1.Innumerable. <br/>
អសង្ខៃយ	▪ អាចសរសេរជា ៖ អសង្ខេយ្យ ក៏បាន<br/>
អសង្ហារិម	1.Fixed, immovable, real; <br/>នាម 1.Real estate; land; immovable property. ▪ អាចសរសេរជា ៖ អស់ហារិម ក៏បាន<br/>
អសង្ហារិមកម្ម	នាម 1.Immobilization. <br/>
អសង្ហារិមទ្រព្យ	1.Real estate fixed properties, land or house properties. ▪ ស្មើនឹង​ពាក្យ ៖ អសង្ហារិមវត្ថុ<br/>
អសង្ហារិមវត្ថុ	▪ ស្មើនឹង​ពាក្យ ៖ អសង្ហារិមទ្រព្យ<br/>
អសង្ហារិមៈ	▪ ពាក្យផ្ទុយ ៖ សង្ហារិមៈ<br/>
អសញ្ញកម្ម	នាម 1.Death. 'senseless, unconscious' ▪ ស្មើនឹង​ពាក្យ ៖ អសញ្ញភាព<br/>
អសញ្ញភាព	▪ មើលពាក្យ ៖ អសញ្ញកម្ម<br/>
អសញ្ញី	1.Lacking recognizable sign (s) or mark (s). <br/>
អសញ្ញីភាព	1.Faintness. <br/>
អសញ្ញីសត្ដ	1.Divine Brahmans (Brahmanism). <br/>
អសត្យ	1.Uncertain, untrue. ▪ ពាក្យផ្ទុយ ៖ សត្យ<br/>
អសត្យវាទិន	1.Person who often lies or who likes to lie. ▪ បើស្ត្រីជា ៖ អសត្យវាទិនី<br/>
អសត្យវាទិនី	▪ អសត្យវាទិន បើស្ត្រីជា អសត្យវាទិនី<br/>
អសទិសភាព	នាម 1.Dissimilitude, difference, unlikeness. <br/>
អសទ្ធម្ម	នាម 1.Sexual union, intercourse. <br/>
អសនអចិន្តៃ្រយ៍	នាម 1.(បច្ចេកទេស) Permanent seat <br/>
អសនី	នាម 1.Electric charge or power; lightning; Indra's weapon the thunderbolt. <br/>
អសនីបថ	នាម 1.Electrode. <br/>
អសនីបាត	1.Storm, tempest; thunderclap. <br/>
អសនីសព្ទ	1.Noise of thunder. <br/>
អសនីសាទិស	1.Comparable to lightning. <br/>
អសនៈចៅក្រម	នាម 1.(បច្ចេកទេស) Bench ▪ ស្មើនឹង​ពាក្យ ៖ សវនដ្ឋានចៅក្រម<br/>
អសន្ដិសុខ	នាម 1.Insecurity. <br/>
អសន្តិសុខ	នាម 1.(បច្ចេកទេស) Insecurity <br/>
អសន្ទិដ្ឋភាព	នាម 1.Misunderstanding, disagreement. <br/>
អសន្យាណូ	នាម 1.Electron. <br/>
អសន្យាណូវិទ្យា	នាម 1.Electronics; electro-technics, electro-technology. <br/>
អសប្បាយ	1.Insalubrious, unhealthy. <br/>
អសប្បាយភាព	1.Insalubrity, unhealthiness, unwholesomeness. <br/>
អសប្បុរស	1.Dishonest, bad; <br/>នាម 1.Bad or dishonest person. ▪ ពាក្យផ្ទុយ ៖ សប្បុរស<br/>
អសប្បុរិស	1.Bad or evil-minded person, wicked person. ▪ ពាក្យផ្ទុយ ៖ សប្បុរិស<br/>
អសប្បុរិសវាចា	1.Words from bad or dishonest people. ▪ ស្មើនឹង​ពាក្យ ៖ អសព្ភិវាចា<br/>
អសពិ	1.Pertaining to evil- minded people. ▪ ពាក្យផ្ទុយ ៖ សព្ភិ<br/>
អសព្ភិវាចា	1.Evil-minded people's speech. <br/>
អសមត្ថ	1.Incapable; unable; incompetent. <br/>
អសមត្ថកិច្ចដោយអន្លើ	នាម 1.(បច្ចេកទេស) Partial incapacity <br/>
អសមត្ថភាព	1.Incapacity, incapability; incompetence; disqualification. <br/>នាម 1.(បច្ចេកទេស) Failure, insuffency  2.(បច្ចេកទេស) Inability, incapacity, incompetence <br/>
អសមត្ថភាពទាំងស្រុង	នាម 1.(បច្ចេកទេស) Total disability <br/>
អសមត្ថភាពនៃរូបកាយ	នាម 1.(បច្ចេកទេស) Physical incapacity <br/>
អសមត្ថភាពផលិតទឹកដោះ	1.(បច្ចេកទេស) Agalactia <br/>
អសម្ថភាពផ្លូវភេទ	នាម 1.(បច្ចេកទេស) (ភាពអសម្ថភាពផ្លូវភេទ) Impotence, impotency ▪ ស្មើនឹង​ពាក្យ ៖ ងាប់លឹង្គ<br/>
អសម្បជញ្ញ	នាម 1.Unconsciousness; failure, to realize. <br/>
អសម្ភិន្ន	កិរិយាសព្ទ 1.To he pure; to he united, compatible, nice to each other. ▪ ពាក្យផ្ទុយ ៖ សម្ភិន្ន<br/>
អសម្ភិន្នញាតិ	1.Compatible relatives or family. <br/>
អសម្ភិន្នពង្ស	1.Pure pedigree. ▪ អាចសរសេរជា ៖ អសម្ភិន្នវង្ស ក៏បាន<br/>
អសម្ភិន្នវង្ស	▪ អាចសរសេរជា ៖ អសម្ភិន្នពង្ស ក៏បាន<br/>
អសាធារណជន	1.High-class people. <br/>
អសាធារណទាន	▪ ពាក្យផ្ទុយ ៖ សាធារណទាន<br/>
អសាធារណនាម	1.Proper noun. <br/>
អសាធារណបណ្ណ	1.Private letter. ▪ អាចសរសេរជា ៖ អសាធារណបត្រ ក៏បាន<br/>
អសាធារណបត្រ	▪ អាចសរសេរជា ៖ អសាធារណបណ្ណ ក៏បាន<br/>
អសាធារណៈ	1.Not general, not public, private. <br/>
អសាធុ	1.Bad, improper. evil, wicked; <br/>នាម 1.Evil-minded person, wicked, person. ▪ ពាក្យផ្ទុយ ៖ សាធុ<br/>
អសាធុវាទិន	1.Person who likes to use insulting words. ▪ អាចសរសេរជា ៖ អសាធុវាទី ក៏បាន<br/>▪ បើស្ត្រីជា ៖ អសាធុវាទិនី<br/>
អសាធុវាទិនី	▪ អសាធុវាទិន បើស្ត្រីជា អសាធុវាទិនី<br/>
អសាធុវាទី	▪ អាចសរសេរជា ៖ អសាធុវាទិន ក៏បាន<br/>
អសារ	1.Meaningless; useless, unimportant; bad, cheap, valueless; futile; frivolous, trifling; <br/>កិរិយាវិសេសន៍ 1.Uselessly, meaninglessly, futilely. <br/>
អសារកម្មសិទ្ធិ	នាម 1.(បច្ចេកទេស) Bare ownership <br/>
អសារជាត	1.Useless wood. ▪ ស្មើនឹង​ពាក្យ ៖ អសារព្រឹក្ស<br/>
អសារទ្រព្យ	1.Cheap property. <br/>
អសារធម្ម	1.Worthless dharma, meaningless dharma <br/>
អសារភាព	1.Futility; trifle; frivolousness, uselessness. <br/>
អសារឥតការ	កិរិយាសព្ទ 1.To perish uselessly. ▪ ស្មើនឹង​ពាក្យ ៖ អសារ<br/>
អសុទ្ធិ	1.Bad deed, sin, impure act. ▪ ពាក្យផ្ទុយ ៖ សុទ្ធិ<br/>
អសុន្ទរ	1.Not good, not harmonious. ▪ ពាក្យផ្ទុយ ៖ សុន្ទរ<br/>
អសុពល	គុណនាម 1.(បច្ចេកទេស) (ដែលអសុពល) Invalid <br/>
អសុពលផ្នែកការទូត	នាម 1.(បច្ចេកទេស) Deplomatic invalid <br/>
អសុភ	1.Bad, ugly, dirty, detestable, odious, impure. <br/>នាម 1.Cadaver, corpse; impurity. <br/>
អសុភកម្មដ្ឋាន	1.Meditation through concentration on something unclean or impure (such as a corpse). <br/>
អសុភឆ្កែអណ្ដែតទឹក	1.Corpse of a dog floating in the water. <br/>
អសុភានុបស្សិ	▪ ពាក្យផ្ទុយ ៖ សុភានុបស្សី<br/>
អសុភានុបស្សី	1.One who regards the body as unclean or impure. <br/>
អសុរ	1.Evil thoughts, wicked wishes; evil; the devil; demon. ▪ បើស្ត្រីជា ៖ អសុរី<br/>
អសុរកញ្ញា	1.Daughter of a demon. <br/>
អសុរកាយ	1.Evil spirits and animals. <br/>
អសុរិន្ទ	1.King of the evils, king of monsters. ▪ អាចសរសេរជា ៖ អសុរេន្ទ្រ ក៏បាន<br/>
អសុរេន្ទ្រ	▪ អាចសរសេរជា ៖ អសុរិន្ទ ក៏បាន<br/>
អសុរោះ	1.Grotesque, rude, nasty (of language or speech). <br/>នាម 1.(បច្ចេកទេស) Impolite <br/>
អសេក្ខបុគ្គល	▪ ពាក្យផ្ទុយ ៖ សេក្ខបុគ្គល<br/>
អសេក្ខភូមិ	1.Class of graduating students. <br/>
អសេក្ខៈ	1.Person who has completed his studies, adept, expert. ▪ អាចសរសេរជា ៖ អសេខៈ ក៏បាន<br/>▪ ពាក្យផ្ទុយ ៖ សេក្ខ<br/>
អសេខៈ	▪ អាចសរសេរជា ៖ អសេក្ខៈ ក៏បាន<br/>
អសេនិក	1.Civilian, civil, non-military. <br/>
អសេរិច្ឆា	នាម 1.Serf, thrall, bondsman, slave in permanent bondage. <br/>
អសេរិនី	▪ អសេរី បើស្ត្រីជា អសេរិនី<br/>
អសេរី	នាម 1.Slave, serf. ▪ ស្មើនឹង​ពាក្យ ៖ អនតាធីន<br/>▪ មើលពាក្យ ៖ អស្វៃរិន<br/>▪ បើស្ត្រីជា ៖ អសេរិនី<br/>
អសេរីបទេស	1.Powerless country, country under the domination of another country, vassal country. <br/>
អសោក	1.Not to be sorry, to have no sorrow, to be free from sorrow.. <br/>នាម 1.Name of an ancient Indian king.  2.Kind of tree with edible young shoots and flowers (Jonesia asoka or Saraca indica) <br/>
អសោកេរ្ដិ៍ឈ្មោះ	1.Bad reputation. <br/>
អសោច	1.Impure, dirty, detestable, odious. ▪ អាចសរសេរជា ៖ អសោចិ៍ ក៏បាន<br/>
អសោចិ៍	▪ អាចសរសេរជា ៖ អសោច ក៏បាន<br/>
អស៊ីមេទ្រី	នាម 1.(បច្ចេកទេស) Asymmetry <br/>
អស់កម្ម	កិរិយាសព្ទ 1.To terminate an existing relationship or friendship. <br/>
អស់កម្លាំង	1.Out of strength, tired; tiring; weak. <br/>កិរិយាសព្ទ 1.To be tired, to be exhausted. <br/>
អស់កម្លាំងហេបៗ	កិរិយាសព្ទ 1.To be physically exhausted. <br/>
អស់កាស	កិរិយាសព្ទ 1.(ពាណិជ្ជកម្ម) To be worse than before. <br/>
អស់កើត	1.No longer possible, not possible <br/>
អស់កែឡើង	1.Incorrigible. <br/>
អស់កំលាំងដោយបេះដូងខ្សោយ	នាម 1.(វេជ្ជសាស្ត្រ) (ភាពអស់កំលាំងដោយបេះដូងខ្សោយ) Collapse from heart ailment <br/>
អស់កំលាំងល្វើយ	1.Exhausted. <br/>
អស់កំលាំងល្ហិតល្ហៃ	នាម 1.(បច្ចេកទេស) (ភាពអស់កំលាំងល្ហិតល្ហៃ) Exhaustion, fafigue <br/>គុណនាម 1.(បច្ចេកទេស) (ដែលអស់កំលាំងល្ហិតល្ហៃ) Exhausted, fatigued <br/>
អស់ក្បាច់	1.(FIGURATIVE) To run out of arguments, schemes, methods, etc. <br/>កិរិយាសព្ទ 1.To be at a loss <br/>
អស់ក្បួន	1.With all ones strength (often implies that the endeavor was unsuccessful). <br/>
អស់ក្លាក់	1.Incorrigible, hopeless. <br/>
អស់គេ	1.All others, all of them. ▪ ស្មើនឹង​ពាក្យ ៖ អស់ទាំងគេ<br/>
អស់ចង់	កិរិយាសព្ទ 1.To stop wanting (something). ▪ ស្មើនឹង​ពាក្យ ៖ អស់ចំណង់<br/>
អស់ចិត្ត	កិរិយាសព្ទ 1.To have had enough of, to be fed up with; to forget about. <br/>
អស់ចិត្តអស់ថ្លើម	កិរិយាសព្ទ 1.To be despondent, to be hopeless. <br/>
អស់ចំណង់	▪ ស្មើនឹង​ពាក្យ ៖ អស់ចង់<br/>
អស់ចំណេះ	កិរិយាសព្ទ 1.To have failed to solve something (e.g. a puzzle, problem, etc) even after considerable effort. <br/>
អស់ច្បាប់	1.Fully legitimate, in accordance with the law. <br/>
អស់ឆ្ងល់	កិរិយាសព្ទ 1.To suspect or doubt no longer. <br/>
អស់ជម្រើស	1.Left-out, leftover, picked over. <br/>
អស់ជីជាតិ	នាម 1.(បច្ចេកទេស) (ការអស់ជីជាតិ) Improverishment <br/>គុណនាម 1.(បច្ចេកទេស) (ដែលអស់ជីជាតិ) Improverished <br/>
អស់ជីវិត	កិរិយាសព្ទ 1.To die, to vanish from the earth, to stop existing. ▪ ស្មើនឹង​ពាក្យ ៖ ផុតជីវិត<br/>
អស់ជើង	កិរិយាវិសេសន៍ 1.Thoroughly, completely. <br/>
អស់ជំរើស	1.What is left after a careful selection. <br/>
អស់ដៃ	1.Exhausted (of the hands) ; unable to continue. at full strength, with all one's strength. <br/>
អស់ដៃ	1.Exhausted (of the hands) ; unable to continue. at full strength, with all one's strength. <br/>
អស់ដៃអស់ជើង	1.Completely exhausted. <br/>
អស់ដៃអស់ជើង	1.Completely exhausted. <br/>
អស់ដៃអស់ជើង	1.Completely exhausted. <br/>
អស់ដៃអស់ជើង	1.Completely exhausted. <br/>
អស់ដំបូល	1.Broke, bankrupt. <br/>
អស់ដំរេះ	កិរិយាសព្ទ 1.To get stuck (mentally), to run out of arguments. ▪ អាចសរសេរជា ៖ អស់តំរិះ ក៏បាន<br/>
អស់តម្លៃ	1.Worthless, worn out. <br/>
អស់តំរិះ	▪ អាចសរសេរជា ៖ អស់ដំរេះ ក៏បាន<br/>
អស់ទាំង	1.All, every. <br/>
អស់ទាំងគេ	▪ ស្មើនឹង​ពាក្យ ៖ អស់គេ<br/>
អស់ទាំងនិស្សិត	1.(the) students, all of the students, every student. <br/>
អស់ទំហឹង	1.At full speed, at full strength. <br/>
អស់ធ្មេញរលីង	គុណនាម 1.(បច្ចេកទេស) (ដែលអស់ធ្មេញរលីង) Edentulous <br/>
អស់នុះ	1.All that, all of those. ▪ ស្មើនឹង​ពាក្យ ៖ អស់នោះ<br/>
អស់នេះ	1.All of these, all this. <br/>
អស់នោះ	▪ ស្មើនឹង​ពាក្យ ៖ អស់នុះ<br/>
អស់បាយរលីង	1.There is no rice left. <br/>
អស់បែប	1.Every kind, every type. <br/>
អស់ប្រាក់	នាម 1.(បច្ចេកទេស) Run out the funds <br/>
អស់ផ្លូវ	1.Beyond hope, hopeless. <br/>
អស់ផ្លូវទាមទារ	1.It's hopeless to demand (something such as higher wages). <br/>
អស់ពពួកទេវតា	1.All the choirs of angels. <br/>
អស់ពិស	1.Powerless. <br/>
អស់ពិស	1.Powerless. <br/>
អស់ពិស	1.Powerless. <br/>
អស់ពិស	1.Powerless. <br/>
អស់ពី	1.Aside from, besides, after.. (then). <br/>
អស់ពីក្នុងស្តុក	នាម 1.(បច្ចេកទេស) Out of stock, stockout <br/>
អស់ពីចិត្ត	1.From the bottom of one's heart, with all one's heart, sincerely. <br/>
អស់ពីចិត្តពីថ្លើម	កិរិយាសព្ទ 1.To be satisfied, to be fed up with, to have had enough of. <br/>
អស់ពីដួងចិត្ត	1.From the bottom of one's heart. <br/>
អស់ពីនេះនោះ	1.After this (then) that. <br/>
អស់ពីមាត់	កិរិយាសព្ទ 1.To speak openly, to, speak (up) without reservation. <br/>
អស់ពីសមត្ថភាព	កិរិយាវិសេសន៍ 1.At best <br/>
អស់ពេល	កិរិយាសព្ទ 1.(បច្ចេកទេស) (ការអស់ពេល) Run out of time <br/>
អស់ពេលដ៏យូរ	កិរិយាសព្ទ 1.To last a long time, to use up a lot of time, to take a long time. <br/>
អស់មួយជីវិត	នាម 1.(បច្ចេកទេស) For life, lifetime <br/>
អស់ម៉ត់	1.It's all gone! (of food) <br/>
អស់យ៉ាង	1.In every possible extremely, very much. <br/>
អស់រដូវ	នាម 1.(បច្ចេកទេស) (ភាពអស់រដូវ) Menopause  2.(បច្ចេកទេស) (នៃការអស់រដូវ) Menopausal <br/>
អស់រលីង	1.All gone, all finished, completely finished. <br/>
អស់រាជ្យ	1.Dead (of a king) <br/>
អស់រឿង	1.In detail (of telling a story) <br/>នាម 1.The conflict is settled; all the way. <br/>
អស់រឿង	1.In detail (of telling a story) <br/>នាម 1.The conflict is settled; all the way. <br/>
អស់រឿង	1.In detail (of telling a story) <br/>នាម 1.The conflict is settled; all the way. <br/>
អស់រឿង	1.In detail (of telling a story) <br/>នាម 1.The conflict is settled; all the way. <br/>
អស់លោកអ្នក	1.Ladies and gentlemen! <br/>
អស់សង្ឃឹម	1.In despair, hopelessly. <br/>កិរិយាសព្ទ 1.To be hopeless. <br/>
អស់សង្ស័យ	កិរិយាសព្ទ 1.To have no more suspicions or doubts. <br/>
អស់សាច់	1.Incorrigible, recalcitrant. <br/>
អស់សំណើច	▪ ស្មើនឹង​ពាក្យ ៖ សើចអស់សំណើច<br/>
អស់ហារិម	▪ អាចសរសេរជា ៖ អសង្ហារិម ក៏បាន<br/>
អស់ហើយ	1.All gone, finished, exhausted (in quantity). <br/>
អស់ហ្នឹង	1.All this, all of these. ▪ ស្មើនឹង​ពាក្យ ៖ អស់នេះ<br/>
អស់អង្គ	1.(កាព្យនិទាន) Every part of the body <br/>
អស់អាសា	កិរិយាសព្ទ 1.To be in despair. <br/>
អស់អំណាច	1.Powerless. <br/>
អស់អំណាចដឹកនាំក្រុមហ៊ុន	នាម 1.(បច្ចេកទេស) Lose control of a company <br/>
អស់អំពល់	កិរិយាសព្ទ 1.To be free of worries. <br/>
អស់អ្នក	1.You all, all of you, everyone.<br/>ឧទាហរណ៍៖ អស់អ្នករាល់គ្នាចាំស្ដាប់ខ្ញុំ<br/>Example: 'Every one listen to me! ' maids in the royal palace.  (អស់អ្នកអស់នាង) <br/>
អស័យដ្ឋាន	នាម 1.(បច្ចេកទេស) Address <br/>
អស័យដ្ឋានជំនួញ	នាម 1.(បច្ចេកទេស) Business address <br/>
អស័យដ្ឋានទទួលបញ្ញើ	នាម 1.(បច្ចេកទេស) Accommodation address <br/>
អស័យដ្ឋានបញ្ញើ	នាម 1.(បច្ចេកទេស) Forwarding address <br/>
អស័យដ្ឋានសំរាប់ផ្ញើទូរលេខ	នាម 1.(បច្ចេកទេស) Cable address <br/>
អស័យដ្ឋានស្នាក់នៅ	នាម 1.(បច្ចេកទេស) Home address <br/>
អស្ចារ្យ	1.Marvelous, wonderful; exquisite. ▪ ពាក្យផ្ទុយ ៖ អនស្ចារ្យ<br/>
អស្វ	1.Horse. ▪ អាចសរសេរជា ៖ អស្ស ក៏បាន<br/>▪ មើលពាក្យ ៖ សេះ<br/>
អស្វជពន៍	1.Speed of a horse. ▪ អាចសរសេរជា ៖ អស្វជវ័ន ក៏បាន<br/>
អស្វជវ័ន	▪ អាចសរសេរជា ៖ អស្វជពន៍ ក៏បាន<br/>
អស្វត្ថព្រឹក្ស	▪ មើលពាក្យ ៖ អស្សត្ថព្រឹក្ស<br/>
អស្វទូត	1.Horse messenger, pony express rider. <br/>
អស្វនាយ	1.Person who rides horses. <br/>
អស្វបតី	1.Owner of a horse or horses; person who takes care of the king's horse. <br/>
អស្វបោសក	1.One who feeds horses. ▪ បើស្ត្រីជា ៖ អស្វបោសិកា<br/>
អស្វបោសិកា	▪ អស្វបោសក បើស្ត្រីជា អស្វបោសិកា<br/>
អស្វពាណិជ	1.Horse merchant. <br/>
អស្វពាណិជ្ជ	1.Horse trading, dealing in horses. ▪ អាចសរសេរជា ៖ អស្វពាណិជ្យ ក៏បាន<br/>
អស្វពាណិជ្យ	▪ អាចសរសេរជា ៖ អស្វពាណិជ្ជ ក៏បាន<br/>
អស្វពាហ៍	1.Domestic horse. <br/>
អស្វភារៈ	1.Load to be transported by a horse. <br/>
អស្វមេធ	1.(BRAHMAN) Ancient Indian ceremony of horse sacrifice. A white horse was released, and a troop of soldiers followed him in the direction of a country to be invaded. They followed him for a year and then returned home on the anniversary of their departure. Upon returning home the white horse was sacrificed as a symbol of victory. <br/>
អស្វយាត្រា	នាម 1.A journey / trip by horse. <br/>
អស្វយាន	1.Horse-cart. <br/>
អស្វយុគ	1.One pair of horses. <br/>
អស្វយុជ	1.Yoking two horses ▪ អាចសរសេរជា ៖ អស្សយុជ ក៏បាន<br/>
អស្វយុទ្ធ	1.Fight between horses; cavalry battle or engagement. <br/>
អស្វរថ	1.Horse-cart. <br/>
អស្វរឹទ្ធិ	▪ អាចសរសេរជា ៖ អស្វឫទិ ក៏បាន<br/>
អស្វរ័ត្ន	1.Horse carved out of crystal or precious stone. <br/>
អស្វឫទ្ធិ	1.Chevalier (of the legion of honor). ▪ ស្មើនឹង​ពាក្យ ៖ អស្សឬទ្ធិ<br/>
អស្វាជានេយ្យ	1.Fast horse. ▪ អាចសរសេរជា ៖ អស្សជានេយ្យ ក៏បាន<br/>
អស្វៃរិន	▪ មើលពាក្យ ៖ អសេរី<br/>
អស្ស	▪ អាចសរសេរជា ៖ អស្វ ក៏បាន<br/>
អស្សជានេយ្យ	▪ អាចសរសេរជា ៖ អស្វាជានេយ្យ ក៏បាន<br/>
អស្សត្ថព្រឹក្ស	នាម 1.The Ficus religiosa under which the enlightenment of the Gautama took place. ▪ ស្មើនឹង​ពាក្យ ៖ ដើមពោធិ<br/>
អស្សនីក	▪ អាចសរសេរជា ៖ អស្សានិក ក៏បាន<br/>
អស្សយុជ	▪ មើលពាក្យ ៖ អស្វយុជ<br/> 1.September-October ▪ ស្មើនឹង​ពាក្យ ៖ អស្សុជ<br/>នាម 1.(បច្ចេកទេស) September-October (lunar) ▪ ស្មើនឹង​ពាក្យ ៖ អស្សុជ<br/>
អស្សយុជឬក្ស	▪ ស្មើនឹង​ពាក្យ ៖ អស្សុជ<br/>
អស្សររ័តន៍	1.Royal horse. ▪ ស្មើនឹង​ពាក្យ ៖ សេះរ័តន៍<br/>
អស្សឬទ្ធិ	▪ ស្មើនឹង​ពាក្យ ៖ អស្វឫទ្ធិ<br/>
អស្សាទ	នាម 1.Delight, pleasure, happiness. <br/>
អស្សាទកម្ម	នាម 1.Delectation, delight, gratification. <br/>
អស្សាទនីយ	1.Delicious; delightful. <br/>
អស្សានិក	1.Squadron (of horses). ▪ អាចសរសេរជា ៖ អស្សនីក ក៏បាន<br/>
អស្សានីក	1.Cavalry <br/>
