ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ມັທຍັດ (ມັດທະຍັດ)	ກ.	ການໃຊ້ຈ່າຍພໍຄວນ (ສ. ມັທຍັສຖະ) 	
ມັທນີຍະ (ມັດທະນີຍະ)	ວ.	ເປັນທີ່ຕັ້ງແຫ່ງຄວາມເມົາ, ຄວາມເມົາ (ປ.) 	
ມັນ	ນ.	ໄມ້ຈຳພວກນຶ່ງໃຊ້ຫົວແລະຮາກເປັນອາຫານຕົ້ນເປັນເຄືອ ກໍມີ ເປັນລຳກໍມີ    ແລະມີຫລາຍແນວ ວ. ຣົດຢ່າງນຶ່ງ ດັ່ງຣົດໝາກພ້າວແຫ້ງ ເປັນຕົ້ນ, ເປັນເງົາ, ໃສ,    ເຫລື້ອມ, ກ. ພາຢາກໃຫ້ເຮັດ, ພາຢາກໃຫ້ທຳຕໍ່ໄປ, ມ່ວນ (ດັ່ງເວົ້າພວມມັນ,    ມັນຕີນມັນມື.) 	
ມັນ	ນ.	ວັດຖຸຈຳພວກນຶ່ງໄດ້ຈາກດິນ, ໝາກໄມ້, ຮ່າງກາຍສັດແຫລວກໍມີ ຂຸ້ນກໍມີ ຖອກໃສ່ນໍ້າ    ບໍ່ຈົມ ແຕ່ຟູຂຶ້ນມາຢູ່ເທິງນໍ້າ. 	
ມັນ	ນ.	ສັພນາມບຸຣຸດທີ 5 ເປັນເອກພົດຄູ່ກັບຄຳວ່າ ເຂົາ ເຊີ່ງເປັນພະຫຸພົດ    ເປັນຄຳຜູ່ໃຫຍ່ເວົ້າເຖິງຜູ່ນ້ອຍ. 	
ມັ່ນ	ກ.	ການເສກມົນໃສ່ນໍ້າມັນໃບໄມ້ຫລືນໍ້າເພື່ອໃຫ້ເຂັດຢຳ. 	
ມັນສມອງ (ມັນສະໝອງ)	ນ.	ສິ່ງນຶ່ງຢູ່ໃນກະໂບງຫົວມີລັກສນະອ່ອນແລະຍູ່ໆ ເປັນບ່ອນໂຮມປະສາດໃຫ້ເກີດຄວາມ    ຮູ້ເມື່ອ. 	
ມັນທະນາ	ນ.	ເຄື່ອງເອ້. (ປ.) 	
ມັນທຸກ	ນ.	ກົບ, ຂຽດ (ປ.) 	
ມັນປາ	ນ.	ຊື່ຕົ້ນໄມ້ມີດອກໃນຣະດູແລ້ງດອກເປັນປຸ້ມສີຂາວ. 	
ມັນປູ	ນ.	ຊື່ຕົ້ນໄມ້ແນວນຶ່ງ. 	
ມັນລິກາ	ນ.	ດອກຊ້ອນ (ປ. ມັລລິກາ) 	
ມານ	ນ.	ສິ່ງມາຂັດຂວາງບໍ່ໃຫ້ເຖິງຄວາມດີທີ່ຕົນປະສົງ, ເທວະດາພວກນຶ່ງ  	
ມານ	ກ.	ມີລູກ, ອາການທີ່ລູກມາເກີດໃນທ້ອງ, ນ. ຮຽກຮວງເຂົ້າສາລີ ຫລື ຝັກເຂົ້າສາລີວ່າ    ມານນຶ່ງ ສອງມານ. 	
ມ່ານ	ນ.	ຄົນຊາດພະມ້າ. 	
ມ່ານ	ນ.	ຜ້າກັ້ງ, ຜ້າບັງສ້ວມ, ຊື່ເພັງລະນາດຟາດຄ້ອງເພັງນຶ່ງ ເອີ້ນ ເພັງມ່ານ ຫລື    ຊັກມ່ານ ເປັນເພັງເສບກ່ອນຈະເຜີຍສາກລະຄອນ ຫລື ປືດຜ້າມ່ານກັ້ງ. 	
ມ້ານ	ວ.	ບໍ່ມີສີ, ສີຈາງໄປ, ສີຂາວໆ, ເຫລືອກຂຶ້ນ (ສຳລັບຕາ) 	
ມິນ	ນ.	ຊື່ດາວຣືກຣາສີທີ 12 ຄືດາວຮູບປາ ກົງກັບເດືອນ 4 ມີນາ ກໍວ່າ (ສ. ມິນ) 	
ມຸນທາ	ນ.	ດອກໄມ້ແນວນຶ່ງ (ປ. ມັນທາ) 	
ມຸນທຽນ	ນ.	ຜາສາດ (ປ. ມັນທິຣະ) 	
ມຸນຕີ	ນ.	ທີ່ປຶກສາ, ຜູ່ແນະນຳ, ຜູ່ປຶກສາຣາຊການ, ຜູ່ມີຄວາມຄຶດດີ, ຂ້າຣາຊການຊັ້ນໃຫຍ່    (ປ. ມັນຕີ) 	
ມຸ່ນ	ວ.	ລະອຽດ, ເປັນຝຸ່ນ. 	
ມຸ້ນ	ວ.	ຫຍຸ້ງ, ສັບສອດກັນ (ສຳລັບຂອງເປັນເສ້ນ) 	
ມູນ	ນ.	ຮາກ, ເຫງົ້າ, ກົກ, ເຄົ້າ, ທີ່ດັ້ງເດີມ (ປ. ມູລ) 	
ມູນ	ນ.	ຣາຄາ, ຕົ້ນທຶນ (ສ. ມູລຍະ) 	
ມູນ	ນ.	ຊັບສົມບັດເດີມ, ສົມບັດທີ່ໄດ້ຮັບມາຈາກພໍ່ແມ່ (ມາຈາກ ສ. ມູລຍະ ນັ້ນເອງ) 	
ມູນ	ກ.	ເອົາເຂົ້າໜຽວໜຶ້ງສົມໃສ່ນໍ້າກະທິສົດ (ທ.) 	
ເມັນ	ນ.	ສັດນ້ອຍໆແນວນຶ່ງຈຳພວກເຮືອດແລະເຫົາ ກິນເລືອດເປັນອາຫານ. 	
ເມ່ນ	ກ.	ຫວັງ, ກາງຕໍ່, ປະສົງ. 	
ແມນ	ນ.	ເທວະດາ, ສວັນ: ເປັນຄຳຮຽກຄົນລາວເມື່ອຍັງຢູ່ໃນປະເທດຈີນແຂວງຍູນານ ຫລື    ໜອງແສວ່າ ພວກແມນ.  	
ແມ່ນ	ວ.	ຖືກຕ້ອງ, ບໍ່ຜິດ. 	
ແມ້ນ	ວ.	ລັກສນະຂອງຕາທີ່ເຫລືອກຂຶ້ນໜ້ອຍໆ. 	
ມົນ	ວ.	ກົມອ້ອມບໍ່ມີລ່ຽມ, ຊີ່ຜ້າຜືນນ້ອຍໆສຳລັບໃຊ້ເຊັດໜ້າ. 	
ມົນ	ນ.	ຄຳສັກສິດ, ຄຳສຳລັບສູດ (ປ. ມັນຕະ) 	
ມົ້ນ	ກ.	ມົ້ມ, ຫລຸດໄປໄດ້, ມຸ້ນ, ຫຍຸ້ງ, ສັບສອດກັນຈົນບໍ່ເຫັນເງື່ອນ. 	
ມົນດົບ	ນ.	ເຮືອນຍອດມີ 4 ລ່ຽມ (ປ. ມັນທະປະ) 	
ມົນທົນ	ນ.	ວົງລ້ອມ, ບໍຣິເວນ, ແຂວງ (ປ. ມັນທະລະ) 	
ມົນທຽນ	ນ.	ມຸນທຽນ, ຜາສາດ (ປ. ມັນທິຣະ) 	
ມົນຕີ	ນ.	ມຸນຕີ (ປ. ມັນຕີ ວ່າ ຄົນມີຄວາມຄຶດ) 	
ໂມນ	ວ.	ໃຫຍ່ (ແລນໂມນ) 	
ມອນ	ນ.	ຕົ້ນໄມ້ແນວນຶ່ງ ໃບໃຊ້ເປັນອາຫານຂອງຕົວມ້ອນ. 	
ມອນ	ນ.	ເຄື່ອງຍັດໃສ່ເລົາປືນ ຫລື ສອບລູກປືນເພື່ອອັດລູກປືນໄວ້ໃຫ້ແໜ້ນ. 	
ມອນ	ນ.	ໄຂ່ເຫລືອງ (ມອນໄຂ່), ແກນທາງໃນ, ແກນກາງ, ຫລືແກນທີ່ຢູ່ກາງຂອງເຄື່ອງຊ່ຽນທີ່    ຫັນອ້ອມໄປມາ. 	
ມອນ	ກ.	ຕາຍ (ປ. ມຣ) 	
ມອນ	ນ.	ຊື່ຄົນຊາດນຶ່ງຢູ່ໃນປະເທດໄທທາງຕາເວັນຕົກແລະຢູ່ໃນປະເທດພະມ້າທາງຕາເວັນອອກ    ເປັນຄົນເຊື້ອຊາດດຽວກັນກັບຊາດຂອມ, ຂເມນ ຯລຯ 	
ມ່ວນ	ວ.	ບໍ່ຝືດ, ລ່ຽນ. 	
ມ່ອນ	ວ.	ເຖົ້າ. 	
ມ່ອນ	ສ.	ເປັນສັພນາມບຸຣຸດທີ 3 ໃຊ້ແທນຕົວຜູ່ເວົ້າເຊີ່ງເປັນຜູ່ຍິງ ໃນເວລາເວົ້າກັບນາຍ    ຜູ່ໃຫຍ່ ກົງກັບຄຳວ່າ ໝ່ອມ. 	
ມ່ອນ	ນ.	ຍອດພູ. 	
ມ້ອນ	ນ.	ສັດແນວນຶ່ງໃນຈຳພວກແມງບົ້ງ ມີໃຍໃຊ້ເຮັດແຜ່ນແພໃຍຂອງມ້ອນຮຽກວ່າ ໄໝ. 	
ເມີນ	ກ.	ເບິ່ງ, ຫລຽວເບິ່ງ "ພູມີທ້າວທົງເມືອງເມີນຜໍ່" (ສິນໄຊ) 	
ເມີ້ນ	ວ.	ສີຕາຍໆ, ສີຈາງ, ສີບໍ່ມີເລືອດ, ເກືອບຂາວ. 	
ມ້ຽນ	ກ.	ເອົາໄວ້ໃຫ້ດີ, ເອົາໄວ້ໃຫ້ຮຽບຮ້ອຍ. 	
ມ້ຽນ	ກ.	ຕາຍ, ຂ້າໃຫ້ຕາຍ "ຖ້າວ່າມັນບໍ່ມ້ຽນຊົ່ວຊໍ້າຍາອາດຫວັງຍອມນັ້ນເນີ" (ສິນໄຊ) 	
ມ້ຽນຄາບ	ກ.	ເຜົາ ຫລື ຝັງຄົນຕາຍໃຫ້ຮຽບຮ້ອຍ. 	
ມວນ	ວ.	ທັງໝົດ, ທັງປວງ. 	
ມວນ	ນ.	ລັກສນະນາມຮຽກກອກຢາກອກນຶ່ງໆວ່າ ມວນນຶ່ງສອງມວນ. 	
ມ່ວນ	ວ.	ສນຸກ, ຊື່ນບານໃຈ. 	
ມ້ວນ	ກ.	ທົບສິ່ງເປັນເສ້ນຍາວໆເຂົ້າໄວ້, ທຳສິ່ງເປັນເສ້ນຍາວໆໃຫ້ເປັນໂຄ້ງໄວ້, ໂຮມໄວ້. 	
ມ້ວນຊາດ-ມ້ວນຊາດົກ	ກ.	ໂຮມເຣື່ອງໃນຊາດນັ້ນມາບອກວ່າແຕ່ຊາດກ່ອນຄົນນັ້ນໄດ້ມາເກີດເປັນຜູ່ນີ້ໃນຊາດນີ້    ຯລຯ 	
ມ້ວນທ້າຍ	ກ.	ໂຮມໃຈຄວາມຂອງເຣື່ອງທີ່ກ່າວມາ, ສຸດທ້າຍ. 	
ມັບ	ກ.	ຕາຍ. 	
ມັບແມບ	ວ.	ເຮັດລັບໆລີ້ໆ, ລີ້, ເຫັນແດ່ບໍ່ເຫັນແດ່. 	
ມາບ	ວ.	ແສງເຫລື້ອມໄວໆແລະໃຫຍ່. 	
ມຸບ	ກ.	ມ້ວນ, ສຸດ, ໂຮມເທື່ອສຸດ (ມຸບສົ້ນ) 	
ແມບ	ວ.	ແສງເຫລື້ອມນ້ອຍແລະໄວ. 	
ແມບ	ກ.	ອາການນອນແຊ່ຢູ່ໃນນໍ້າ (ຄວາຍແມບນໍ້າ) 	
ມອບ	ກ.	ເວນໃຫ້, ວາງໃຫ້, ປົງໃຫ້.  	
ມອບ	ກ.	ເຮັດໃຫ້ຮາບໂດຍເອົາໄມ້ຫລືຂອງກົມໆກວາດຂວາງໄປ (ມອບຕາກ້າ) 	
ເມືອບ	ວ.	ອາການໄຫລຂຶ້ນຂອງນໍ້າ (ນໍ້າຂຶ້ນເມືອບໆ) 	
ມ່າມ	ກ.	ກິນ (ໃຊ້ເວົ້າເວລາປ້ອນເຂົ້າເດັກນ້ອຍຄືບອກເດັກນ້ອຍກິນວ່າ ມ່າມໆ) 	
ມ້າມ	ນ.	ອະວັຍວະພາຍໃນຂອງຄົນແລະສັດຢູ່ແປະພຸງທາງຊ້າຍ. 	
ມິ້ມ	ນ.	ແມງຈຳພວກນຶ່ງຄືກັນກັບເຜີ້ງ ແຕ່ຕົວນ້ອຍກວ່າເຜີ້ງເຮັດຮັງຢ່ອນຢູ່ໃຕ້ງ່າໄມ້    ນ້ອຍໆ ບ່ອນເທິງງ່າໄມ້ ເປັນບ່ອນມີນໍ້າຫວານ. 	
ມຶ້ມ	ວ.	ສີດຳ, ລັກສນະຂອງສິ່ງທີ່ໃຫຍ່ແລະໜ້າຢ້ານ (ຄຶ້ມມຶ້ມ) 	
ມຸມ	ວ.	ມີສີດຳປົນແດງ, ສີດັ່ງສີໝາກຕານ. 	
ມຸມ	ນ.	ແຈ, ບ່ອນສຸດ, ບ່ອນລະຫວ່າງເສ້ນຊື່ມາຈອດກັນ. 	
ມຸມ	ນ.	ຊື່ນົກແນວນຶ່ງຕົວຄືນົກເປົ້າແຕ່ໃຫຍ່ກວ່າແລະຂົນສີໝົ່ນ, ຊື່ແມງແນວຕົວຄືບົ້ງ    ແຕ່ນ້ອຍ ມີ 8 ຂາ ຮຽກແມງມຸມ. 	
ມຸມໆ	ວ.	ສຽງເວົ້າຫລືຈົ່ມໃນເຣື່ອງທີ່ບໍ່ດີໃຈ ຫລື ພໍໃຈ. 	
ມຸມສາກ	ນ.	ບ່ອນແຈທີ່ກາງໄດ້ 90 ອົງສາ. 	
ມຸມເມົ້າ	ວ.	ບໍ່ສະອາດ, ເປື້ອນດຳໆດ່າງໆ 	
ມຸ້ມ	ກ.	ງຸ້ມ, ເອົາມືກວມໄວ້, ເອົາມືກວມເອົາໄວ້. 	
ເມມ (ຄວນໃຊ້ເມນ)	ນ.	ບ່ອນເຜົາສົບທີ່ເຮັດຫລັງຄາເປັນຍອດ, ຣາຊາສັບວ່າ ຫໍພຣະເມມ (ປ. ເມຣຸ ໝາຍເອົາຍອດ    ເຂົາທີ່ເປັນບ່ອນຕັ້ງເມືອງສວັນຊັ້ນຕາວະຕິງສາ) 	
ເມ້ມສົບ-ເມ້ມປາກ	ກ.	ມ້ວນຜີສົບເຂົ້າໃນປາກ. 	
ມົ້ມ	ກ.	ພົ້ນ, ຂ້າມໄປໄດ້. 	
ໂມມ	ນ.	ອະວັຍວະບ່ອນໃຕ້ທ້ອງນ້ອຍ (ກະໂມມ ກໍວ່າ) 	
ໂມ່ມ	ກ.	ເອົາອາຫານໃສ່ປາກໝົດບາດດຽວໂດຍບໍ່ກັດຫລືບິອອກ. 	
ມອມ	ນ.	ສິງ, ຣາຊສີ. 	
ມ່ວມ	ວ.	ລັກສນະຂອງທີ່ແຂງແລ້ວກັບອ່ອນດັ່ງຝີທີ່ໃສ່ໜອງແລ້ວບາຍເບິ່ງບຸ້ມລົງ. 	
ມ່າວ	ອຸ.	ສຽງແມວຮ້ອງ. 	
ມາວ	ນ.	ເຄື່ອງເອ້ແນວນຶ່ງ ຫລື ເງິນສຳລັບສຸບໃສ່ກົກແຂນ. 	
ແມວ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງ ເປັນສັດຄົນລ້ຽງຮ້ອງແມວໆ. 	
ແມວໂພງ	ນ.	ແມວໃຫຍ່ທີ່ມັກກິນສັດດິບ. 	
ແມ້ວ	ນ.	ຄົນຊາວພູພວກນຶ່ງ ຫລື ລາວເທິງພວກນຶ່ງ ມີຢູ່ໃນປະເທດລາວແຂວງຊຽງຂວາງ. 	
ຢ	ພຍັນຊນະຕົວທີ 21 ເປັນພວກອັກສອນກາງ (ແຕ່ບູຮານໃຊ້ເປັນຕົວສະກົດດັ່ງດຽວກັນ    ກັບຕົວ ຍ) 	
ຢາ	ນ.	ຂອງສຳລັບແກ້ພຍາດຕ່າງໆ, ຕົ້ນໄມ້ແນວນຶ່ງໃຊ້ໃບຊອຍເປັນເສ້ນແລ້ວພັນຈູດໄຟດູດ. 	
ຢາ	ກ.	ປິ່ນປົວພຍາດໃຫ້ດີ, ເຮັດໃຫ້ເຊົາຮົ່ວ, ຮັກສາໃຫ້ເຊົາພຍາດ. 	
ຢາໃຈ	ກ.	ທຳໃຫ້ໃຈດີ. 	
ຢາດ	ນ.	ຊື່ເຄື່ອງປະສົມຢາປົວພຍາດແນວນຶ່ງສີດຳ. 	
ຢາເບື່ອ	ນ.	ຢາຫລືຂອງມີພິດທີ່ກິນແລ້ວພາໃຫ້ເກີດອັນຕະຣາຍ. 	
ຢາແຝດ	ນ.	ຢາຫລືສິ່ງທີ່ຜູ່ຍິງເຮັດໃຫ້ຜູ່ຊາຍກິນ ຫລື ທາເພື່ອໃຫ້ຫລົງຮັກ. 	
ຢ່າ	ກ.	ເປັນຄຳຊ່ອຍກິຣິຍາບອກຄຳຫ້າມໃຫ້ເຊົາ ຫລື ບໍ່ໃຫ້ເຮັດ, ຢຸດ, ເຊົາ, ເລີກເປັນຜົວ    ເມັຍກັນ, ຄູ່ຂາການພະນັນທີ່ບໍ່ກິນກັນ ຮຽກວ່າ ຢ່າກັນ. 	
ຢື້	ກ.	ເດ່ມືຂຶ້ນຈົນສຸດແຂນ ແລະເຢ່ງຕີນຂຶ້ນນຳ ເພື່ອເອົາຂອງຢູ່ສູງ. 	
ຢູ່	ກ.	ອາສັຍ, ເຊົາ, ຍັງ, ຍັງມີຊີວິດ, ບໍ່ໄປຈາກບ່ອນ, ພວມເປັນໄປ (ສຳລັບປະກອບ    ກິຣິຍາອື່ນ ດັ່ງ ນອນຢູ່) 	
ຢູ່ກຳ	ກ.	ອາການທີ່ຜູ່ຍິງອອກລູກໃໝ່ແລ້ວນອນພ່າງໄຟກິນແລະອາບນໍ້າຮ້ອນ ເປັນຕົ້ນ ເພື່ອຮັກສາ    ຕົນໂຕ. 	
ຢູ່ກັມ ຫລື ຢູ່ປະຣິວາດ	ກ.	ອາການທີ່ພິກຂຸຕ້ອງອາບັດສັງຄາທິເສດແລ້ວໄປປະພຶດຕົນເພື່ອໃຫ້ພົ້ນຈາກອາບັດນັ້ນ    ດ້ວຍການຢູ່ປະຣິວາດ ຄືຖືກລົງໂທດໃຫ້ປະຕິບັດຢ່າງເຄັ່ງຄັດຢູ່ທໍ່ຈຳນວນວັນ    ຕັ້ງແຕ່ຕ້ອງອາບັດມາແລ້ວອຳໄວ້ເຖິງມື້ໄດ້ບອກແກ່ພິກຂຸອື່ນ (ຖ້າອຳໄວ້ 90 ວັນ    ຈິ່ງບອກ ກໍຕ້ອງຢູ່ 90 ວັນ) ຮຽກວ່າ ຢູ່ປະຣິວາດ ພົ້ນກຳນົດນັ້ນແລ້ວຕ້ອງຢູ່ຕື່ມ    ອີກ 6 ວັນຮຽກວ່າ ຢູ່ມານັຕກັມ ຄົບດັ່ງນີ້ແລ້ວ ພິກຂຸສົງຢ່າງໜ້ອຍ 20 ຕົນ    ຈິ່ງພ້ອມກັນສຸດອັບພານ ຄືຍົກພິກຂຸຕົນນັ້ນອອກຈາກໂທດ ນັບເປັນພິກຂຸບໍຣິສຸດຕາມ    ວິນັຍ.     	
ຢູ່ຍາມ-ຢູ່ເວນ	ກ.	ຜ່ຽນກັນຢູ່ຮັກສາໜ້າທີ່ຕາມເວລາທີ່ກະໄວ້. 	
ໂຢະ	ກ.	ອາການຍົກກົ້ນ ຫລື ຕີນຂຶ້ນໜ້ອຍນຶ່ງ. 	
ໂຢ້	ກ.	ອາການໃນເວລາກຳລັງລຸກຂຶ້ນຢືນ ຫລື ຢ່ອນກົ້ນລົງຈະນັ່ງ. 	
ເຢີ!	ວ.	ເປັນຄຳຕໍ່ທ້າຍຄຳກິຣິຍາບອກຄວາມປະສົງ ດັ່ງ ກິນເຢີ! ນອນເຍີ!. 	
ເຢາະ	ກ.	ແທງຄ່ອຍໆ (ເອົານິ້ວມືເຢາະຂ້າງ) 	
ເຢົາ	ກ.	ປົວ, ປິ່ນປົວ, ປິ່ນປົວຄົນເຈັບດ້ວຍວິຊາອາຄົມ. 	
ຢຳ	ກ.	ກົວ, ຢ້ານ, ໂຄຣົບ, ນັບຖື, ວ. ຄວນຢ້ານ, ຄວນນັບຖື. 	
ຢໍ່າ	ກ.	ຢຽບ, ຊໍ້າ, ໄລ່ຕິດໆໄປ. 	
ຢັກ	ວ.	ຮອຍບັກໄປບັກມາ, ລາຍດັ່ງລາຍແຂ້ວໝາຕາຍ. 	
ຢາກ	ກ.	ປາຖນາ, ປະສົງ, ຕ້ອງການ, ຫິວ. 	
ຢິກ	ກ.	ເອົາເລັບມືສອງເລັບເນັ້ນເຂົ້າຫາກັນ. 	
ໂຢກ	ວ.	ສູງ, ລັກສນະຂອງຂາຍາວ. 	
ຢອກ	ກ.	ເຮັດຫລືເວົ້າພໍໃຫ້ມ່ວນບໍ່ເປັນຈິງໄດ້, ຫລິ້ນຫລືລໍ້ພໍໃຫ້ມ່ວນບໍ່ເປັນຈິງ, ວ.    ຫລິ້ນ, ໜ້ອຍ (ຫລາຍບໍ່ຢອກ) 	
ຢວກ	ນ.	ສ່ວນພາຍໃນຫລືແກນຂອງຕົ້ນກ້ວຍ, ວ. ຂາວ. 	
ຢັງ	ກ.	ຢາຍ, ຄຶງໄປ, ເນ່ງອອກໃຫ້ຊື່. 	
ຢັ່ງ	ກ.	ແທກເບິ່ງຄວາມເລິກ, ລອງເບິ່ງຄວາມຄຶດໃນໃຈ. 	
ຢັ້ງ	ກ.	ຢຸດ, ເຊົາ, ພັກ. 	
ຢັ້ງຢືນ	ກ.	ຮັບຮອງເປັນຫລັກຖານໃຫ້, ຮັບເປັນພິຍານ. 	
ຢາງ	ນ.	ຂອງແຫລວແລະໜຽວທີ່ໄຫລອອກຈາກຕົ້ນໄມ້, ຮຽກສິ່ງຕ່າງໆທີ່ເຮັດຈາກຢາງພາຣາ ເປັນຕົ້ນ    ດັ່ງ ຢາງຣົດ, ຢາງລຶບ ຯລຯ 	
ຢາງ	ນ.	ຊື່ຕົ້ນໄມ້ເຄືອແນວນຶ່ງຕາມເຄືອແລະໜ່ວຍມີຢາງຫລາຍໜ່ວຍສຸກກິນໄດ້ ຮຽກ    ເຄືອໝາກຢາງ. 	
ຢາງ	ນ.	ຊື່ປາແນວນຶ່ງ ເປັນປາບໍ່ມີເກັດ ຕົວຄືປາຫູໝາດ ແຕ່ມີເມືອກເປັນຢາງອອກຈາກຫູຫລາຍ    (ປາເຜາະກໍຮຽກ)  	
ຢ່າງ	ນ.	ແນວ, ອັນ, ສິ່ງ, ວິທີ, ແບບ.  	
&nbsp; &nbsp; &nbsp; 	ຢ່າງໃດ	ວ. ແນວໃດ. 	
ຢ່າງ	ກ.	ຖົກຂາຂ້າມສິ່ງໃດສິ່ງນຶ່ງ, ຖົກຂາບາດສູງໆແລະຍາວ. 	
ຢ້າງ	ກ.	ເອົາຂາງໄຟໃຫ້ຮ້ອນ. 	
ຢ້າງຊີ້ນ	ນ.	ແມງແນວນຶ່ງຕົວດຳໆມີລາຍແຊກສີເຫລືອງ ເຮັດໃຍຢູ່ຕາມຕົ້ນໄມ້. 	
ຢິງຢີ້	ກ.	ຢືນຢືດຂຶ້ນ, ຢືນເຢ່ງຕີນຂຶ້ນ ແລະ ເອົາມືເດ່ຂຶ້ນຈົນສຸດແຂນ, ເຮັດໂດຍສຸດກຳລັງ.  	
ເຢ່ງ	ກ.	ຢືນ ຫລື ຍ່າງເອົາປາຍຕີນດັກລົງແລະຍົກສົ້ນນ່ອງຂຶ້ນ. 	
ແຢງ	ກ.	ຢຳ, ຈຽມ, ໂຄຣົບ, ນັບຖື (ໃຊ້ຄວບກັນວ່າ ຢຳແຢງ) 	
ແຢ່ງ	ນ.	ບ່ອນນັ່ງທີ່ເຮັດໃສ່ຫລັງຊ້າງ, ກ. ອາການຍ່າງເຢ່ງຕີນ. 	
ຢົງ	ວ.	ລັກສນະຂອງຜົມທີ່ເກົ້າຂຶ້ນ (ຜົມຢົ່ງ) 	
ໂຢງ	ວ.	ສູງ. 	
ຢອງ	ວ.	ຄ່ອຍໆຖົກຂາຍ່າງໄປ, ກ. ເອົາຂອງນ້ອຍໆຄ້າງໄວ້ເທິງ, ຄ້າງເທິນກັນຂຶ້ນເປັນຊັ້ນ,    ຢື້ (ຢຽວຢ່ອງຢື້ພຣະຈັນສູງແສນໂຍດ) 	
ຢ່ອງ	ວ.	ຈ່ອງ. 	
ຢອງຢໍ້	ນ.	ທ່ານັ່ງແບບນຶ່ງນັ່ງບໍ່ໃຫ້ກົ້ນຈຸພື້ນ. 	
ຢ່ວງ	ນ.	ບ້ວງທີ່ເຮັດດ້ວຍໂລຫະ. 	
ຢາຍ	ກ.	ເອົາອອກໃຫ້ຫ່າງກັນ, ຊະອອກ, ແຈກແບ່ງ, ປັນ. 	
ຢ້ອຍ	ວ.	ອາການລຸກຍ່າງໄປມາຄ່ອຍໆ. 	
ຢ່ວຍ	ວ.	ອາການຖົກຂາ ຫລື ເຕ້ນຂ້າມມົ້ມ (ເຕ້ນຂ້າມຢ່ວຍ) 	
ຢັດ	ກ.	ຍ້ອຍລົງໜ້ອຍໆ. 	
ຢາດ	ກ.	ຍ້ອຍລົງ, ແຜ່ຜາຍ (ຢາຍຢາດ) 	
ຢຸດ	ກ.	ເຊົາ, ພັກ, ຢູ່ກັບບ່ອນ, ເອົາເຄື່ອງມຸງຢາ ຫລື ອັດຕາມບ່ອນຮົ່ວເທິງຫລັງຄາ. 	
ຢົດ	ກ.	ຍ້ອຍ. 	
ໂຢດ	ກ.	ຍ້ອຍຂາດລົງ, ອາການຂອງແຫລວ ຫລື ເປັນປຸ້ມເປັນໂງ່ນຂາດຫລຸດລົງ. 	
ຢອດ	ກ.	ເອົາໃສ່ເທື່ອໜ້ອຍ, ໃຫ້ຍ້ອຍລົງ ຫລື ໄຫລອອກເທື່ອໜ້ອຍ. 	
ຢັນ	ກ.	ເອົາຕີນຫລືໄມ້ເປັນຕົ້ນຄໍ້າຄຶງໄວ້, ດັນໄວ້. 	
ຢັ່ນ	ນ.	ນໍ້າທີ່ເໜັງອອກ, ຫົວນໍ້າຢາ, ຫົວນໍ້າເຫລົ້າໂທ ຄືນໍ້າເຫລົ້າທີ່ເໜັງອອກໃນຄັ້ງຕົ້ນ    ເອີ້ນນໍ້າຢັ່ນ. 	
ຢ້ານ	ກ.	ເກັງ, ຈຽມ, ຢຳ, ມີໃຈບໍ່ສູ້. 	
ຢືນ	ກ.	ເອົາຕີນຢຽບດິນ ຫລື ພື້ນແລ້ວຕັ້ງຕົວໃຫ້ຊື່ຂຶ້ນ. 	
ຢືນຢັນ	ກ.	ເວົ້າຮັບຮອງແນ່ນອນ, ເວົ້າຢູ່ຄຳເກົ່າໂດຍແໝ້ນແນ່, ເວົ້າວ່າຮູ້ເຫັນຄັກແນ່. 	
ຢົ້ນ	ກ.	ຫຍໍ້ເຂົ້າ. 	
ຢອນ	ກ.	ເລືອກເອົາແຕ່ບາງບ່ອນ. 	
ຢ່ອນ	ກ.	ຍານ, ບໍ່ເຄັ່ງ, ຄ່ອຍໆຢ່ອນລົງຈາກທີ່ສູງ, ຜ່ອນໄປບໍ່ໃຫ້ເຄັ່ງ. 	
ຢ້ອນ	ກ.	ເໜັງຂຶ້ນລົງ, ເຮັດຂາແລະແອວອ່ອນຂຶ້ນລົງຕາມຈັງຫວະໃນເວລາຟ້ອນ, ທຳໃຫ້ຍົກຂຶ້ນ    (ຢ້ອນເສົາເຮືອນ) 	
ຢິບ	ກ.	ເອົານິ້ວມືທັງສອງນິ້ວຄີບເອົາສິ່ງຂອງ, ນ. ຈຳນວນຂອງທີ່ເອົານິ້ວມືຢິບເອົາ. 	
ຢຸບ	ກ.	ເອົານິ້ວມືຫລາຍນິ້ວຄີບເອົາສິ່ງຂອງ, ບາຍ. 	
ໂຢບ	ກ.	ເຕ້ນ, ຖົກຂາໄປບາດຍາວໆ. 	
ຢຽບ	ກ.	ວາງຕີນລົງໄວ້ເທິງສິ່ງໃດສິ່ງນຶ່ງ. 	
