ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ກະໄດລິງ	ນ.	ໄມ້ເຄືອແນວນຶ່ງ ເຄືອບິດໄປບິດມາ ດອກນ້ອຍສີຂາວແລະເປັນຊໍ່. 	
ກະເດົາ	ນ.	ໄມ້ແນວນຶ່ງ ເປືອກແລະໃບມີຣົດຂົມຝາດ ໃບອ່ອນແລະດອກໃຊ້ເປັນອາຫານໄດ້. 	
ກະດາກ	ກ.	ລະອາຍໃຈ, ຈຽມໃຈ. 	
ກະດິກ	ກ.	ເຮັດອະວັຍວະບ່ອນໃດບ່ອນນຶ່ງມີ ມື ເປັນຕົ້ນ ໃຫ້ເໜັງໄວໆ 	
ກະດຶກກະດຶ້ນ	ກ.	ສະແດງກິຣິຍາເໜັງຕີງໄວໆໃຫ້ຜາກົດດ້ວຍຄວາມດີໃຈ. 	
ກະດູກ	ນ.	ໂຄງຮ່າງກາຍຂອງຄົນແລະສັດທີ່ເປັນສ່ວນແຂງ (ດູກ ກໍວ່າ) 	
ກະດ່າງກະດາວ	ວ.	ມີສີຂາວແລະດຳສັບປົນກັນບໍ່ສເມີກັນ, ມີສີບໍ່ສເມີກັນ. 	
ກະດ້າງ	ວ.	ແຂງ, ຂັດແຂງບໍ່ອ່ອນນ້ອມ (ໃຊ້ສຳລັບຂອງ ທີ່ເຄີຍອ່ອນແລ້ວກັບແຂງ) 	
ກະດ້າງ	ນ.	ຊື່ເຫັດທີ່ເກີດຕາມຂອນແລະຖືກແດດຈົນແຫ້ງ (ເອີ້ນວ່າ ເຫດກະດ້າງ) 	
ກະດິງ	ນ.	ເຄື່ອງຊັ່ນໃຫ້ມີສຽງດັງ ເພື່ອສັນຍາໃຫ້ໄດ້ຍິນເຮັດດ້ວຍໂລຫະມີລູກຟັດຢູ່ທາງໃນ    ສຳລັບແຂວນຄໍສັດ ຫລືແຂວນຕາມໂງ່ສິມ ເປັນຕົ້ນ. 	
ກະດິງ	ນ.	ຊື່ແມ່ນໍ້າສາຍນຶ່ງໄຫລຕົກນໍ້າຂອງທີ່ໃຕ້ເມືອງປາກຊັນໃນແຂວງວຽງຈັນ, ຊື່ພູເຂົາ    ໜ່ວຍນຶ່ງຢູ່ໃນເຂຕຈັງຫວັດເລີຍ ປະເທດໄທ. 	
ກະດິງ	ນ.	ຊື່ໄມ້ເຄືອແນວນຶ່ງ ໃບແລະເຄືອຄືດອກຂິກ ໜ່ວຍປ້ອມ ມີລາຍແຊກ ໜ່ວຍອ່ອນຕົ້ມ    ກິນໄດ້. 	
ກະດິງ	ນ.	ຊື່ລົມໝູ່ນຶ່ງ ເອີ້ນ ລົມກະດິງ (ຕາມເຣື່ອງ ຄັຊນາມ) 	
ກະດິງຫ້າວ	ນ.	ກະດິງທີ່ທຳດ້ວຍທອງຫ້າວ (ຫໍຊໍ່ຟ້າກະດິງຫ້າວຫິ່ງແຂວນ) 	
ກະແດ້ງ	ວ.	ຫ່ຽວແຫ້ງ, ແຫ້ງ. "ຂາກະທວຍແຫ້ງ ອັນກະແດ້ງດ້ວຍແດດແລະແປວໄຟ" (ຈາກເຣື່ອງ    ເວດສັນຕຣະ) 	
ກະດົ້ງ	ນ.	ພາຊນະ ສານດ້ວຍໄມ້ໄຜ່ ຮູບມົນແລະແບນສຳລັບໃສ່ຂອງຕ່າງໆ (ດົ້ງ ກໍວ່າ) 	
ກະໂດງ	ນ.	ເສົາສູງທີ່ຕັ້ງຢູ່ໃນເຮືອສຳເພົາ ສຳລັບຜູກແຜ່ນຜ້າເຮັດເປັນໃບໃຫ້ລົມພັດ    ເພື່ອໃຫ້ເຮືອແລ່ນໄປຕາມກຳລັງລົມ. 	
ກະດອງ	ນ.	ດອງ, ດອງເຕົ່າ  	
ກະດຽງ	ນ.	ຜັກແນວນຶ່ງເກີດຕາມໄຮ່ນາໃນຣະດູຝົນ ໃບເປັນສ້ອຍອອກຈາກລຳແລະກ້ານ ມີຣົດຂົມ. 	
ກະເດື່ອງ	ກ.	ເດື່ອງ, ໜັກລົງຂ້າງນຶ່ງ, ຫວັ່ນໄຫວ,ທຳໃຫ້ເກີດຄວາມຕື່ນເຕັ້ນ (ກະເດື່ອງດິນ    ດັງສະທ້ານ) 	
ກະດາຍ	ວ.	ເປັນຄຳຕໍ່ທ້າຍເພື່ອໃຫ້ປໂຍກຄຳເວົ້າທີ່ຢູ່ໜ້າໜັກແໜ້ນ. "ເຫັນວ່າກະດາຍ" 	
ກະດັດ	ວ.	ໂພດ, ເຫລືອເກີນ.  	
&nbsp; &nbsp; &nbsp; 	ກະດັດກະດໍ້	ວ. ໂພດເຫລືອ. 	
ກະດາດ	ນ.	ເຈັ້ຍ.  	
&nbsp; &nbsp; &nbsp; 	ກະດາດແກ້ວ	ນ. ເຈັ້ຍທີ່ເປັນແຜ່ນບາງໆແລະໃສ.  	
&nbsp; &nbsp; &nbsp; 	ກະດາດຊາຍ	ນ. ເຈັ້ຍສຳລັບ    ຂັດຂອງໃຫ້ກ້ຽງ ທາງພື້ນມີຫີນ ຫລື ເມັດຊາຍຕິດຢູ່. 	
ກະໂດດ	ກ.	ເຕັ້ນ. 	
ກະເດີດ	ນ.	ປາແນວນຶ່ງ ເປັນປາມີເກັດ ຕົວນ້ອຍແພບ ສອງຂ້າງມີເມັດສີດຳ. 	
ກະດັນ	ນ.	ຕົ້ນໄມ້ແນວນຶ່ງ ໃບນ້ອຍຍາວມີຣົດສົ້ມ ມັກເກີດຕາມແຄມນໍ້າ, ຊີ້ນ ຫລື ນວນໝາກໄມ້    ທີ່ເປັນກ້ອນແຂງ ວ. ເປັນກ້ອນແຂງ. 	
ກະດັນຂາ	ນ.	ພຍາດທີ່ເປັນກ້ອນແຂງຢູ່ແອບແອຂາ. 	
