ຂະໜົງ	[kʰánǒŋ]	<ul><li><p-n>literary</p-n>  brows<br><p-e>Khmer</p-e></li></ul>
ຂະໜົບທຳນຽມ	[kʰánóptʰámníam]	<ul><li>tradition, custom</li></ul>
ຂະໜົບປະເພນີ	[kʰánóp pápʰéːníː]	<ul><li>tradition, custom</li></ul>
ຂະໜົບ	[kʰánóp]	<ul><li>model, standard/sample; type; pattern, form<br>	</li><li>norm	</li><li><p-n>botany</p-n>  petal<br>	</li><li>fold/plait/crease; bend</li></ul>
ຂະໜົມອົມ	[kʰá nǒm ʔòm]	<ul><li>fruit-drop/lollipop</li></ul>
ຂະໜົມ	[kʰá nǒm]	<ul><li>sweet/bon-bon/candy<br>	</li><li>pie<br>	</li><li>pastry</li></ul>
ຂະໜ້ອຍ	[kʰá nɔ̏ːy]	<ul><li>(see)ຂ້ານ້ອຍ<br>(in entry)  <orth>ຂ້າ</orth>  III</li></ul>
ຂະໝັງຂະໝໍ	[kʰámǎŋkʰámɔ̌ː]	<ul><li><p-n>disapprovingly</p-n>  to be obstinate (insistent, stubborn)</li></ul>
ຂະໝັບ	[kʰámáp]	<ul><li>temple [part of the head]</li></ul>
ຂະໝຸບ	[kʰá múp]	<ul><li>to beat (about the heart, about the pulse)<br><p-e>Thai</p-e>	</li><li>to rumble/to thunder/to roar<br>	</li><li>to mutter/to mumble, to speak quietly and distinctly</li></ul>
ຂະເໝນ	[kʰáměːn]	<ul><li><p-n>obsolete</p-n>  Khmer [n.]</li></ul>
ຂະແໝ	[kʰá mɛ̌ː]	<ul><li>Khmer [adj.]</li></ul>
ຂະໝົ້ນໄຂ	[kʰá mȍn kʰǎi]	<ul><li><p-n>botany</p-n>  aromatic curcuma (Curcuma aromatica)</li></ul>
ຂະໝົ້ນ	[kʰá mȍn]	<ul><li><p-n>botany</p-n>  curcuma (Curcuma)</li></ul>
ຂະໝົ້ນເຄືອ	[kʰá mȍn kʰɨ́a]	<ul><li><p-n>botany</p-n>  pointed leaf combretum (or) broadleaf combretum (Combretum acuminatum or Combretum extensum)</li></ul>
ຂະໂໝງ	[kʰámǒːŋ]	<ul><li>(see)ຂະໝອງ</li></ul>
ຂະໝອງ	[kʰámɔ̌ːŋ]	<ul><li>(and deriv.; see )ສະໝອງ</li></ul>
ຂະໝ່ອມ	[kʰámɔ̄ːm]	<ul><li>top/summit/crown [of the head]; top of the head</li></ul>
ຂະໝວນ	[kʰámǔan]	<ul><li><br>	</li><li><p-n>adjective</p-n>  rotten, rotted through; spoiled/gone bad/tainted</li></ul>
ຂະເໝົາ	[kʰá mǎu]	<ul><li>soot/lampblack</li></ul>
ຂະຫລັງແຄ້ນ	[kʰálǎŋ kʰɛ̂ːn]	<ul><li><p-n>literary</p-n>  to be despondent, to grieve, to be sad (because of an unhappy love affair)</li></ul>
ຂະຫລັງ	[kʰálǎŋ]	<ul><li><p-n>poetic</p-n>  to pine (to suffer) for love<br>	</li><li>to be disappointed in love</li></ul>
ຂັງຂໍ້	[kʰǎŋ kʰɔ̏ː]	<ul><li>to cut bamboo into joints</li></ul>
ຂັງຄຸກ	[kʰǎŋ kʰūk]	<ul><li>to put into prison, to imprison</li></ul>
ຂັງຄອກ	[kʰǎŋ kʰɔ̂ːk]	<ul><li>to place in a pen/in an enclosure</li></ul>
ຂັງນ້ຳ	[kʰǎŋ nâm]	<ul><li>to dam, to block with a weir (with a dam)</li></ul>
ຂັງ	[kʰǎŋ]	<ul><li>to delay/to detain, not to let [somebody] depart/leave<br>	</li><li>to deprive of freedom, to take into custody<br>	</li><li>to retain, to keep<br>	</li><li>to put (into prison, into a cage, etc.)</li></ul>
ຂັ້ງ	[kʰȁŋ]	<ul><li>to fence off/to partition, to separate (with a partition, with a fence, etc.)</li></ul>
ການຂັດແຍ່ງ	[kàːn kʰát ɲɛ̄ːŋ]	<ul><li>contradiction, difference/disagreement</li></ul>
ຂັດກັນ	[kʰát kàn]	<ul><li>to contradict one another; to be opposite, to differ (e.g. about opinions)</li></ul>
ຂັດຂີນ	[kʰátkʰǐːn]	<ul><li>not to obey, to oppose, to resist/to stand up [against]</li></ul>
ຂັດຂືນ	[kʰát kʰɨ̌ːn]	<ul><li>(see)ຂັດຂີນ</li></ul>
ຂັດແຂງ	[kʰátkʰɛ̌ːŋ]	<ul><li>to show insubordination, to show disobedience</li></ul>
ຂັດຂ້ອງ	[kʰátkʰɔ̏ːŋ]	<ul><li>to object, to be against<br>	</li><li>to experience difficulties</li></ul>
ຂັດຂວາງ	[kʰátkʰwǎːŋ]	<ul><li>to hinder/to hamper/to impede, to prevent [from]</li></ul>
ຂັດຂວາງຄວາມກ້າວໜ້າ	[kʰátkʰwǎːŋ kʰwáːm kâːunȁː]	<ul><li>to retard development, to retard progress</li></ul>
