a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
stamping ground	noun <br>British <br>= stomping ground 
stance	noun <ol><li>1 (attitude) postura f <br><p-l>XXX a stance on sth </p-l>YYYuma postura em relação a algo <br><p-l>XXX to take up or adopt a stance </p-l>YYYassumir or adotar uma postura <br><p-l>XXX to maintain a stance </p-l>YYYmanter uma postura </li><li>2 (way of standing) postura f </li></ol>
stanch	transitive verb (mainly US) <ol><li>1 (stop) estancar ‹blood› </li><li>2 figurative estancar <br><p-l>XXX to stanch the tide of rumors </p-l>YYYestancar a onda de boatos </li></ol>
stand	masculine noun <br>stand, booth 
stand-alone	adjective <br>independente ‹hardware, unit› 
standard	<ul><li>A adjective <br>standard <br><p-l>XXX formato standard para o tablóide </p-l>YYYstandard tabloid format </li><li>B masculine noun <br>standard </li></ul>
standard assessment task	noun <br>British teste de avaliação de conhecimentos em relação a uma matéria do <br>currículo nacional britânico 
standard-bearer	noun <ol><li>1 Military porta-estandarte mf </li><li>2 figurative figura f  proeminente <br><p-l>XXX a standard-bearer in the fight for universal suffrage </p-l>YYYuma figura proeminente na luta pelo sufrágio universal </li></ol>
standard deviation	noun <br>desvio m  padrão 
standard-issue	adjective <ol><li>1 Military padrão ‹uniform, footwear, firearm› </li><li>2 informal (unexceptional) comum ‹clothes, person› </li></ol>
standardization	standədʌɪˈzeɪʃ(ə)n | <br>noun uncountable <br>padronização f 
standardize	transitive verb <br>padronizar ‹product, spelling, specifications› 
standard lamp	noun <br>British <br>= floor lamp 
standard of living	noun <br>padrão m  de vida <br><p-l>XXX to raise the standard of living </p-l>YYYaumentar o padrão de vida 
standard time	noun uncountable <br>hora f  oficial 
standby	<ul><li>A noun pl standbys <ol><li>1 uncountable  and countable (backup, person) reserva f <br><p-l>XXX we must have a standby in case the power supply fails </p-l>YYYtemos de ter uma reserva caso haja uma falha no abastecimento de eletricidade <br><p-l>XXX to be on standby </p-l>YYY«army» estar de prontidão </li><li>2 uncountable  and countable (in travel) lista f  de passageiros não <br>confirmados <br><p-l>XXX to be put on standby </p-l>YYYser posto numa lista de passageiros não confirmados </li><li>3 uncountable Electronics standby m <br><p-l>XXX to save energy, don't leave appliances on standby </p-l>YYYpara economizar energia, não deixe os dispositivos em standby </li><li>B adjective <ol><li>1 (emergency) de reserva ‹vehicle, battery, generator› </li><li>2 (in travel) não confirmado ‹passenger, ticket› </li></ol></li></ul>
stand de automóveis	masculine noun <br>car dealership 
standee	noun <br>(mainly US) pessoa f  sem lugar sentado 
stand-in	<ul><li>A noun <ol><li>1 (replacement) suplente mf </li><li>2 Cinema, Theatre dublê m Brazil, duplo m Portugal </li><li>B adjective before n <br>reserva ‹goalkeeper› ; suplente ‹teacher› </li></ol></li></ul>
standing	<ul><li>A noun uncountable <ol><li>1 (reputation) reputação f <br><p-l>XXX a scientist of high or considerable standing </p-l>YYYum cientista de boa reputação <br><p-l>XXX what is his standing among politicians? </p-l>YYYqual é a sua reputação no meio político? <br><p-l>XXX social/academic/professional/financial standing </p-l>YYYreputação social/acadêmica/profissional/financeira </li><li>2 (length of time) duração f <br><p-l>XXX a dispute of long/ten years standing </p-l>YYYuma briga de longa/com dez anos de duração </li><li>B adjective before n <ol><li>1 (permanent) permanente ‹army, committee, charge› </li><li>2 Sport vertical ‹jump› ; em pé ‹position› </li><li>3 Farming plantado ‹crop, corn› </li><li>4 Transport em pé ‹passenger› </li></ol></li></ul>
standing charge	noun <br>taxa f  fixa 
standing desk	noun <br>escrivaninha f de altura regulável Brazil, secretária f  de altura regulável <br>Portugal (que permite trabalhar em pé ou sentado) 
standing order	noun <ol><li>1 Finance pagamento m  automático Brazil, pagamento m  por débito direto <br>Portugal </li><li>2 British Business pedido de encomenda regular como, por exemplo, para a <br>entrega diária do leite ou de um jornal <br><p-l>XXX we have a standing order with the milkman </p-l>YYYcombinamos com o leiteiro de ele entregar o leite todos os dias </li></ol>
standing ovation	noun <br><p-l>XXX to give sb a standing ovation </p-l>YYYaplaudir alguém de pé 
standing room	noun uncountable <br>lugares mpl  em pé <br><p-l>XXX there was only standing room left on the train </p-l>YYYsó havia lugares em pé no trem 
standing stone	noun <br>menir m 
standoff	noun <br>impasse m <br><p-l>XXX a dramatic standoff with the police </p-l>YYYum impasse dramático com a polícia 
standoffish	adjective <br>informal metido Brazil informal, armado Portugal informal ‹person, manner, <br>attitude› 
standout	adjective <br>fora do comum ‹performance, player, dish› 
standpipe	noun <br>cano m  vertical de hidrante 
standpoint	noun <br>ponto m  de vista <br><p-l>XXX from sb's standpointor the standpoint of sb </p-l>YYYdo ponto de vista de alguém 
standstill	noun <br><p-l>XXX (stop) traffic is at a standstill </p-l>YYYo trânsito está completamente parado <br><p-l>XXX production came to a standstill </p-l>YYYa produção parou <br><p-l>XXX the country was brought to a standstill </p-l>YYYo país parou 
stand-up	<ul><li>A adjective before n <ol><li>1 (eaten standing) em pé ‹meal› </li><li>2 Theatre, Television stand-up ‹comedy, show› </li><li>3 (aggressive) violento ‹row, argument› </li><li>B noun <ol><li>1 uncountable (also stand-up comedy) um espetáculo de humor do tipo stand-up <br>comedy </li><li>2 countable (also stand-up comedian) humorista mf </li></ol></li></ul>
stank	past tense <br>▶ stink A 
stanley knife	noun trademark <br>British estilete m 
stanza	noun <br>estrofe f 
staple	<ul><li>A noun <ol><li>1 (for paper) grampo m Brazil, agrafo m Portugal </li><li>2 Building (U-shaped) grampo m </li><li>B transitive verb <ol><li>1 (fasten) grampear Brazil, agrafar Portugal <br><p-l>XXX to staple sth to sth </p-l>YYYgrampear algo em algo <br><p-l>XXX to staple two sheets of paper together </p-l>YYYgrampear duas folhas de papel </li><li>2 Medicine <br><p-l>XXX to have one's stomach stapled </p-l>YYYfazer uma gastroplastia </li></ol></li></ul>
staple gun	noun <br>grampeador m  pneumático Brazil, agrafador m  pneumático Portugal 
stapler	noun <br>grampeador m Brazil, agrafador m Portugal 
star	<ul><li>A noun <ol><li>1 Astronomy estrela f <br><p-l>XXX under the stars </p-l>YYYsob as estrelas <br><p-l>XXX to camp out under the stars </p-l>YYYacampar sob as estrelas <br><p-l>XXX the stars are out </p-l>YYYo céu está estrelado </li><li>2 (shape) estrela f <br><p-l>XXX the walls were painted with moons and stars </p-l>YYYas paredes foram enfeitadas com luas e estrelas </li><li>3 (celebrity) estrela f <br><p-l>XXX a pop/Hollywood star </p-l>YYYuma estrela pop/de Hollywood <br><p-l>XXX a tennis star </p-l>YYYuma estrela do tênis <br>before n, de estrela <br><p-l>XXX star treatment </p-l>YYYtratamento de estrela </li><li>4 (main performer) estrela f </li><li>5 (best of group) estrela f <br><p-l>XXX she is the star of the class </p-l>YYYela é a estrela da turma </li><li>6 before n (main) principal </li><li>7 before n (outstanding, best) principal <br><p-l>XXX the star performer </p-l>YYYo artista principal <br><p-l>XXX the star prize </p-l>YYYo prêmio principal </li><li>8 (rating mark for hotel or restaurant) estrela f <br><p-l>XXX this hotel has three stars </p-l>YYYeste hotel tem três estrelas <br><p-l>XXX a four-star restaurant </p-l>YYYum restaurante quatro estrelas </li><li>9 (asterisk) asterisco m </li><li>10 (badge of law enforcement officer) insígnia f </li><li>11 (mark of rank on military uniform) insígnia f <br><p-l>XXX how many stars does the general have? </p-l>YYYquantas insígnias o general tem? <br><p-l>XXX a five-star general </p-l>YYYum general com cinco insígnias </li><li>12 School (award sticker) estrela f <br><p-l>XXX I got a gold star for my work </p-l>YYYganhei uma estrela dourada pelo meu trabalho </li><li>13 (white patch on an animal's forehead) estrela f </li><li>14 informal (helpful person) anjo m <br><p-l>XXX thanks! you’re a star! </p-l>YYYobrigado! você é um anjo! </li><li>15 (planet or constellation influencing person's fate) it's written in the <br>stars <br>está escrito nas estrelas <br><p-l>XXX to be born under a lucky/an unlucky star </p-l>YYYnascer sortudo/azarado </li><li>B stars plural noun <br>British informal (horoscope) horóscopo f <br><p-l>XXX do you read your stars? </p-l>YYYvocê lê seu horóscopo? <br><p-l>XXX what do my stars say? </p-l>YYYo que o meu horóscopo diz? </li><li>C transitive verb pres p starring pt, pp starred <ol><li>1 (feature) estrelar <br><p-l>XXX a movie starring Leonardo DiCaprio </p-l>YYYum filme estrelando Leonardo DiCaprio </li><li>2 (mark with asterisk) marcar com um asterisco <br><p-l>XXX starred dishes on the menu are suitable for vegetarians </p-l>YYYos pratos marcados com um asterisco no menu são vegetarianos </li><li>3 (decorate) enfeitar <br><p-l>XXX sea urchins starred the pale rocks </p-l>YYYos ouriços-do-mar enfeitavam as rochas sem cores <br><p-l>XXX a meadow starred with wild flowers </p-l>YYYum prado enfeitado por flores selvagens </li><li>D intransitive verb pres p starring pt, pp starred <br><p-l>XXX he stars as Henry V </p-l>YYYele aparece como Henrique V <br><p-l>XXX she starred with or opposite Keanu Reeves in The Matrix </p-l>YYYela atuou com or ao lado de Keanu Reeves em Matrix <br><p-l>XXX she has a starring role in the new play </p-l>YYYela tem um papel principal na nova peça <br>IDIOMS <br>to have stars in one's eyes <br>ter um brilho no olhar <br>to reach for the stars <br>sonhar com voos mais altos <br>to see stars <br>informal ver estrelas </li></ol></li></ul>
star anise	noun uncountable <br>anis-estrelado m 
starboard	noun uncountable <br>Nautical, Aviation estibordo m <br><p-l>XXX to starboard </p-l>YYYa estibordo <br><p-l>XXX hard a-starboard! </p-l>YYYpara estibordo! <br><p-l>XXX to bank to starboard </p-l>YYYvirar para estibordo <br><p-l>XXX a starboard tack </p-l>YYYum percurso com o vento a estibordo 
starch	<ul><li>A noun <ol><li>1 uncountable  and countable (carbohydrate, food) amido m <br><p-l>XXX potato/wheat starch </p-l>YYYamido de batata/trigo </li><li>2 uncountable (for clothes) goma f <br><p-l>XXX spray starch </p-l>YYYgoma em spray <br><p-l>XXX to put starch on sth </p-l>YYYengomar algo </li><li>B transitive verb <br>engomar ‹clothes, handkerchief› <br><p-l>XXX a shirt with starched cuffs and collar </p-l>YYYuma camisa com colarinho e punhos engomados </li></ol></li></ul>
star chart	noun <br>mapa m  estelar 
starchy	adjective <ol><li>1 (containing starch) rico em amido ‹food, clothes, substance› </li><li>2 informal derogatory (formal, stiff) empertigado derogatory ‹person, manner› </li></ol>
star-crossed	adjective <br>literary malfadado ‹person› 
stardom	noun uncountable <br>estrelato m <br><p-l>XXX to rise to stardom </p-l>YYYchegar ao estrelato 
stare	<ul><li>A intransitive verb <br>(gaze, be wide open) ficar olhando <br><p-l>XXX I screamed, and everyone stared </p-l>YYYeu gritei, e todo mundo ficou olhando <br><p-l>XXX to stare back at sb </p-l>YYYficar olhando de volta para alguém <br><p-l>XXX to stare into space/the distance </p-l>YYYficar olhando para o espaço/longe </li><li>B transitive verb <br>fixar o olhar em <br><p-l>XXX the teacher stared the child into silence </p-l>YYYo professor fixou o olhar na criança até ela se calar </li><li>C noun <br>olhar m <br><p-l>XXX he fixed her with an angry stare </p-l>YYYele a fitou com um olhar irritado <br>IDIOM <br>to be staring sb in the face <br>(be obvious) estar na cara de alguém <br>PHRASAL VERBS <br>stare down: <br>[stare sb down, stare down sb] <br><p-l>XXX he stared her down </p-l>YYYele ficou olhando para ela até ela desviar o olhar <br>stare out: <br>[stare sb out, stare out sb] <br><p-l>XXX the children were trying to stare each other out </p-l>YYYas crianças estavam tentando ver quem desviava o olhar primeiro </li></ul>
starfish	noun pl starfish <br>estrela-do-mar f 
star fruit	@starfruit <br>noun <br>countable and uncountable carambola f 
stargazer	noun informal <ol><li>1 (astronomer) astrônomo m / astrônoma f Brazil; astrónomo m / astrónoma f <br>Portugal </li><li>2 (astrologer) astrólogo m / astróloga f </li></ol>
staring	adjective before n <br>curioso ‹onlookers, crowd› ; arregalado ‹eyes› 
stark	adjective <ol><li>1 (bare) desolador ‹appearance, landscape› </li><li>2 figurative (unadorned) nu e cru ‹reality› ; gritante ‹fact, contrast› ; duro <br>‹choice› </li><li>3 before n (sheer) puro ‹terror› <br>IDIOM <br>to be stark staring or raving mad <br>informal ser/estar completamente doido </li></ol>
starkly	adverb <ol><li>1 (austerely) austeramente ‹contrast, light› </li><li>2 (bluntly) diretamente ‹contrast, contradict› ; incrivelmente ‹evident, <br>honest, realistic› </li></ol>
starless	adjective <br>sem estrelas ‹night, sky› 
starlet	noun <br>atriz f  desconhecida 
starlight	noun uncountable <br>luz f  das estrelas <br><p-l>XXX by starlight </p-l>YYYsob a luz das estrelas 
starling	noun <br>estorninho m 
starry	adjective <ol><li>1 (full of stars) estrelado ‹night, sky› </li><li>2 (shining) brilhante ‹eye› </li><li>3 (star-shaped) em forma de estrela ‹flower› </li><li>4 informal (all-star) cinco estrelas ‹cast› </li></ol>
starry-eyed	adjective <br>sonhador ‹person› ; ingênuo Brazil, ingénuo Portugal ‹admiration, notion› <br><p-l>XXX to be starry-eyed about sb/sth </p-l>YYYser ingênuo em relação a alguém/algo 
stars and stripes	<ul><li>A bandeira dos EUA. Suas cinquenta estrelas (stars) representam os cinquenta <br>estados e as treze listras horizontais representam as primeiras colônias que <br>constituíram os Estados Unidos. Também recebe os nomes Old Glory ou The Star- <br>Spangled Banner. </li></ul>
star sign	noun <br>signo m 
star-spangled banner	noun <ol><li>1 (flag) the Star-Spangled Banner <br>a bandeira americana </li><li>2 (anthem) the Star-Spangled Banner <br>o hino americano </li></ol>
star-struck	adjective <br>informal fascinado (por pessoas famosas) <br><p-l>XXX it was like a dream, meeting all those famous people, I was so star-struck </p-l>YYYparecia um sonho, conhecer toda aquela gente famosa, eu fiquei tão fascinado 
star-studded	adjective <ol><li>1 (filled with stars) cheio de estrelas </li><li>2 informal de luxo ‹cast, event, production› </li></ol>
start	<ul><li>A intransitive verb <ol><li>1 (begin to happen) começar <br><p-l>XXX when does the class start? </p-l>YYYquando a aula começa? <br><p-l>XXX have you any idea where the rumor started? </p-l>YYYvocê tem alguma ideia de onde o boato começou? </li><li>2 (begin doing sth) começar <br><p-l>XXX it’s a long story; where shall I start? </p-l>YYYé uma longa história; por onde começo? <br><p-l>XXX the best professional musicians start young </p-l>YYYos melhores músicos profissionais começam cedo <br><p-l>XXX we'll start at the top of page 20 </p-l>YYYcomeçaremos no topo da página 20 <br><p-l>XXX it's time we got started </p-l>YYYé hora de começarmos <br><p-l>XXX I must get started with my revision in good time </p-l>YYYpreciso começar minha revisão em breve </li><li>3 (begin new job) começar <br><p-l>XXX can you start on Monday? </p-l>YYYvocê pode começar na segunda-feira? </li><li>4 (do sth as first stage) começar <br><p-l>XXX let’s start by reviewing what we did last week </p-l>YYYvamos começar revisando o que fizemos na semana passada <br><p-l>XXX I started in marketing </p-l>YYYcomecei no marketing <br><p-l>XXX I'll start with the salmon </p-l>YYYvou comer o salmão de entrada </li><li>5 (have its starting point) começar <br><p-l>XXX her name starts with (an) M </p-l>YYYo nome dela começar com M <br><p-l>XXX this is where the desert starts </p-l>YYYé aqui que o deserto começa <br><p-l>XXX prices start at 50 dollars </p-l>YYYos preços começam a partir de 50 dólares <br><p-l>XXX the day started badly: I overslept! </p-l>YYYo dia começou mal: dormi além da hora! </li><li>6 (leave, begin to move) partir <br><p-l>XXX we must start at 6 o'clock </p-l>YYYdevemos partir às 6 horas <br><p-l>XXX they plan to start early tomorrow </p-l>YYYeles planejam partir amanhã cedo <br><p-l>XXX to start for/from sth </p-l>YYYsair em busca de/por algo <br><p-l>XXX I started after her to tell her the news </p-l>YYYsaí em busca dela para dar as notícias <br><p-l>XXX he started for the door, but I blocked his way </p-l>YYYele foi em direção à porta, mas eu bloqueei o caminho </li><li>7 (begin to operate) ligar <br><p-l>XXX the car won't start </p-l>YYYo carro não quer ligar </li><li>8 (jump) saltar <br><p-l>XXX the sudden noise made her start </p-l>YYYo barulho repentino a fez saltar </li><li>B transitive verb <ol><li>1 (begin to do, use, etc) começar <br><p-l>XXX he's just started a new job </p-l>YYYele acabou de começar no trabalho novo <br><p-l>XXX the ship started its voyage at Auckland </p-l>YYYo navio começou sua viagem em Auckland <br><p-l>XXX I only started this book yesterday </p-l>YYYcomecei este livro ontem <br><p-l>XXX to start doing sth/to do sth </p-l>YYYcomeçar a fazer algo <br><p-l>XXX she started laughing </p-l>YYYela começou a rir <br><p-l>XXX it started to rain </p-l>YYYcomeçou a chover <br><p-l>XXX she starts school today </p-l>YYYela começa a escola hoje </li><li>2 (do the first stage of) começar <br><p-l>XXX he started his career as a teacher </p-l>YYYele começou a carreira dele como professor <br><p-l>XXX do you start the day with a good breakfast? </p-l>YYYvocê começa o dia com um bom café da manhã? </li><li>3 (cause to begin activity) to start sb in business <br>colocar alguém no negócio <br><p-l>XXX the news started me thinking </p-l>YYYa notícia me pôs a pensar <br><p-l>XXX I must just get the kids started on their homework </p-l>YYYpreciso fazer os meninos começarem os deveres de casa </li><li>4 (give signal in race) dar a largada </li><li>5 (cause to happen) começar <br><p-l>XXX to start a fire/an argument </p-l>YYYcomeçar um incêndio/uma briga <br><p-l>XXX stop fighting, you two! – he started it! </p-l>YYYparem de brigar, vocês dois! – ele começou! <br><p-l>XXX don't start that again! </p-l>YYYnão comece com isso de novo! </li><li>6 (cause to begin operating) ligar <br><p-l>XXX I can’t get the car started </p-l>YYYnão consigo ligar o carro </li><li>C noun <ol><li>1 (beginning) início m, começo m <br><p-l>XXX tomorrow's the start of a new school year </p-l>YYYamanhã é o começo do novo ano escolar <br><p-l>XXX the start of his speech was rather boring </p-l>YYYo começo do discurso dele foi meio chato <br><p-l>XXX the start of something big </p-l>YYYinformal a início de algo grandioso <br><p-l>XXX that's a good start </p-l>YYYé um bom começo <br><p-l>XXX the meeting got off to a good start </p-l>YYYa reunião teve um bom começo <br><p-l>XXX a perfect start to the holidays </p-l>YYYum começo perfeito de férias <br><p-l>XXX at the start, I thought I could trust him </p-l>YYYno começo, achei que podia confiar nele <br><p-l>XXX (right) from the start (of sth) </p-l>YYY(bem) no começo (de algo) <br><p-l>XXX from start to finish </p-l>YYYdo começo ao fim </li><li>2 (act of beginning sth) to make a start <br>começar <br><p-l>XXX to make an early start </p-l>YYY(on journey, work, etc) começar cedo <br><p-l>XXX to make a fresh or new start </p-l>YYYcomeçar de novo </li><li>3 (opportunity for beginning sth) to give one's children a good start in life <br>dar aos filhos uma boa oportunidade de vida <br><p-l>XXX the job gave him his start in journalism </p-l>YYYo emprego lhe deu uma oportunidade de entrar para o jornalismo </li><li>4 (useful initial contribution) começo m <br><p-l>XXX I've written one page; it's not much, but it's a start </p-l>YYYescrevi uma página; não é muito, mas é um começo </li><li>5 (beginning of race) largada f <br><p-l>XXX the runners lined up at the start </p-l>YYYos corredores se alinharam na largada <br><p-l>XXX the pistol went for the start of the 100 meters </p-l>YYYa pistola disparou para a largada dos 100 metros </li><li>6 (distance or time advantage) vantagem f <br><p-l>XXX they gave me a 10-meter start in the race </p-l>YYYeles me deram uma vantagem de 10 metros na corrida <br><p-l>XXX he had an hour's start on me </p-l>YYYele tinha uma hora de vantagem em relação a mim </li><li>7 (sudden movement) susto m <br><p-l>XXX she woke from the dream with a start </p-l>YYYela acordou do sonho com um susto <br><p-l>XXX you gave me quite a start! </p-l>YYYvocê me deu um grande susto! <br>IDIOMS <br>don't start! <br>informal (don't begin to complain) nem comece!: <br><p-l>XXX don't start! I told you I'd be late </p-l>YYYnem comece! eu avisei que chegaria atrasado <br>for a start <br>para começar <br>to start a family <br>ter filhos <br>to start as one means to go on <br>começar algo de maneira organizada <br>to start something <br>informal tramar alguma coisa <br>to start with <br>(firstly) para começar; <br>(at the beginning) a princípio; <br>(at all) para começar: <br><p-l>XXX to start with, we haven't enough money </p-l>YYYpara começar, não temos dinheiro suficiente <br><p-l>XXX I didn't understand to start with </p-l>YYYa princípio, não entendi <br><p-l>XXX I should never have told her to start with </p-l>YYYeu nem deveria ter dito a ela, para começar <br>PHRASAL VERBS <br>start back <ol><li>1 (begin to return) voltar <br><p-l>XXX isn't it time we started back? </p-l>YYYnão é hora de voltarmos? </li><li>2 (step back suddenly) recuar <br>start in on <br>[start in on sb] <br>US informal (criticize, scold) implicar <br><p-l>XXX she started in on me for being late </p-l>YYYela implicou comigo por estar atrasado <br>start off <br>A 1 (set off) partir <br><p-l>XXX he started off down the path to the village </p-l>YYYpartimos pelo caminho para a vila <br><p-l>XXX to start off on one's journey </p-l>YYYpartir em uma viagem </li><li>2 (do sth as a first stage) começar <br><p-l>XXX let’s start off with some gentle exercises </p-l>YYYvamos começar com alguns exercícios leves <br><p-l>XXX he started off by saying how much he admired her work </p-l>YYYele começou dizendo o quanto admirava o trabalho dela <br><p-l>XXX I started off working quite hard, but it didn't last </p-l>YYYcomecei trabalhando pesado, mas não durou muito </li><li>3 (be sth initially) começar <br><p-l>XXX the leaves start off green but turn red later </p-l>YYYas folhas começaram verdes mas ficaram vermelhas em seguida <br><p-l>XXX she started off as a secretary and ended up a director </p-l>YYYela começou como secretária e terminou como diretora </li><li>B [start sb off] <ol><li>1 (cause to begin) the company started him off as a shipping clerk <br>a empresa o contratou como despachante no começo <br><p-l>XXX don't start her off crying </p-l>YYYnão a faça chorar <br><p-l>XXX my mother started me off on the piano when I was three </p-l>YYYminha mãe me fez começar no piano quando eu tinha três anos <br><p-l>XXX what started her off on that crazy idea? </p-l>YYYo que a fez ter aquela ideia louca? </li><li>2 informal (make angry) enfurecer; <br>(cause to laugh) fazer rir; <br>(cause to cry) fazer chorar <br><p-l>XXX she giggled and that started me off </p-l>YYYela deu uma risadinha e isso me fez começar a rir </li><li>3 (in race) dar a largada </li><li>C [start sth off, start off sth] <br>(do first stage of) começar <br><p-l>XXX we started off our tour with a visit to the palace </p-l>YYYcomeçamos nosso tour com uma visita ao palácio <br><p-l>XXX they started off the season by losing their first four matches </p-l>YYYeles se estrearam na temporada perdendo as primeiras quatro partidas <br>start on <br>A [start on sth] <br>começar <br><p-l>XXX to start on one's journey </p-l>YYYcomeçar uma viagem <br><p-l>XXX as soon as they'd finished the first bottle, they started on the next </p-l>YYYassim que terminaram a primeira garrafa, ela começaram a próxima </li><li>B [start on sb] <br>informal (criticize) começar a implicar <br><p-l>XXX don't start on me </p-l>YYYnão comece a implicar comigo <br>start on about <br>[start on about sb/sth] <br>informal começar a implicar <br><p-l>XXX don't start on about him not having a job </p-l>YYYnão comece a implicar com o fato de ele não ter um emprego <br>start on at: <br>▶ [start on at sb] <br>informal começar a implicar <br><p-l>XXX she started on at me again about getting some new clothes </p-l>YYYela começou a implicar comigo outra vez para eu comprar roupas novas <br>start out <ol><li>1 (begin to do sth) começar <br><p-l>XXX she started out on her legal career in 1997 </p-l>YYYela começou na carreira legal dela em 1997 </li><li>2 (do sth initially) começar <br><p-l>XXX he started out as a salesman </p-l>YYYele começou como vendedor </li><li>3 (be sth initially) começar <br><p-l>XXX the morning started out so beautifully </p-l>YYYa manhã começou tão bela </li><li>4 (set off) partir <br><p-l>XXX they started out on their 20-mile hike </p-l>YYYeles partiram em sua caminhada de 20 millhas <br><p-l>XXX to start out for the airport </p-l>YYYpartir para o aeroporto <br>start over <br>recomeçar <br><p-l>XXX she wasn't happy with our work and made us start over </p-l>YYYela não ficou satisfeita com nosso trabalho e nos fez recomeçar <br>start up <br>A 1 (be set up) começar </li><li>2 (set up business) to start up in business <br>entrar no negócio <br><p-l>XXX he's started up as a consultant </p-l>YYYele começou como consultor </li><li>3 (begin working) ligar <br><p-l>XXX I heard his car start up </p-l>YYYouvi o carro dele ligar </li><li>4 (begin to be heard) começar </li><li>B [start sth up, start up sth] <ol><li>1 (found) começar </li><li>2 (cause to begin working) ligar <br><p-l>XXX can you start the car up please? </p-l>YYYvocê pode ligar o carro, por favor? </li></ol></li></ul>
starter	noun <ol><li>1 Sport (participant, person, horse) competidor m / competidora f </li><li>2 Sport (official) executor m / executora f </li><li>3 (person) to be a fast starter <br>Sport sair bem na largada <br><p-l>XXX I'm just a slow/fast starter </p-l>YYYeu começo o dia devagar/animado <br><p-l>XXX a late starter on guitar/in art </p-l>YYYuma pessoa que começa uma atividade depois da maioria das pessoas </li><li>4 Motor Vehicles, Technology partida f <br><p-l>XXX a starter button/motor </p-l>YYYum botão/motor de partida </li><li>5 (mainly British) Cooking entrada f <br><p-l>XXX a seafood starter </p-l>YYYuma entrada com frutos do mar </li><li>6 (in quiz) pergunta f  inicial; (in discussion, study) começo m <br>IDIOMS <br>to be under starter's orders <br>esperar pelo tiro de largada <br>for starters <br>informal para começar: <br><p-l>XXX for starters, I don't like your attitude! </p-l>YYYpara começar, eu não gosto da sua atitude! </li></ol>
starter home	noun <br>primeira casa f  própria 
starting block	noun <br>bloco m  de partida 
starting line	noun <br>linha f  de partida <br><p-l>XXX to be quick off the starting line </p-l>YYYfazer uma boa largada 
starting pistol	noun <br>tiro m  de partida 
starting point	noun <br>ponto m  de partida 
starting post	noun <br>marca f  de partida 
starting price	noun <br>preço m  inicial 
starting salary	noun <br>salário m  inicial 
startle	transitive verb <br>assustar, alarmar <br><p-l>XXX the shrill ring of the phone startled Jen </p-l>YYYo toque agudo do telefone assustou Jen <br><p-l>XXX a sudden movement in the bushes startled him </p-l>YYYum movimento repentino na moita o alarmou <br>IDIOM <br>to startle sb out of their wits <br>assustar alguém para valer 
startled	adjective <br>surpreso, assustado <br><p-l>XXX to be startled at sth </p-l>YYYficar surpreso com algo <br><p-l>XXX to be startled to see/learn/hear sth </p-l>YYYficar surpreso em ver/saber/ouvir algo 
startling	adjective <br>surpreendente <br><p-l>XXX startling blue eyes </p-l>YYYolhos azuis surpreendentes 
startlingly	adverb <br>surpreendentemente <br><p-l>XXX to be startlingly similar </p-l>YYYser surpreendentemente parecidos 
start-up	noun <ol><li>1 uncountable <br><p-l>XXX (setting up) start-up money/expenses </p-l>YYYcapital inicial/despesas iniciais <br><p-l>XXX start-up time </p-l>YYYtempo para abertura de uma empresa <br><p-l>XXX a start-up business </p-l>YYYuma empresa recém-criada </li><li>2 countable (new business) nova empresa f <br><p-l>XXX an internet start-up </p-l>YYYuma nova empresa da internet </li></ol>
start-up costs	plural noun <br>custos mpl  iniciais 
star turn	noun <br>destaque m 
starvation	noun uncountable <br>fome f <br><p-l>XXX to face starvation </p-l>YYYenfrentar a fome <br><p-l>XXX to die of starvation </p-l>YYYmorrer de fome 
starvation diet	noun <br>dieta f  de fome <br><p-l>XXX to be/go on a starvation diet </p-l>YYYestar/entrar em uma dieta de fome 
starvation wages	plural noun <br>salário m  de fome 
starve	<ul><li>A intransitive verb <br>privar de comida <br><p-l>XXX starving yourself for a week is not the best way of losing weight </p-l>YYYprivar-se de comida por uma semana não é a melhor maneira de perder peso <br><p-l>XXX to starve to death </p-l>YYYmatar/morrer de fome <br><p-l>XXX he starved himself to death as a protest </p-l>YYYele se matou de fome como protesto </li><li>B transitive verb <ol><li>1 (withhold food from) to starve oneself/sb to death <br>matar-se/alguém de fome <br><p-l>XXX to starve a city into submission </p-l>YYYprivar uma cidade de alimentos até sua rendição </li><li>2 (deprive) to starve sb/sth of sth <br>privar algo/alguém de algo <br><p-l>XXX children who have been starved of affection </p-l>YYYcrianças que tenham sido privadas de afeto <br><p-l>XXX to be starved for choice </p-l>YYYter pouca escolha <br>PHRASAL VERB <br>starve out <br>[starve sb out, starve out sb] <br>forçar a se render pela fome <br><p-l>XXX if they won't come out of their own accord, we'll starve them out! </p-l>YYYse eles não saírem por iniciativa própria, nós os forçaremos a se renderem <br>pela fome </li></ol></li></ul>
starving	adjective <ol><li>1 (hunger-stricken) faminto </li><li>2 informal (hungry) to be starving <br>estar faminto <br><p-l>XXX I'm starving! </p-l>YYYestou faminto! </li></ol>
