a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
abandonment	noun <ol><li>1 (giving up) abandono m <br><p-l>XXX bad weather forced the abandonment of the rescue attempt </p-l>YYYo mau tempo levou ao abandono da tentativa de resgate <br><p-l>XXX the unjustified abandonment of a perfectly good scheme </p-l>YYYo abandono injustificado de um esquema perfeitamente bom </li><li>2 (evacuation) abandono m <br><p-l>XXX the earthquake led to the abandonment of whole villages </p-l>YYYo terremoto levou ao abandono de vilarejos inteiros </li><li>3 (cancellation) desistência f <br><p-l>XXX the abandonment of the strike led to great bitterness among the workers </p-l>YYYa desistência da greve causou grande rancor entre os trabalhadores </li></ol>
abandono	masculine noun <ol><li>1 (deserção) abandonment <br><p-l>XXX o abandono do posto de trabalho </p-l>YYYabandonment of one's post <br><p-l>XXX o abandono de crianças/menores </p-l>YYYabandonment of children/minors </li><li>2 (entrega) abandonment <br><p-l>XXX uma atitude de abandono a algo/alguém </p-l>YYYan attitude of abandoning oneself to sb/sth </li><li>3 (desleixo) neglect <br><p-l>XXX encontrar-se em estado de abandono </p-l>YYYto be in a state of neglect <br><p-l>XXX deixar algo ao abandono </p-l>YYYto neglect sth <br><p-l>XXX relegar Brazil or Portugal  votar algo ao abandono </p-l>YYYto leave sth in a state of disrepair </li></ol>
abanicar	<ul><li>A transitive verb Portugal informal humorous <ol><li>1 (refrescar) to fan ‹rosto, pessoa› </li><li>2 (abanar) to fan ‹lume› </li><li>B abanicar-se pronominal verb <br>to fan oneself </li></ol></li></ul>
abanico	masculine noun <ol><li>1 (leque) fan </li><li>2 Portugal (sacudidela) shaking </li><li>3 Portugal informal humorous (ouvido) lug </li></ol>
abano	masculine noun <ol><li>1 (para matar moscas) swat </li><li>2 (da cabeça) shake; (da cauda) wag </li><li>3 (prejuízo) drop <br><p-l>XXX um abano salarial </p-l>YYYa drop in pay </li></ol>
abantesma	masculine and feminine noun <br>ghost 
abanão	masculine noun <ol><li>1 (mover com força) shake <br><p-l>XXX acordou-me com um abanão </p-l>YYYhe shook me awake </li><li>2 Portugal informal (chamada de atenção) wake-up call <br><p-l>XXX levar um abanão </p-l>YYYto get a wake-up call </li><li>3 (reviravolta) shake-up <br><p-l>XXX um grande abanão político no país </p-l>YYYa great political shake-up in the country </li></ol>
abarbatar	<ul><li>A transitive verb Portugal informal derogatory <ol><li>1 (surripiar) to pinch informal ‹objeto› <br><p-l>XXX alguém lhe abarbatou o relógio </p-l>YYYsomeone pinched his watch </li><li>2 (obter) to win, to land informal ‹prêmio› </li><li>B abarbatar-se pronominal verb <br><p-l>XXX abarbatar-se com algo </p-l>YYYto walk off with sth informal, to pinch sth informal </li></ol></li></ul>
abarcamento	masculine noun <ol><li>1 (ato ou efeito de abarcar) coverage </li><li>2 (açambarcamento) takeover <br><p-l>XXX a possibilidade de abarcamento de novos mercados </p-l>YYYthe possibility of taking over or embracing new markets </li></ol>
abarcar	transitive verb <ol><li>1 (incluir) to cover <br><p-l>XXX este trabalho abarca várias perspectivas </p-l>YYYthis work covers several perspectives </li><li>2 (abraçar) to embrace <br><p-l>XXX abriu os braços, abarcando o mundo … </p-l>YYYhe opened his arms, embracing the world … </li><li>3 (compreender) to take in <br><p-l>XXX abarcar o significado de suas palavras </p-l>YYYto take in the meaning of his words </li><li>4 (açambarcar) to seize, to embrace ‹oportunidades› </li><li>5 (alcançar visualmente) to be able to see ‹paisagem› <br><p-l>XXX da montanha abarcávamos todo o vale </p-l>YYYfrom the mountain we could see the whole valley </li></ol>
abarracado	adjective <br>Portugal shanty <br><p-l>XXX casas abarracadas </p-l>YYYshanty houses <br><p-l>XXX as famílias vivem abarracadas à entrada da cidade </p-l>YYYthe families live in shanty towns at the entrance to the city 
abarracamento	masculine noun <ol><li>1 (conjunto de barracas) encampment </li><li>2 (ato de abarracar) barracking </li></ol>
abarrotado	adjective <ol><li>1 (muito cheio) packed ‹ônibus, estádio, sala› <br><p-l>XXX a cidade estava abarrotada de turistas </p-l>YYYthe city was packed with tourists <br><p-l>XXX os cofres do governo estão abarrotados de dinheiro </p-l>YYYthe government's coffers are bulging with cash </li><li>2 (atulhado) overwhelmed <br><p-l>XXX estou abarrotada de e-mails </p-l>YYYI'm overwhelmed with e-mails </li><li>3 (de comida) full </li></ol>
