abal-abal I	hardened criminal.
abal-abal II	fake, bogus, phony.
abandonemén	(<i>D</i>/<i>E</i> <i>leg</i>) abandonment.
abandonir	<p-n>D</p-n> <br><p-l>mengabandonir </p-l>to abandon.
abang I	 <br><p-l>1 </p-l>older brother. – <i>mantu</i> older brother-in-law. – <i>saudara</i> older male cousin. <br><p-l>2 </p-l>form of address for older man. “– <i>mau</i> <i>ikut</i>?” “Do you want to join us?” <br><p-l>3 </p-l>form of reference by wife to husband (regardless of latter’s age). <i>si</i> – (my/one’s) husband. <i>Saya</i> <i>akan</i> <i>pergi</i> <i>ke</i> <i>mana</i> <i>pun</i> <i>si</i> – <i>pergi</i>. I’ll go wherever my husband goes. <br><p-l>4 </p-l><p-n>J</p-n> term of reference for lower-class male worker. – <i>bécak</i> pedicab driver. – <i>Jakarta</i>/<i>Jakarté</i> Mr. Jakarta, the male counterpart of <i>noné</i> <i>Jakarta</i>/<i>Jakarté</i>. – <i>sabit</i> <i>rumput</i> grass mower; → PENYABIT <i>rumput</i>. – <i>sopir</i> driver. <br><p-l>5 </p-l>more popu- lar and respectful epithet for some prominent persons of mainly Jakarta background; in this case, the abbreviated form <i>bang</i> is usually preferred; → BANG III.<br><p-l>berabang</p-l> <br><p-l>1 </p-l>to have (an) older brother(s). <br><p-l>2 </p-l>to address (s.o.) using the term <i>abang</i>.<br><p-l>berabangkan </p-l>to have ... as one’s older brother.
abang II	(<i>J</i>/<i>Jv</i>) red(dish) brown. – <i>tua</i> dark red, maroon.
abang III	– <i>pipi</i> Salvadori’s pheasant, <i>Lophura</i> <i>inornata</i>.<br><p-l>abang-<b>abang</b> </p-l><p-n>Jv</p-n> – <i>lambé</i> a) what the listener wants to hear. b) lip service; → PENGHIAS <i>bibir</i>.<br><p-l>abangan <b>I</b> </p-l><p-n>Jv</p-n> Javanese who are nominally Muslim but who ad- here to pre-Muslim beliefs intermixed with animist, Hindu and Buddhist beliefs. a ISLAM. <i>golongan</i> – the group of nominal Muslims.<br><p-l>abangan <b>II</b> </p-l><p-n>J</p-n> roof gutters.
abar I	screen, shelter; wall, partition (of a room, etc.).<br><p-l>berabarkan </p-l>to have a wall/screen made of s.t.
abar II	brake; → RÉM. I – <i>daya</i> power brake. – <i>pintu</i> automatic door closer.<br><p-l>mengabar</p-l> <br><p-l>1 </p-l>to brake, slow down (speed/progress/tension, etc.).<br><p-l>2 </p-l>to lessen (the risk of war, etc.). <br><p-l>3 </p-l>to reduce. <i>Obat</i> <i>ini</i> <i>dapat</i>\n~ <i>penderitaan</i> <i>si</i> <i>sakit</i>. This medicine can reduce the patient’s suffering. <br><p-l>4 </p-l>to impede, hinder, delay, obstruct.<br><p-l>mengabarkan </p-l>to reduce, lower.<br><p-l>terabar </p-l>hindered, obstructed, impeded, etc.<br><p-l>abaran </p-l>( psychological) inhibition. ~ <i>renjana</i> emotional inhibition.\n　<br><p-l>pengabaran and <b>perabaran</b> </p-l>screening, sheltering, braking.
Abasa	<p-n>A</p-n> “He Frowned”; title of the 80th chapter of the Koran.
Abassiyah	<p-n>A</p-n> Abbasid. <i>dinasti</i> – Abbasid dynasty.
abasti	[alat pembasmi tikus] rodent exterminator.
abat I	 → ABAD.
abat II	k.o. fish, bream, <i>Argyros</i> <i>spinifer</i>.
abatisasi	exterminating mosquito larvae by using <i>abaté</i>.
abatoar	<p-n>E</p-n> abattoir.
abaté	liquid for exterminating mosquito larvae. <i>serbuk</i>/<i>obat</i> – lar- vicide powder.<br><p-l>pengabatéan</p-l> → ABATISASI.
abau	k.o. large swamp turtle, painted terrapin, <i>Callagur</i> <i>picta</i>.
abawi	<p-n>A</p-n> paternal.
abaya	long black coat worn by women on the pilgrimage to Mecca.<br><p-l>berabaya </p-l>to wear such a coat.
abc and ABC	 /a-bé-cé/ alphabet, the abc’s. <i>tidak</i> <i>tahu</i> <i>sama</i> <i>sekali</i>\n– not to have the slightest idea (about s.t.).
abd	 → ABDI.
