#no sort
MAR 13:11	<p-n>@Markus  13:11</p-n>	Wenn sie euch aber hinführen und überliefern werden, so sorget nicht zum voraus, was ihr reden sollt, sondern was euch zu jener Stunde gegeben wird, das redet. Denn nicht ihr seid es, die da reden, sondern der heilige Geist.  
MAR 13:12	<p-n>@Markus  13:12</p-n>	Es wird aber ein Bruder den andern zum Tode überliefern und der Vater das Kind, und Kinder werden sich wider die Eltern erheben und werden sie zum Tode bringen;  
MAR 13:13	<p-n>@Markus  13:13</p-n>	und ihr werdet von jedermann gehaßt sein um meines Namens willen. Wer aber ausharrt bis ans Ende, der wird gerettet werden.  
MAR 13:14	<p-n>@Markus  13:14</p-n>	Wenn ihr aber den Greuel der Verwüstung da stehen sehet, wo er nicht soll (wer es liest, der merke darauf!), alsdann fliehe, wer im jüdischen Lande ist, auf die Berge.  
MAR 13:15	<p-n>@Markus  13:15</p-n>	Wer aber auf dem Dache ist, der steige nicht hinab und gehe nicht hinein, um etwas aus seinem Hause zu holen;  
MAR 13:16	<p-n>@Markus  13:16</p-n>	und wer auf dem Felde ist, der kehre nicht zurück, um sein Kleid zu holen.  
MAR 13:17	<p-n>@Markus  13:17</p-n>	Wehe aber den Schwangern und den Säugenden in jenen Tagen!  
MAR 13:18	<p-n>@Markus  13:18</p-n>	Bittet aber, daß eure Flucht nicht im Winter geschehe!  
MAR 13:19	<p-n>@Markus  13:19</p-n>	Denn es wird in jenen Tagen eine Trübsal sein, dergleichen nicht gewesen ist von Anfang der Schöpfung, die Gott erschaffen hat, bis jetzt, und wie auch keine mehr sein wird.  
MAR 13:20	<p-n>@Markus  13:20</p-n>	Und wenn der Herr die Tage nicht verkürzt hätte, so würde kein Mensch errettet werden; aber um der Auserwählten willen, die er erwählt hat, hat er die Tage verkürzt.  
MAR 13:21	<p-n>@Markus  13:21</p-n>	Und wenn alsdann jemand zu euch sagen wird: Siehe, hier ist Christus, oder: Siehe dort, so glaubet es nicht.  
MAR 13:22	<p-n>@Markus  13:22</p-n>	Denn es werden falsche Christusse und falsche Propheten auftreten und werden Zeichen und Wunder tun, um womöglich auch die Auserwählten zu verführen.  
MAR 13:23	<p-n>@Markus  13:23</p-n>	Ihr aber sehet euch vor! Siehe, ich habe euch alles vorhergesagt.  
MAR 13:24	<p-n>@Markus  13:24</p-n>	Aber in jenen Tagen, nach jener Trübsal, wird die Sonne verfinstert werden, und der Mond wird seinen Schein nicht geben,  
MAR 13:25	<p-n>@Markus  13:25</p-n>	und die Sterne werden vom Himmel fallen und die Kräfte im Himmel in Bewegung geraten.  
MAR 13:26	<p-n>@Markus  13:26</p-n>	Und alsdann wird man des Menschen Sohn in den Wolken kommen sehen mit großer Kraft und Herrlichkeit.  
MAR 13:27	<p-n>@Markus  13:27</p-n>	Und dann wird er seine Engel aussenden und seine Auserwählten sammeln von den vier Winden, vom Ende der Erde bis zum Ende des Himmels.  
MAR 13:28	<p-n>@Markus  13:28</p-n>	Von dem Feigenbaum aber lernet das Gleichnis: Wenn sein Zweig jetzt saftig wird und Blätter treibt, so merket ihr, daß der Sommer nahe ist.  
MAR 13:29	<p-n>@Markus  13:29</p-n>	Also auch ihr, wenn ihr sehet, daß dieses geschieht, so merket, daß er nahe ist, vor der Tür.  
MAR 13:30	<p-n>@Markus  13:30</p-n>	Wahrlich, ich sage euch, dieses Geschlecht wird nicht vergehen, bis dies alles geschehen ist.  
MAR 13:31	<p-n>@Markus  13:31</p-n>	Himmel und Erde werden vergehen, aber meine Worte werden nicht vergehen.  
MAR 13:32	<p-n>@Markus  13:32</p-n>	Von jenem Tage aber und der Stunde weiß niemand, auch nicht die Engel im Himmel, auch nicht der Sohn, sondern nur der Vater.  
MAR 13:33	<p-n>@Markus  13:33</p-n>	Sehet zu, wachet und betet! Denn ihr wisset nicht, wann die Zeit da ist.  
MAR 13:34	<p-n>@Markus  13:34</p-n>	Es ist wie bei einem Menschen, der verreiste, sein Haus verließ und seinen Knechten Vollmacht gab, einem jeden sein Werk, und dem Türhüter befahl, daß er wachen solle:  
MAR 13:35	<p-n>@Markus  13:35</p-n>	so wachet nun, denn ihr wisset nicht, wann der Herr des Hauses kommt, ob am Abend oder zur Mitternacht oder um den Hahnenschrei oder am Morgen;  
MAR 13:36	<p-n>@Markus  13:36</p-n>	auf daß nicht, wenn er unversehens kommt, er euch schlafend findet.  
MAR 13:37	<p-n>@Markus  13:37</p-n>	Was ich aber euch sage, das sage ich allen: Wachet!   
MAR 14:1	<p-n>@Markus  14:1</p-n>	Es war aber zwei Tage vor dem Passah und dem Fest der ungesäuerten Brote. Und die Hohenpriester und die Schriftgelehrten suchten, wie sie ihn mit List ergreifen und töten könnten;  
MAR 14:2	<p-n>@Markus  14:2</p-n>	denn sie sprachen: Nicht auf das Fest, damit nicht ein Aufruhr unter dem Volk entsteht!  
MAR 14:3	<p-n>@Markus  14:3</p-n>	Und da er zu Bethanien im Hause Simons des Aussätzigen war und zu Tische saß, kam ein Weib mit einer alabasternen Flasche voll Salbe, echter köstlicher Narde, zerbrach die alabasterne Flasche und goß sie aus auf sein Haupt.  
MAR 14:4	<p-n>@Markus  14:4</p-n>	Es wurden aber etliche unwillig bei sich selbst und sprachen: Wozu ist diese Verschwendung der Salbe geschehen?  
MAR 14:5	<p-n>@Markus  14:5</p-n>	Man hätte doch diese Salbe um mehr als dreihundert Denare verkaufen und es den Armen geben können. Und sie zürnten ihr.  
MAR 14:6	<p-n>@Markus  14:6</p-n>	Jesus aber sprach: Lasset sie! Warum bekümmert ihr sie? Sie hat ein edles Werk an mir getan.  
MAR 14:7	<p-n>@Markus  14:7</p-n>	Denn die Armen habt ihr allezeit bei euch, und wenn ihr wollt, könnt ihr ihnen Gutes tun; mich aber habt ihr nicht allezeit.  
MAR 14:8	<p-n>@Markus  14:8</p-n>	Sie hat getan, was sie konnte; sie hat zum voraus meinen Leib zum Begräbnis gesalbt.  
MAR 14:9	<p-n>@Markus  14:9</p-n>	Wahrlich, ich sage euch, wo immer dieses Evangelium gepredigt wird in der ganzen Welt, da wird man auch sagen, was diese getan hat, zu ihrem Gedächtnis.  
MAR 14:10	<p-n>@Markus  14:10</p-n>	Da ging Judas Ischariot, einer von den Zwölfen, hin zu den Hohenpriestern, um ihn an sie auszuliefern.  
MAR 14:11	<p-n>@Markus  14:11</p-n>	Als sie das hörten, wurden sie froh und versprachen ihm Geld zu geben. Und er suchte eine passende Gelegenheit, um ihn zu verraten.  
MAR 14:12	<p-n>@Markus  14:12</p-n>	Und am ersten Tage der ungesäuerten Brote, da man das Passahlamm schlachtete, sprachen seine Jünger zu ihm: Wo willst du, daß wir hingehen und das Passah zubereiten, damit du es essen kannst?  
MAR 14:13	<p-n>@Markus  14:13</p-n>	Und er sendet zwei seiner Jünger und spricht zu ihnen: Gehet in die Stadt; da wird euch ein Mensch begegnen, der einen Wasserkrug trägt; dem folget,  
MAR 14:14	<p-n>@Markus  14:14</p-n>	und wo er hineingeht, da sprechet zum Hausherrn: Der Meister läßt fragen: Wo ist meine Herberge, in der ich mit meinen Jüngern das Passah essen kann?  
MAR 14:15	<p-n>@Markus  14:15</p-n>	Und er wird euch einen großen Saal zeigen, der mit Polstern belegt und gerüstet ist, daselbst bereitet es für uns zu.  
MAR 14:16	<p-n>@Markus  14:16</p-n>	Und seine Jünger gingen hin und kamen in die Stadt und fanden es, wie er ihnen gesagt hatte, und bereiteten das Passah.  
MAR 14:17	<p-n>@Markus  14:17</p-n>	Und da es Abend geworden, kam er mit den Zwölfen.  
MAR 14:18	<p-n>@Markus  14:18</p-n>	Und als sie zu Tische saßen und aßen, sprach Jesus: Wahrlich, ich sage euch: Einer von euch, der mit mir ißt, wird mich verraten!  
MAR 14:19	<p-n>@Markus  14:19</p-n>	Da fingen sie an traurig zu werden und fragten ihn einer nach dem andern: Doch nicht ich?  
MAR 14:20	<p-n>@Markus  14:20</p-n>	Er aber sprach zu ihnen: Einer von den Zwölfen, der mit mir in die Schüssel taucht!  
MAR 14:21	<p-n>@Markus  14:21</p-n>	Des Menschen Sohn geht zwar dahin, wie von ihm geschrieben steht; aber wehe dem Menschen, durch welchen des Menschen Sohn verraten wird! Es wäre besser, wenn jener Mensch nicht geboren wäre!  
MAR 14:22	<p-n>@Markus  14:22</p-n>	Und während sie aßen, nahm Jesus Brot, lobpreisete, brach und gab es ihnen und sprach: Nehmet, das ist mein Leib.  
MAR 14:23	<p-n>@Markus  14:23</p-n>	Und er nahm den Kelch, sagte Dank und gab ihnen denselben; und sie tranken alle daraus.  
MAR 14:24	<p-n>@Markus  14:24</p-n>	Und er sprach zu ihnen: Das ist mein Blut des neuen Bundes, welches für viele vergossen wird.  
MAR 14:25	<p-n>@Markus  14:25</p-n>	Wahrlich, ich sage euch, ich werde hinfort nicht mehr von dem Gewächs des Weinstocks trinken bis zu jenem Tag, da ich es neu trinken werde im Reiche Gottes.  
MAR 14:26	<p-n>@Markus  14:26</p-n>	Und nachdem sie den Lobgesang gesungen hatten, gingen sie hinaus an den Ölberg.  
MAR 14:27	<p-n>@Markus  14:27</p-n>	Und Jesus spricht zu ihnen: Ihr werdet euch alle an mir ärgern. Denn es steht geschrieben: «Ich werde den Hirten schlagen, und die Schafe werden sich zerstreuen.»  
MAR 14:28	<p-n>@Markus  14:28</p-n>	Aber nachdem ich auferstanden bin, will ich euch nach Galiläa vorangehen.  
MAR 14:29	<p-n>@Markus  14:29</p-n>	Petrus aber sprach zu ihm: Wenn sich auch alle ärgern werden, doch nicht ich!  
MAR 14:30	<p-n>@Markus  14:30</p-n>	Und Jesus spricht zu ihm: Wahrlich, ich sage dir, heute in dieser Nacht, ehe der Hahn zweimal kräht, wirst du mich dreimal verleugnen!  
MAR 14:31	<p-n>@Markus  14:31</p-n>	Er aber sagte desto mehr: Wenn ich mit dir sterben müßte, werde ich dich nicht verleugnen. Gleicherweise sprachen aber auch alle.  
MAR 14:32	<p-n>@Markus  14:32</p-n>	Und sie kommen in ein Gut, genannt Gethsemane. Und er spricht zu seinen Jüngern: Bleibet hier sitzen, bis ich gebetet habe!  
MAR 14:33	<p-n>@Markus  14:33</p-n>	Und er nahm den Petrus und Jakobus und Johannes mit sich und fing an zu erschrecken, und ihm graute sehr.  
MAR 14:34	<p-n>@Markus  14:34</p-n>	Und er sprach zu ihnen: Meine Seele ist zutode betrübt; bleibet hier und wachet!  
MAR 14:35	<p-n>@Markus  14:35</p-n>	Und er ging ein wenig vorwärts, warf sich auf die Erde und betete, daß, wenn es möglich wäre, die Stunde an ihm vorüberginge.  
MAR 14:36	<p-n>@Markus  14:36</p-n>	Und er sprach: Abba, Vater! Es ist dir alles möglich; nimm diesen Kelch von mir! Doch nicht, was ich will, sondern was du willst.  
MAR 14:37	<p-n>@Markus  14:37</p-n>	Und er kommt und findet sie schlafend und spricht zu Petrus: Simon, schläfst du? Vermagst du nicht eine Stunde zu wachen?  
MAR 14:38	<p-n>@Markus  14:38</p-n>	Wachet und betet, damit ihr nicht in Versuchung fallet! Der Geist ist willig, aber das Fleisch ist schwach.  
MAR 14:39	<p-n>@Markus  14:39</p-n>	Und er ging wiederum hin und betete und sprach dieselben Worte.  
MAR 14:40	<p-n>@Markus  14:40</p-n>	Und als er zurückkam, fand er sie wiederum schlafend; denn die Augen waren ihnen schwer geworden, und sie wußten nicht, was sie ihm antworten sollten.  
MAR 14:41	<p-n>@Markus  14:41</p-n>	Und er kommt zum drittenmal und spricht zu ihnen: Schlaft ihr noch immer und ruhet? Es ist genug! Die Stunde ist gekommen! Siehe, des Menschen Sohn wird in die Hände der Sünder überliefert.  
MAR 14:42	<p-n>@Markus  14:42</p-n>	Stehet auf, lasset uns gehen! Siehe, der mich verrät, ist nahe!  
MAR 14:43	<p-n>@Markus  14:43</p-n>	Und alsbald, da er noch redete, erschien Judas, einer der Zwölf, und mit ihm eine große Schar mit Schwertern und Stöcken, von den Hohenpriestern und den Schriftgelehrten und den Ältesten.  
MAR 14:44	<p-n>@Markus  14:44</p-n>	Der Verräter aber hatte ihnen ein Zeichen gegeben und gesagt: Welchen ich küssen werde, der ist's, den ergreifet und führet ihn vorsichtig ab!  
MAR 14:45	<p-n>@Markus  14:45</p-n>	Und als er nun kam, trat er alsbald auf ihn zu und sprach: Rabbi, und küßte ihn.  
MAR 14:46	<p-n>@Markus  14:46</p-n>	Sie aber legten Hand an ihn und griffen ihn.  
MAR 14:47	<p-n>@Markus  14:47</p-n>	Einer aber von denen, die dabei standen, zog das Schwert, schlug den Knecht des obersten Priesters und hieb ihm ein Ohr ab.  
MAR 14:48	<p-n>@Markus  14:48</p-n>	Und Jesus hob an und sprach zu ihnen: Wie gegen einen Räuber seid ihr ausgezogen mit Schwertern und Stöcken, um mich zu fangen.  
MAR 14:49	<p-n>@Markus  14:49</p-n>	Täglich war ich bei euch im Tempel und lehrte, und ihr habt mich nicht gegriffen. Doch, damit die Schrift erfüllt würde!  
MAR 14:50	<p-n>@Markus  14:50</p-n>	Da verließen ihn alle und flohen.  
MAR 14:51	<p-n>@Markus  14:51</p-n>	Und ein Jüngling folgte ihm, der ein Leinengewand auf dem bloßen Leibe trug; und sie ergriffen ihn,  
MAR 14:52	<p-n>@Markus  14:52</p-n>	er aber ließ das Leinengewand fahren und entfloh nackt.  
MAR 14:53	<p-n>@Markus  14:53</p-n>	Und sie führten Jesus ab zum Hohenpriester; und alle Hohenpriester und die Ältesten und die Schriftgelehrten kamen [dort] zusammen.  
MAR 14:54	<p-n>@Markus  14:54</p-n>	Und Petrus folgte ihm von ferne bis hinein in den Hof des Hohenpriesters; und er saß bei den Dienern und wärmte sich am Feuer.  
MAR 14:55	<p-n>@Markus  14:55</p-n>	Die Hohenpriester aber und der ganze Hohe Rat suchten Zeugnis wider Jesus, um ihn zum Tode zu bringen; und sie fanden keins.  
MAR 14:56	<p-n>@Markus  14:56</p-n>	Denn obgleich viele falsches Zeugnis wider ihn ablegten, so stimmten die Zeugnisse doch nicht überein.  
MAR 14:57	<p-n>@Markus  14:57</p-n>	Und es standen etliche auf, legten falsches Zeugnis wider ihn ab und sprachen:  
MAR 14:58	<p-n>@Markus  14:58</p-n>	Wir haben ihn sagen hören: Ich will diesen mit Händen gemachten Tempel zerstören und in drei Tagen einen andern aufbauen, der nicht mit Händen gemacht ist.  
MAR 14:59	<p-n>@Markus  14:59</p-n>	Aber auch so war ihr Zeugnis nicht übereinstimmend.  
MAR 14:60	<p-n>@Markus  14:60</p-n>	Und der Hohepriester stand auf, trat in die Mitte, fragte Jesus und sprach: Antwortest du nichts auf das, was diese wider dich zeugen?  
MAR 14:61	<p-n>@Markus  14:61</p-n>	Er aber schwieg und antwortete nichts. Wiederum fragte ihn der Hohepriester und sprach zu ihm: Bist du der Christus, der Sohn des Hochgelobten?  
MAR 14:62	<p-n>@Markus  14:62</p-n>	Jesus aber sprach: Ich bin's; und ihr werdet des Menschen Sohn sitzen sehen zur Rechten der Macht und kommen mit den Wolken des Himmels!  
MAR 14:63	<p-n>@Markus  14:63</p-n>	Da zerriß der Hohepriester seine Kleider und sagte: Was bedürfen wir weiter Zeugen?  
MAR 14:64	<p-n>@Markus  14:64</p-n>	Ihr habt die Lästerung gehört. Was dünkt euch? Sie urteilten alle, er sei des Todes schuldig.  
MAR 14:65	<p-n>@Markus  14:65</p-n>	Und etliche fingen an, ihn zu verspeien und sein Angesicht zu verhüllen und ihn mit Fäusten zu schlagen und zu ihm zu sagen: Weissage! Und die Diener nahmen ihn mit Backenstreichen in Empfang.  
MAR 14:66	<p-n>@Markus  14:66</p-n>	Und während Petrus unten im Hofe war, kam eine von den Mägden des Hohenpriesters.  
MAR 14:67	<p-n>@Markus  14:67</p-n>	Und als sie Petrus sah, der sich wärmte, blickte sie ihn an und sprach: Auch du warst mit Jesus, dem Nazarener!  
MAR 14:68	<p-n>@Markus  14:68</p-n>	Er aber leugnete und sprach: Ich weiß nicht und verstehe auch nicht, was du sagst! Und er ging in den Vorhof hinaus, und der Hahn krähte.  
MAR 14:69	<p-n>@Markus  14:69</p-n>	Und als die Magd ihn sah, hob sie wieder an und sprach zu den Umstehenden: Dieser ist einer von ihnen!  
MAR 14:70	<p-n>@Markus  14:70</p-n>	Er aber leugnete wiederum. Und ein wenig nachher sprachen die Umstehenden abermals zu Petrus: Wahrlich, du bist einer von ihnen! Denn du bist ein Galiläer, und deine Sprache ist gleich.  
MAR 14:71	<p-n>@Markus  14:71</p-n>	Er aber fing an zu fluchen und zu schwören: Ich kenne diesen Menschen nicht, von dem ihr redet!  
MAR 14:72	<p-n>@Markus  14:72</p-n>	Da krähte alsbald der Hahn zum zweitenmal; und Petrus ward eingedenk des Wortes, das Jesus zu ihm gesagt hatte: Ehe der Hahn zweimal kräht, wirst du mich dreimal verleugnen. Und er verhüllte sich und weinte.   
MAR 15:1	<p-n>@Markus  15:1</p-n>	Und alsbald in der Frühe faßten die Hohenpriester mit den Ältesten und Schriftgelehrten und dem ganzen Hohen Rat einen Beschluß und führten Jesus gebunden hin und überantworteten ihn dem Pilatus.  
MAR 15:2	<p-n>@Markus  15:2</p-n>	Und Pilatus fragte ihn: Bist du der König der Juden? Er antwortete und sprach zu ihm: Du sagst es!  
MAR 15:3	<p-n>@Markus  15:3</p-n>	Und die Hohenpriester brachten viele Anklagen wider ihn vor.  
MAR 15:4	<p-n>@Markus  15:4</p-n>	Pilatus aber fragte ihn abermal und sprach: Antwortest du nichts? Siehe, wie vieles sie gegen dich vorbringen!  
MAR 15:5	<p-n>@Markus  15:5</p-n>	Jesus aber antwortete nichts mehr, so daß sich Pilatus verwunderte.  
MAR 15:6	<p-n>@Markus  15:6</p-n>	Aber auf das Fest pflegte er ihnen einen Gefangenen loszugeben, welchen sie begehrten.  
MAR 15:7	<p-n>@Markus  15:7</p-n>	Es lag aber ein gewisser Barabbas gefangen samt den Aufrührern, die im Aufruhr einen Mord begangen hatten.  
MAR 15:8	<p-n>@Markus  15:8</p-n>	Und das Volk zog hinauf und fing an zu verlangen, [daß er täte,] wie er ihnen allezeit getan.  
MAR 15:9	<p-n>@Markus  15:9</p-n>	Pilatus aber antwortete ihnen und sprach: Wollt ihr, daß ich euch den König der Juden freigebe?  
MAR 15:10	<p-n>@Markus  15:10</p-n>	Denn er wußte, daß die Hohenpriester ihn aus Neid überantwortet hatten.  
MAR 15:11	<p-n>@Markus  15:11</p-n>	Aber die Hohenpriester wiegelten das Volk auf, daß er ihnen lieber den Barabbas losgeben solle.  
MAR 15:12	<p-n>@Markus  15:12</p-n>	Pilatus antwortete und sprach wiederum zu ihnen: Was wollt ihr nun, daß ich mit dem tue, welchen ihr König der Juden nennet?  
MAR 15:13	<p-n>@Markus  15:13</p-n>	Sie aber schrieen wiederum: Kreuzige ihn!  
MAR 15:14	<p-n>@Markus  15:14</p-n>	Pilatus sprach zu ihnen: Was hat er denn Böses getan? Sie aber schrieen noch viel mehr: Kreuzige ihn!  
MAR 15:15	<p-n>@Markus  15:15</p-n>	Da nun Pilatus das Volk befriedigen wollte, gab er ihnen den Barabbas los und überantwortete Jesus, nachdem er ihn hatte geißeln lassen, daß er gekreuzigt werde.  
MAR 15:16	<p-n>@Markus  15:16</p-n>	Die Kriegsknechte aber führten ihn hinein in den Hof, das ist das Amthaus, und riefen die ganze Rotte zusammen,  
MAR 15:17	<p-n>@Markus  15:17</p-n>	legten ihm einen Purpur um, flochten eine Dornenkrone und setzten sie ihm auf.  
MAR 15:18	<p-n>@Markus  15:18</p-n>	Und sie fingen an, ihn zu begrüßen: Sei gegrüßt, König der Juden!  
MAR 15:19	<p-n>@Markus  15:19</p-n>	Und schlugen sein Haupt mit einem Rohr, spieen ihn an, beugten die Knie und fielen vor ihm nieder.  
MAR 15:20	<p-n>@Markus  15:20</p-n>	Und nachdem sie ihn verspottet hatten, zogen sie ihm den Purpur aus und legten ihm seine eigenen Kleider an und führten ihn hinaus, um ihn zu kreuzigen.  
MAR 15:21	<p-n>@Markus  15:21</p-n>	Und sie zwangen einen Vorübergehenden, der vom Felde kam, Simon von Kyrene, den Vater von Alexander und Rufus, ihm das Kreuz zu tragen.  
MAR 15:22	<p-n>@Markus  15:22</p-n>	Und sie brachten ihn auf den Platz Golgatha (das heißt übersetzt Schädelstätte).  
MAR 15:23	<p-n>@Markus  15:23</p-n>	Und sie gaben ihm Myrrhenwein zu trinken, aber er nahm ihn nicht.  
MAR 15:24	<p-n>@Markus  15:24</p-n>	Und nachdem sie ihn gekreuzigt hatten, teilten sie seine Kleider und warfen das Los darüber, was ein jeder bekommen sollte.  
MAR 15:25	<p-n>@Markus  15:25</p-n>	Es war aber die dritte Stunde, als sie ihn kreuzigten.  
MAR 15:26	<p-n>@Markus  15:26</p-n>	Und die Überschrift, welche seine Schuld anzeigte, lautete also: Der König der Juden.  
MAR 15:27	<p-n>@Markus  15:27</p-n>	Und mit ihm kreuzigten sie zwei Räuber, einen zu seiner Rechten und einen zu seiner Linken.  
MAR 15:28	<p-n>@Markus  15:28</p-n>	Da wurde die Schrift erfüllt, die da spricht: «Und er ist unter die Übeltäter gerechnet worden.»  
MAR 15:29	<p-n>@Markus  15:29</p-n>	Und die Vorübergehenden lästerten ihn, schüttelten die Köpfe und sprachen:  
MAR 15:30	<p-n>@Markus  15:30</p-n>	Ha, der du den Tempel zerstörst und in drei Tagen aufbaust, hilf dir selbst und steige vom Kreuz herab!  
MAR 15:31	<p-n>@Markus  15:31</p-n>	Gleicherweise spotteten auch die Hohenpriester untereinander samt den Schriftgelehrten und sprachen: Andern hat er geholfen, sich selbst kann er nicht helfen.  
MAR 15:32	<p-n>@Markus  15:32</p-n>	Der Christus, der König Israels, steige nun vom Kreuze herab, auf daß wir sehen und glauben! Auch die, welche mit ihm gekreuzigt waren, schmähten ihn.  
MAR 15:33	<p-n>@Markus  15:33</p-n>	Als aber die sechste Stunde kam, brach eine Finsternis herein über das ganze Land bis zur neunten Stunde.  
MAR 15:34	<p-n>@Markus  15:34</p-n>	Und um die neunte Stunde rief Jesus mit lauter Stimme: Eloi, Eloi, lama sabachthani? Das heißt übersetzt: Mein Gott, mein Gott, warum hast du mich verlassen?  
MAR 15:35	<p-n>@Markus  15:35</p-n>	Und etliche der Umstehenden, die es hörten, sprachen: Siehe, er ruft den Elia!  
MAR 15:36	<p-n>@Markus  15:36</p-n>	Einer aber lief und füllte einen Schwamm mit Essig, steckte ihn auf ein Rohr, tränkte ihn und sprach: Halt! laßt uns sehen, ob Elia kommt, um ihn herabzunehmen!  
MAR 15:37	<p-n>@Markus  15:37</p-n>	Jesus aber stieß einen lauten Schrei aus und verschied.  
MAR 15:38	<p-n>@Markus  15:38</p-n>	Und der Vorhang im Tempel riß entzwei, von obenan bis untenaus.  
MAR 15:39	<p-n>@Markus  15:39</p-n>	Als aber der Hauptmann, der ihm gegenüberstand, sah, daß er auf solche Weise verschied, sprach er: Wahrhaftig, dieser Mensch war Gottes Sohn!  
MAR 15:40	<p-n>@Markus  15:40</p-n>	Es sahen aber auch Frauen von ferne zu, unter ihnen auch Maria Magdalena und Maria, des jüngern Jakobus und Joses Mutter, und Salome,  
MAR 15:41	<p-n>@Markus  15:41</p-n>	die ihm, als er in Galiläa war, nachgefolgt waren und ihm gedient hatten, auch viele andere, die mit ihm nach Jerusalem hinaufgezogen waren.  
MAR 15:42	<p-n>@Markus  15:42</p-n>	Und da es schon Abend geworden (es war nämlich Rüsttag, das ist der Tag vor dem Sabbat),  
MAR 15:43	<p-n>@Markus  15:43</p-n>	kam Joseph von Arimathia, ein angesehener Ratsherr, der auch selbst auf das Reich Gottes wartete; der wagte es, ging zu Pilatus hinein und bat um den Leib Jesu.  
MAR 15:44	<p-n>@Markus  15:44</p-n>	Pilatus aber wunderte sich, daß er schon gestorben sein sollte, und rief den Hauptmann und fragte ihn, ob er schon lange gestorben sei.  
MAR 15:45	<p-n>@Markus  15:45</p-n>	Und als er es von dem Hauptmann erfahren, schenkte er dem Joseph den Leichnam.  
MAR 15:46	<p-n>@Markus  15:46</p-n>	Und dieser kaufte Leinwand, nahm ihn herab, wickelte ihn in die Leinwand und legte ihn in eine Gruft, die in einen Felsen gehauen war, und wälzte einen Stein vor den Eingang der Gruft.  
MAR 15:47	<p-n>@Markus  15:47</p-n>	Maria Magdalena aber und Maria, Joses' Mutter, sahen zu, wo er hingelegt wurde.   
MAR 16:1	<p-n>@Markus  16:1</p-n>	Und als der Sabbat vorüber war, kauften Maria Magdalena und Maria, des Jakobus Mutter, und Salome Spezereien, um hinzugehen und ihn zu salben.  
MAR 16:2	<p-n>@Markus  16:2</p-n>	Und sehr früh am ersten Tage der Woche kamen sie zur Gruft, als die Sonne aufging.  
MAR 16:3	<p-n>@Markus  16:3</p-n>	Und sie sagten zueinander: Wer wälzt uns den Stein von dem Eingang der Gruft?  
MAR 16:4	<p-n>@Markus  16:4</p-n>	Und als sie aufblickten, sahen sie, daß der Stein weggewälzt war. Er war nämlich sehr groß.  
MAR 16:5	<p-n>@Markus  16:5</p-n>	Und sie gingen in die Gruft hinein und sahen einen Jüngling zur Rechten sitzen, bekleidet mit einem langen, weißen Gewand; und sie erschraken.  
MAR 16:6	<p-n>@Markus  16:6</p-n>	Er aber spricht zu ihnen: Erschrecket nicht! Ihr suchet Jesus von Nazareth, den Gekreuzigten; er ist auferstanden, er ist nicht hier; sehet den Ort, wo sie ihn hingelegt hatten!  
MAR 16:7	<p-n>@Markus  16:7</p-n>	Aber gehet hin, saget seinen Jüngern und dem Petrus, er gehe euch voran nach Galiläa. Daselbst werdet ihr ihn sehen, wie er euch gesagt hat.  
MAR 16:8	<p-n>@Markus  16:8</p-n>	Und sie gingen hinaus und flohen von der Gruft; denn ein Zittern und Entsetzen hatte sie befallen; und sie sagten niemand etwas, denn sie fürchteten sich.  
MAR 16:9	<p-n>@Markus  16:9</p-n>	Als er aber früh am ersten Tage der Woche auferstanden war, erschien er zuerst der Maria Magdalena, von welcher er sieben Dämonen ausgetrieben hatte.  
MAR 16:10	<p-n>@Markus  16:10</p-n>	Diese ging hin und verkündigte es denen, die mit ihm gewesen waren, welche trauerten und weinten.  
MAR 16:11	<p-n>@Markus  16:11</p-n>	Und als diese hörten, daß er lebe und von ihr gesehen worden sei, glaubten sie es nicht.  
MAR 16:12	<p-n>@Markus  16:12</p-n>	Darnach offenbarte er sich zweien von ihnen auf dem Wege in einer andern Gestalt, da sie sich aufs Land begaben.  
MAR 16:13	<p-n>@Markus  16:13</p-n>	Und diese gingen hin und verkündigten es den übrigen; aber auch ihnen glaubten sie nicht.  
MAR 16:14	<p-n>@Markus  16:14</p-n>	Nachher offenbarte er sich den Elfen selbst, als sie zu Tische saßen, und schalt ihren Unglauben und ihres Herzens Härtigkeit, daß sie denen, die ihn auferstanden gesehen hatten, nicht geglaubt hätten.  
MAR 16:15	<p-n>@Markus  16:15</p-n>	Und er sprach zu ihnen: Gehet hin in alle Welt und prediget das Evangelium der ganzen Schöpfung!  
MAR 16:16	<p-n>@Markus  16:16</p-n>	Wer glaubt und getauft wird, soll gerettet werden; wer aber nicht glaubt, der wird verdammt werden.  
MAR 16:17	<p-n>@Markus  16:17</p-n>	Diese Zeichen aber werden die, welche glauben, begleiten: In meinem Namen werden sie Dämonen austreiben, mit neuen Zungen reden,  
MAR 16:18	<p-n>@Markus  16:18</p-n>	Schlangen aufheben, und wenn sie etwas Tödliches trinken, wird es ihnen nichts schaden; Kranken werden sie die Hände auflegen, und sie werden sich wohl befinden.  
MAR 16:19	<p-n>@Markus  16:19</p-n>	Der Herr nun, nachdem er mit ihnen geredet hatte, ward aufgenommen in den Himmel und setzte sich zur Rechten Gottes.  
MAR 16:20	<p-n>@Markus  16:20</p-n>	Sie aber gingen aus und predigten allenthalben; und der Herr wirkte mit ihnen und bekräftigte das Wort durch die begleitenden Zeichen.   
