#no sort
GEN 6:7	<p-n>@1. Mose  6:7</p-n>	Und der HERR sprach: Ich will den Menschen, den ich erschaffen habe, vom Erdboden vertilgen, vom Menschen an bis auf das Vieh und bis auf das Gewürm und bis auf die Vögel des Himmels; denn es reut mich, daß ich sie gemacht habe!  
GEN 6:8	<p-n>@1. Mose  6:8</p-n>	Noah aber fand Gnade vor dem HERRN.  
GEN 6:9	<p-n>@1. Mose  6:9</p-n>	Dies ist die Geschichte Noahs: Noah, ein gerechter Mann, war untadelig unter seinen Zeitgenossen; mit Gott wandelte Noah.  
GEN 6:10	<p-n>@1. Mose  6:10</p-n>	Und Noah hatte drei Söhne gezeugt: Sem, Ham und Japhet.  
GEN 6:11	<p-n>@1. Mose  6:11</p-n>	Aber die Erde war verderbt vor Gott und mit Frevel erfüllt.  
GEN 6:12	<p-n>@1. Mose  6:12</p-n>	Und Gott sah die Erde, und siehe, sie war verderbt; denn alles Fleisch hatte seinen Weg auf Erden verderbt.  
GEN 6:13	<p-n>@1. Mose  6:13</p-n>	Da sprach Gott zu Noah: Alles Fleisches Ende ist vor mich gekommen; denn die Erde ist durch sie mit Frevel erfüllt, und siehe, ich will sie samt der Erde vertilgen.  
GEN 6:14	<p-n>@1. Mose  6:14</p-n>	Mache dir eine Arche von Tannenholz; in Räume sollst du die Arche teilen und sie innen und außen mit Pech verpichen.  
GEN 6:15	<p-n>@1. Mose  6:15</p-n>	Und du sollst sie also machen: Dreihundert Ellen lang, fünfzig Ellen breit, dreißig Ellen hoch.  
GEN 6:16	<p-n>@1. Mose  6:16</p-n>	Ein Fenster sollst du der Arche machen; bis zu einer Elle unterhalb des Daches darf es reichen; aber die Tür der Arche sollst du an ihre Seite setzen. Du sollst ihr ein unterstes, mittleres und oberstes Stockwerk machen.  
GEN 6:17	<p-n>@1. Mose  6:17</p-n>	Denn siehe, ich will eine Wasserflut über die Erde bringen, um alles Fleisch, das lebendigen Odem in sich hat, unter dem ganzen Himmel zu vertilgen; alles, was auf Erden ist, soll untergehen.  
GEN 6:18	<p-n>@1. Mose  6:18</p-n>	Aber mit dir will ich meinen Bund aufrichten, und du sollst in die Arche gehen, du und deine Söhne und dein Weib und deiner Söhne Weiber mit dir.  
GEN 6:19	<p-n>@1. Mose  6:19</p-n>	Und von allem, was da lebt, von allem Fleisch, sollst du je zwei in die Arche führen, daß sie mit dir am Leben bleiben, und zwar sollen es ein Männchen und ein Weibchen sein;  
GEN 6:20	<p-n>@1. Mose  6:20</p-n>	aller Art Vögel und aller Art Vieh und von allem, was auf Erden kriecht, sollen je zwei von jeder Art zu dir kommen, damit sie am Leben bleiben.  
