 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
sicikwankwa	a person with diseased skin, e.g. *Ndakali kutandwa kubantuma mbuli sicikwankwa*. = I was driven away from my people as a person with a skin disease.
sicilenje	the larger partridge, e.g. *Nyama yasicilenje* ilanona. = The meat of the larger partridge is delicious. Also cikwalu-kwalu
sicilibwalibwa	the hole-dwelling spider, e.g. *Kuti wasubila sicilibwalibwa* inga wazimba cinswe. = If you urinate in a spider's hole your penis will swell. Also sibulibwalibwa, sicilibbwalibbwa.
sicilimelime	a learner of a language with incorrect atticulation or pronunciation, as a child, e.g. *Bana boonse munyika kwaambaula balatalika kwaamba wisi. Balatalika ataata taata*. Kuti mwana kwaambaula watalika kwaamba banyina, takaambauli kabotu kubupati. Uyooba *sicilimelime*, unooluma-luma kwaambaula. = All children all over the world begin to talk by saying 'father.' They start, " Father, father!" If a a child starts to talk about its mother, it will not speak well when it gets to an older stage. It will be a stutterer, biting words when speaking.
	one who ploughs everywhere, e.g. *Sicilimelime* wakalima muunda wangu. = The energetic plougher has ploughed my field.
sicilwazi	an unhealthy person, e.g. *Ooyu muntu ulibonya mbuli kuti ngusicilwazi*. = This person seems to be unhealthy. *Ooyu muntu ngusicilwazi citasilikiki*. = This person is suffering from an incurable disease.
sicimini	person with back bent inwards.
sicimpangwe	an insolent person, e.g. *Mwana waba Haamoonga ngusicimpangwe*. = The child of Haamoonga is insolent. Bantu bavwula kuuma *sicimpangwe*. = People are fond of beating an insolent person.
sicimpongwe	one disgarded then taken back, e.g. *Ooyu mwana ngusicimpongwe*. = This child was disgarded and taken back.
sicimuni	a bent-backed person, e.g. *Ncibi kuseka sicimuni inga wanyema*. = It is bad to laugh at a crippled person, he may become angry.
sicimwesyi	a left-handed person, e.g. *Sicimwesyi ubelesya lumwensyi zintu zyoonse*. = A left-handed person uses the left hand for everything.
sicinanta	a leper, e.g. *Sicinanta bakamutola kucibbadela caku Chikankata*. = They took the leper to the hospital at Chikankata. *Ndabona sicinanta wakanyongooka minwe yoonse*. = I saw a leper who had all his fingers destroyed.
sicindunta	a spring of water, e.g. Meenda twaateka kuli sicindunta. = We drew water at the spring. Inombe zinywa meendaa sicindunta. = The cattle drink the water from the spring. Also siciduunta
sicinduumuka	a waterbuck, e.g. Tuyanda kuya kukuvwima sicinduumuka wali kunywa meenda mudamu. = We want to go and hunt for a waterbuck which was drinking water at the dam.
sicinguni	an obstinate person, e.g. Mweene ngusicinguni, tamvwi kulaigwa. = Mweene is obstinate, he does not listen to advice.
sicinkangu	a rude, quarrelsome person, e.g. Mukande ngusicinkangu, ncobatamuyandili bantu. Mukande is a rude person, that is why peple do not like him.
sicinsangwe	a type of bird, the red bishop, e.g. Ndabula malekani nindauma sicinsangwe mumuumba. = I have no catapult, I could have hit that red bishop bird in the muumba tree. Toonse tulakumvwa kutangala kwasicinsangwe amintengwe kubucedo. = We will all hear the rejoicing of the red bishops and the swifts at dawn.
sicinsondo	a deranged person, mentally unbalanced, e.g. Sicinsondo wakalyatwa cimbayambaya jilo mumugwagwa uya ku Choma. = A deranged person was hit by a vanette yesterday on the road going to Choma.
sicinsuungwe	a mad dog, e.g. Kuti walumwa sicinsuungwe nkunywa miyanda yamutuntulwa. = If you are bitten by a rabid dog you should drink the roots of the mutuntulwa tree.
sicintanda	a naked person, e.g. Amumusamike zisani sicintanda oyo. = Put clothes on that naked person. Ncintu cibotu kupa cisani kuli sicintanda. = It is a good thing to give clothes to a naked person.
sicinzobe	a type of antelope e.g. Kwainda sicinzobe mumuunda okwesu. = An antelope passed through our field. Also situtenga, sicizobe.
sicipaama	a conceited person, e.g. Bantu tababayandi basicipaama. = People do not like conceited people.
sicipala	a girl who suffers from the complaint of stomach-pains during menstruation, e.g. Mukaintu sicipala takonzyi kumita. = A girl cannot conceive due to gynacological problems.
sicipansi	a small type of bee (makes honey in places on the ground called mabuwa,) e.g. Tuya kukulida buci bwasi-cipansi mubbuwa. = We are going to collect honey from the bee in the plain. Also haansi
sicipiila	an insect said to spit poison in one's eyes, e.g. Sicipiila wandipiila mumeso nitwali kusobana. = An insect spat in my eyes when we were playing.
sicipiizi	Also sicipiila
sicipongo	a wild boar, pl. basicipongo, e.g. Sicipongo waluma mubwa wabavwimi. = A wild boar has bitten the hunter's dog. Basicipongo baamana mapopwe mumuunda. = Wild boars have finished off the maize in the field. Also nkuntula
sicisantwe-santwe	a reckless, extravagant, wasteful person, e.g. Mutinta waba mucete nkaambo lyoonse wakali sicisantwe-santwe. = Mutinta has become poor because she was always a recklessly extravagant and wasteful person.
sicisapi	an insolent person, e.g. Ooyu mwaalumi ngusicisapi. = This man is insolent. Tandiyandi kuswaigwa sicisapi uyiisya bana matusi. = I do not like to be visited by an insolent person who teaches the children insulting words.
sicisunka	a type of bird, the knob-billed duck, e.g. Bataata bajaya sicisunka. = My father has killed a knob-billed duck.
sicisunu	one who breaks off big lumps of nsima, e.g. Bana baniini tabeelede kulya antoomwe asicisunu inga wabaima. = Little children ought not to eat together with a greedy person as he may eat even their share.
sicitebbelwa	larva, cocoon, nymph in cocoon, type of chrysalis, e.g. *Sicitebbelwa* ulaliyakila cakukkalila. = A nymph builds itself its own home. *Sicitebbelwa*
ubamba	nanda njumu. = A nymph makes a strong home.
sicitebeelelwa	larva, e.g. Mwana uyoowa *sicitebeelelwa* pesi talumi. = A child fears larva but it does not bite.
siciyongo	a wild pig, pl. basiciyongo, e.g. Basinombe baya kukuyandaula basilutuba, *basiciyongo* abatimba muzisaka. = The herders are going to look for white mongoose, wild pigs and small antelopes in the bush. Also sicipongo.
sicizobe	a type of antelope. Also sicinzobe
sicombolwa	the larger red ant, e.g. *Sicombolwa* wanyikila munkomeki ya mukupa. The large red ant drowned in a cup of milk.
sicoobe	a wildebeest, e.g. *Sicoobe* ngutwajana musyokwe mmukali. = The wildebeest which we found in the bush today is fierce. Nyama yasicoobe nimbotu kapati The meat of a wildebeest is delicious. Also munyumbwe
sicoolwe	a lucky person, e.g. *Sicoolwe*
wabwezela	mali munzila. = A lucky person found money on the path.
sicoombamilangu	a type of bird, the small plover, e.g. Mucoonde eciya kwali kulila *sicoombamilangu*. = A small plover was singing in that thicket.
sicoombolwa	the larger red-ant, pl. basicoombolwa, make hole and surround it with a wall of soil, e.g. nanda yabasicoombolwa ngamamvwu alambwa mukamufwu. = The house of the larger red-ant is the very soil with which a widow or widower is smeared. Also sicombolwa.
sicuubi	a large spider, e.g. *Sicuubi* ulya nzinini zyajatwa luubilili. = The spider eats flies which are caught in the web. Also sicuubilili, sicilibwalibwa
sicuubilili	a spider which spins a web outside from branch to branch, e.g. Kuli *sicuubilili* uzamba mumitabi yamibanga eyi lyoonse. There is a spider which spins a web on branches of these mibanga trees every day.
sidalyoombwa	a big-bellied person, a glutton, e.g. Mudaala ulya ngusidalyoombwa nkaambo kakulya kapati lyoonse. That old man has a big stomach because of always eating a lot.
sifwundwe	a pelican, e.g. *Sifwundwe* mmuyuni mubotu. = The pelican is a beautiful bird.
sigambaamba	a talkative person, e.g. Mukaintu wangu ngusigambaamba weelede kulaigwa. My wife is talkative and needs to be advised. Kuba sigambaamba ciletela kulitaya. To be talkative can lead to having yourself condemned.
sigumpu	a hornless animal, pl. basigumpu, e.g. Ndiyanda kumwaanina caano casiqumpu. = I want to tell you a story about the hornless one, i.e. the lion.
Ndajana	muntu uvwolekede basune balo basigumpu. = I found a man yoking oxen who were all hornless.
siindikazyano	an excellent dancer, e.g. *Siindikazyano* waku Monze nguwakabainda bazyani boonse aboobo wakapegwa bulumbu. = The talented dancer of Monze surpassed all the other dancers and so was given the prize. Mukaintu oyu ngusiindikazyano, kunyina cizyano ncatazyi. This woman is an excellent dancer, there is no dance which she does not know.
sijatwa	a plant with long rows of small inverted thorns along each branch, e.g. *Sijatwa* wandiyasa mumaanza nindali kutebba nkuni. = The thorny sijatwa plant pierced my hands when I was gathering firewood.
sijatwababi	a children's game with beetles, e.g. *Bana basobana sijatwababi munzila nobazyila kucikolo.* = The children play the beetle-game when they are returning from school.
	a sensitive insect with little protuberance on it's head, the knobbed-head insect, e.g. *Kauka nkaanga sijatwa-babi nkabotu kweebela.* = The little knob-headed insect is delightful to watch. **sijatwibabi.** Also sijatwababi.
sijembwe	a buck goat, e.g. *Sijembwe wesu walumwa kuli sijembwe wakutala amulonga.* = Our buck goat was attacked by the buck goat from across the river. *Oobu butanga bwampongo bujisi sijembwe mubotu.* = This herd of goats has a good buck goat.
	a boar Also mukume
sijolwi	 one who is hard to convince, e.g. *Aaba bana mbasijolwi nkaambo tabanyoneki kwaambilwa.* = These children are hard to convince, they do not correct themselves when they are told. (They are compared to the monitor lizard who will not turn aside but run into some object in its path.)
sijubi	a spider, e.g. *Sijubi wayaka luubilili lunji ananda yangu.* = The spider has spun a lot of cobwebs on my house.
sikaaka	a type of bird, the blue jay or purple roller, (the bird is a symbol of the ancestors and of death itself and it can represent the grandfather.) e.g. *Mapepe asikaaka asilisigwa bulwazi bwabana.* = The feathers of the blue jay heal children. *Kufwumbwa muntu ujaya sikaaka, ulapa kuli bausyi. Abalo bausyi balamupa mwanaabo isumo naa cipego cimwi.* = Whoever kills a blue jay, gives it to his father. The father then gives his child a spear or another gift. Also cikambwe, simikwekwe, sikkaaka.
sikaale	 a squirrel, e.g. *Sikaale umwi utula mumusamu uli kumuunda.* = One squirrel laid its eggs in a tree which is in the field. *Sikaale ulila kumwaka lyayanda kuboola mvwula.* = The squirrel cries from October to November when the rains are about to come.
sikaambo	defending lawyer, e.g. *Sikaambo wangu waambaula kabotu cakuti mulandu wandiinda.* = My defending lawyer spoke well so that I avoided being condemned. *Mulandu tauningatalika, sikaambo taningasika.* = The court has not begun to deliberate as the defending lawyer has not arrived.
sikaamboma	my accuser, my adversary, e.g. *Ndakaka mulandu nkaambo sikaamboma unditamikizya buyo.* = I denied the charge because my accuser was just slandering me.
sikaanda	young married man, e.g. *Sikaanda uciswa bulwazi bwantuntu-maanzi.* = The young married man has malaria. *Muntu wafwa wacili sikaanda.* = The person who died was a man just recently married. Also simusa **sikaaya** a type of bird, the blue jay, e.g. *Sikaaya ngweewuma wandizimina mpaawida.* = I cannot find where the blue jay fell which I hit. Also sikaaka.
sikabbilabbila	 a type of bird, the wimbrel, pl. *basikabbilabbila,* e.g. *Mucizyiba muli basikabbilabbila banji.* = There are many wimbrel birds in the pond.
sikabokoboko	a spirit, described as a person with one arm, one eye, one leg, e.g. *Caano casikabokoboko cilandikonda.* = The story of the one-armed, one-eyed, one-legged wood-spirit delights me.
	a one-armed person, e.g. *Sikabokoboko tajati kabotu jamba lyarnombe.* = A one-armed person cannot hold a plough properly.
sikabusumpe	a beetle, e.g. *Cuuno nceekafwala cakasumpwa asikabusumpe.* = The stool I carved has been holed by a borer beetle.
sikabwele	young plant used as salt source (Sporobolus fimbriatus), e.g. Baama tabacizyi kubamba munyo wasikabwele. = My mother does not know how to make salt from the young plant called sikabwele.
	a disturber of the peace, e.g. Sikabwele takkali kabotu abeenzinyina. = A distuber of the peace does not live well with his friends. Also sibunjaka
sikacapo-capo	one who exaggerates sikacilaajombe the widow bird, e.g. Basikacilaanombe bamwi bajisi meeye milamfwu. = Some widow birds have long tails. Also sikacilacila, zilitunda, sikanimba-nimba, sikacilakarjombe
sikacilacila	a type of bird, the widow, the male fly-catcher, e.g. Ndalikuluminizya sikacilacila ngweejaya. = I was eating nsima using a fly-catcher as relish.
sikacilakajombe	a small animal with a white tail living in the forest, e.g. Sikacilakanombe ukkala muloonde ulalya tuuka tuniini-niini. = The sikacilakarjombe lives in a dense forest and eats very small insects.
sikacilaŋombyo	a dormouse (an agile mouse-like rodent with a bushy tail, noted for spending long periods in hibernation), e.g. Basikacilanombyo banyonsya bana babo. = Dormice suckle their young. Also sikacilaŋombe
sikadinga	sable-bull antelope, e.g. Sikadinga wali kulwana amweenzinyina. = The sable-bull antelope was fighting with his mates.
sikafwulamwemvwe	snake (boom-slang), common tree snake, e.g. Ndajana sikafwulamwemvwe mumango ali amunzi. = I found a boomslang in the mango tree in the village. Also munyengwe sikafwuma sikafwuma wamwami = a courtier, e.g. Mwami watuma sikafwuma kuya kujata muntu. The chief sent his courtier to go and arrest the man.
sikakolyo	a type of bird, the heron.
sikakonze	a type of bird, the jackal buzzard, e.g. Sikakonze wabamana bana bankuku. = The jackal buzzard has finished off the chicks. (common name for several small birds, e.g. kanga sikakonze = a little sparrow hawk)
sikakwe	a stingy person, e.g. Ooyu mukaintu ngusikakwe, nkumusiya buyo. = This woman is mean, just leave her. Also muunyu, mulukutu.
sikalaka	a liar, e.g. Sikalaka wakwa Chisuwo uyakubetekwa cifwumo. = That liar of Chisuwo will be tried tomorrow. Muntu sikalaka takkalwi limwi ngusibunjaka. One cannot live with a liar, s/he is a trouble maker. Also sikalakalaka
sikalalu	a mad person, person e.g. Sikalalu mwaalumi twamupa nsima naayinda kwesu. We gave that insane man nsima when he passed our home.
	short-tempered person, e.g. Muntu unyema-nyema ngusikalalu. A person who gets angry easily is short-tempered.
sikalenda	a person with a speech inpediment, a stutterer, e.g. Bacembele babbabbalisya kwaambaula, mbaasikalenda. An old lady who stammers a lot when speaking has a speech impediment.
sikaleta	type of tree (leaves put on wounds), е.д. Mwana ulaa cicisa mumubikke sikaleta acicisa. Put leaves of the sikaleta tree on the child's sore.
sikaliide	irrigated maize, e.g. Sikaliide ulimwa kuli? Sikaliide ulimwa mutulonga. Where is the irrigated maize planted? The irrigated maize is planted near the river.
	one whose name cannot be inherited, e.g. Mbukuli kuti wakalisina wakaloogwa, tamenenwa muzimo, ngusikaliide. = Since he committed suicide he was bewitched, his name cannot be taken by anyone.
sikalumamba	a soldier, e.g. Umwi sikalumamba wakajaigwa ababbi ku Lusaka. = One soldier was killed by thieves in Lusaka. Ijilo twakali kuzikka sikalumamba wakafwa munkondo. = Yesterday we were burying a soldier who died in war.
sikalumbulumbu	a type of tree, e.g. Mukagonke ziyako zyasikalumbulumbu kutegwa tukayake cijikila. = Cut down the building-poles of sikalumbulumbu trees so that we build a kitchen.
sikalwalo	A sick person, e.g. Ndakatandwa mbuli sikalwalo. = I was chased like an infected person.
sikambotwe-mbotwe	a proud person who dresses finely, e.g. Akaambo kabusikambotwe-mbotwe, mali woonse ngaakavwolede Cheelo wakaamana kwaasowaila kuula tunona. = Because of his pride, all the money which Cheelo had earned was wasted on buying delicacies.
Kubaa sikambotwe-mbotwe	nkuba manji. = To be a lover of fine dress and luxury foods means one has plenty of money. Also sikampozela.
sikamembya	a kind of spear with barbs resembling the tail of a sparrow so that when it penetrates it is hard to remove, e.g. Badaala bayanda sikamembya wakuzezya. = The old man wants a spear with barbs to use for fishing. Isumo lyasikamembya lilakatazya kujwa. = It is hard to extract a spear with barbs. Also muumba.
sikami-kami	an arrogant person, e.g. Sikami-kami ulalisumpula akaambo kancinga njaakaula. = An arrogant person boasts of the bicycle he bought.
sikampafwa	a smaller kind of bat, e.g. Ndabona sikampafwa mumugonti wameenda. = I have seen a smaller species of bat in the well. Sikampafwa nkaseseko kalila masiku. = The sikapafwa is a smaller kind of bat which cries at night. Also sikaampaafwa
sikampozela	a person who eats luxuriously, e.g. Bantu bacete tabali basikampozela. = People who are poor do not feast with plenty of food. Also sikambotwe-mbotwe
sikancimwa	a hater of society, a misanthrope, e.g. Muntu sikancimwa takonzyi kukkala kabotu abantu bambi. = An unsociable person cannot live happily with other people. Ooyu muntu tajisi balongwe nkaambo ngusikancimwa. = This person has no friends because he is unsociable.
sikanimba-animba	a type of bird, the pin-tailed widow-bird, e.g. Bana, ngooyu sikanimbaanimba muyoke. = Children, here is a pin-tailed widow-bird, you can roast it. Basikanimba-animba bajanwa mu-mabuwa. = The pin-tailed widowbirds are found in the open plains which have few trees.
sikantaya	a steadfast persevering person, e.g. Sikantaya wakauzwidilizya mulimo wakwe wakuyaka nanda yamujulu. = The persevering person succeeded in building a house with an upstairs level.
sikantengezya	an abnormal additional finger, e.g. Mwanaangu wakali sikantengezya pesi bakamutenda kucibbadela. = My baby had an abnormal additional finger, but it was removed at the hospital.
sikanyemvwu-nyemvwu	an irritable person, e.g. Akaambo kakuti Mutinta ngusikanyemwu-nyemvwu mwana wakatija ngwaakali kulela. = Because Mutinta is an irritable person, the child she was looking after ran away. Musankwa oyo tavwiili kabotu, ngusikanyemvwu-nyemvwu. That boy does not answer properly, he becomes irritable. = sikanyetu-nyetu an irascible person, e.g. Kukkala amuntu sikanyetu-nyetu cilakatazya kapati nkaambo inga wiide kubwenta. To live with a truculent person is very difficult because he just gives out about anything. Komusosoloka oyo muntu ngusikanyetu-nyetu. = Keep away from that one, she is quick to get angry.
sikanzo	an inventor of new things, e.g. Mutandaambi sikanzo, oyu uwiika zilengwa zyabasikale. Do not call me an inventor of new things, one who ignores the customs of the ancestors.
sikanzumanana	a persevering tenacious person, e.g. Kubeleka milimo miyumu nkuba sikanzumanana. = You need to be a determined person to carry out hard tasks. Also sikanzumananwa, sikantaya, sikupusya
sikapepele	a whirlwind, e.g. Iguwo lyasikapepele lyakavwumbula caanda campongo izoona. = A whirlwind blew off the roof of the goats house the day before yesterday.
	radio, e.g. Bakaunka kwabo ciindi nobakatateelela cakacitika kuzwa muli sikapepele. She went home when she heard what had happened from the radio.
sikasaaza	a disrespectful person, pl. basikasaaza, e.g. Sikasaaza wali kweena mudaala uciswa musana. = The one who ☑ had no respect was mocking the old man with the sore back. Bantu banji balabatantamuka basikasaaza. Many people keep away from disrespectful persons.
sikasankwe-sankwe	an insolent person, e.g. Mweemba balamusulaika bantu nkaambo ngusikasankwe-sankwe. = People hate Mweemba because he is an insolent person.
sikasomona	a female recently delivered of her first born, the first-born, e.g. Ooyu mutumbu ngusikasomona. = This woman is the mother of her first-born baby. (Eeyi nombe ninsomona. = This cow has her first calf.)
sikasuntu	an epileptic, e.g. Kunyina musimbi wakali kuyanda kukwatwa kuli Mwiinga nkaambo wakali sikasuntu. = No girl wanted to be married to Mwiinga because he was an epileptic.
sikasuto-suto	one who plans and waits to do evil, e.g. Basankwa bakazwa ku Namwala bakali basikasuto-suto kapati. The boys who came from Namwala were planning and waiting to do evil.
sikataka	heavy rain, e.g. Tanaakali kuyeeya kuti mumwezi wa Kavwumbi-kaniini inga kwaboola yasikataka mbuli yaka-imikide anze. He did not expect such heavy rain in the month of October like the one which threatened outside.
sikatanda	one who eats privately, unmarried person, e.g. Mwana angu musimbi uyakuba sikatanda. = My baby girl will not marry.
sikatazalala	a disrespectful person, e.g. Bapati bakaamba kale kuti, ulileta amunzi tayaswi, ccita buyo sikatazalala. = The elders have already said that one who comes of his own accord to the village is not pierced, but rather only a disrespectful one.
sikatongo	owner of the original settlement, e.g. Chiluma ngosikatongo tayelede kupozegwa. Chiluma is the original owner of the land, he should not be removed. Also sibulongo, ulaanyika.
sikati	noon, day-time, e.g. Juunza sikati tuya kunkuni. We are going for firewood tomorrow at noon. Imvwula yakawa sikati jilo. The rain fell yesterday at noon. Bakamwale tiibakali kuzwa anze ciindi camasikati. The initiates never came out during the daytime.
sikatundu	a carrier, e.g. Ndagwaside mucembele sikatundu kubweza katundu wakwe. I assisted the old lady who was carrying her goods. Basikatundu bayumwide mandunduli manji. = The carriers are carrying a lot of luggage. Also sikatuundu
sikatunga	one who lives alone, e.g. Bantu basikatunga bayanda kulya balikke. = People who live alone want to eat alone.
sikatungu	one who lives alone, e.g. *Bamuka Simoonga mbaasikatungu.* = The wife of Simoonga lives alone. *Basikatungu bamwi mbaunyu.* = Some people who live alone are mean. Also *sikatunga*
sikaulu	a small type of bee, which lives in the ground e.g. *Tulomba cisisya tukasye sikaulu kumuunda.* = We are asking for something to dig with, so that we can dig up the small bee in the field. *Kamubweza jamba tukalide sikaulu okuya.* = Take a hoe so that we forage for honey over there.
sikaunga-mantongwe	a small insect making honey in trees, e.g. *Buci bwasikaungamantongwe bulanona.* = The honey of the *siakungamantongwe* insect is sweet. *Mwana watoogwa sikaungamantongwe.* = A small insect has entered the child's eye.
sikaumba	an archer, e.g. *Basikaumba balicizyi kuyasa banyama.* = Archers know how to kill animals. Also *sibuta*.
sikazikezike	one held as hostage, slave, e.g. *Sikazikezike bakamuuma basimalelo bakwe naakatiitije kujokela kwabo.* = The owner beat the captive when she tried to escape home. *Mwaalumi oyu ulaa micito yasikazikezike.* = This man has the work of a slave.
sikazwa	an evil spirit, e.g. *Chilala wakanjidwe sikazwa mubi ncaakali kutukila bantu.* = Chilala was possessed by an evil spirit that is why he was insulting people. Also *ceelo*
sikela	a sickle, (Eng.) e.g. *Sikela lyandinenga nitwali kujwa bwizu.* = The sickle cut me when I was slashing grass. Also *isaha, ijekeso.*
sikeela	the last born, e.g. *Ooyu mwana ngusikeela.* = This child is the last born.
Cimwi ciindi	muntula ujisi mambeke manji kapati.* = Sometimes the last born is very spoilt.
sikili	a type of bird, the blue sprew, e.g. *Amundijatile sikili oyu waloka kuzwa kucisamu.* = Fetch me that blue sprew bird which has fallen from the tree.
siko	a fish-trap, e.g. *Umwi mukaintu wakabweza siko lyakwe akuya kumulonga kuya kuzela.* = One woman took her fishtrap and went to the river to fish. Also *moono*
sikolyo	a type of bird, the goliath heron, e.g. *Sikolyo ulaa mai manji muciteente cakwe.* = The heron has many eggs in its nest.
sikombo	a spear which has a long barb, e.g. *Isumo lyasikombo ndibotu kujazya banyama bapati.* = A spear with a long barb is good for killing big animals with. Also *kacikombo*.
sikomoka	a cloth half-skirt of cotton print, pl. *basikomoka*, e.g. *Basimbi tabeelede kusama basikomoka.* = Girls should not wear short skirts. Also *kunamunkana, ntebwe.*
sikomwa	a thorn bush, e.g *Mweenzu bakamutanda kwiinda mukumubikkila kasanzu kasikomwa acitendele.* = They chased the visitor by fixing a thorn branch of a *sikomwa* tree on his doorway. (indicating that he is no longer wanted in the village because of his behaviour) Also *mucecete*.
sigonkwe	shiver, e.g. *Ndabaa sigonkwe mumagondo* = My knees are shivering. (verb: *-zyangama, -kankama, -tuntuma*)
sikonkobele	a hopping race, e.g. *Basicikolo bali kuzundana sikonkobele.* = The pupils were competing in the hopping competition.
sikoswe	a type of rodent, e.g. *Sikoswe wazimana ndongwe murganda.* = The big rat has finished off the groundnuts in the house. *Kamumujaya sikoswe oyo tulisye nsima.* = Kill that big rat so that we eat it with nsima.
sikubalibuyuna	a spitting-cobra, e.g. *Mwana wapiilwa sikubalibuyuna mumeso.* = The child was spat in the eyes by a spitting-cobra. Also sibukalibuyuuna
sikube	a type of bird, the common vulture, pl. basikube, e.g. *Sikube ulya mutumba wambelele musyokwe.* = The vulture is eating the carcass of the sheep in the bush. *Basikube nobalya mutunta wanombe tabalyatani.* When the vultures are eating the carcass of a cow they do not step on one another. Also *ikubi*, pl. *makubi*; *itulula-nzovwu* = large vulture; *Bantanga* = vulture clan.
sikubisya	a wrong-doer, e.g. *Sikubisya lyoonse nguupegwa cisubulo.* = A wrongdoer always is the one to receive punishment. *Mweenzuma ncayendela muntolongo lyoonse ngusikubisya.* = My friend is a criminal, that is why he is always going to prison.
sikucengezya	a deceiver, e.g. *Bacembele bakamupa mali sikucengezya ngaakali kulomba kukweleta kwiinda mukucengwa.* = The old woman gave the trickster the money he was asking deceptively on loan. *Utamumvwi ncaamba oyo ngusikucengezya.* = Do not listen to what that deceiver is saying.
sikucinga	one who meets another, e.g. *Ku Lubombo twakabajana basikucinga balalindila.* = At Lubombo we found those who were waiting to meet us. *Sikucinga nguwatumusya kusika kucibbadela.* = The one we had arranged to meet delayed us in going to the hospital.
sikufwa	a dead person, pl. basikufwa, e.g. *Sikufwa wakafwa nsondo yakamana, uyakuzikkwa juunza.* = The deceased died last Sunday and will be buried to morrow.
	*mwanaa sikufwa* = an orphan, pl. *bana babasikufwa*, e.g. *Bamwi bantu bapenzya bana babasikufwa.* = Some people make the orphans suffer.
sikufwidwa	a widow, a widower, e.g. *Mutinta sikufwidwa mulumi bakamunyanga zyoonse zintu banamulumi.* = The husband's relatives took all the property from the widow Mutinta. *Sikufwidwa ulalila munanda alikke.* The widow is crying alone in the house.
sikufwumpa	a raider, a snatcher, pl. basikufwumpa, e.g. *Sikufwumpa wakabba nombe zyabaacisya masiku ajilo.* = A rustler stole my uncle's cattle last night.
Mweenzu wakabbidwa	aufwumpa.* = The visitor was robbed by bandits.
sikukolwa	a drunkard, pl. basikukolwa, e.g. *Mainza sikukolwa wakawa cibyaabi ancinga jilo.* = The drunkard Mainza had a terrible fall from his bicycle yesterday.
Basikukolwa bakandijaila	kanango.* = The drunkards killed my goat's kid.
sikulanga	a supervisor, inspector, e.g. *Mulimo ujisi sikulanga mubotu ubelekwa kabotu.* The work which has a good supervisor is done well. *Sikulanga maanda akayakwa wakaamba kuti yomwe yeelede kudilimunwa nkaambo taiyakidwe kabotu.* The inspector of the houses which were built said that one ought to be demolished as it is not built well.
sikule	a bunch of mealie-cobs, a drying bundle of maize, e.g. *Ndiletele lyomwe ali sikule alya.* Bring me one cob from the pile of mealie-cobs over there. Also *cilwi*
	a maize-drying stand made of wood and fibres, e.g. *Kamuyanika mapopwe acisikule eciya.* Dry the maize on that maize-dryer.
sikulela	a minder, a nurse, pl. basikulela, e.g. *Basikulela bamucaala balaa myoyo mitete.* = Nurses of orphans have tender hearts. *Sikulela mwanaangu waciswa mutwe sunu.* = My child's nurse has a headache today.
sikulemba	an author/writer, pl. basikulemba, e.g. *Sikulemba mabbuku akubala* mmuntu ulaa busongo bunji. = The author of novels has much intelligence.
Basikulemba mabbuku	balat nkaambo tabapegwi mali._ = The writers of books are disappointed because they are not given money.
Sikulenga	the Creator, e.g. _Sikulenga nyika yoonse ulaa nguzu alimwi aluyando lupati._ = The creator of the whole world has powers and great love.
sikulidunda	one who is proud of his belongings, e.g. _Sikulidunda buvwubi bwarjombe wakatyompwa nozyakamana kufwa zyoonse._ = The proud owner of cattle was disappointed when they all died. _Sikulidunda buyo kunyina ncacita._ = She is just proud but she does nothing.
sikulinga	a beggar, e.g. _Sikulinga busu watumide kale bana kuzikulomba._ = The one begging mealie-meal sent the children out early to beg. Ncibi kuba sikulinga lyoonse, ncibotu kulibelekela. = It is bad to be always a beggar, it is good to work for oneself.
sikulima	a farmer, e.g. _Sikulima buluba wakatebula masaka ali osanwe buyo._ = The cotton-farmer harvested only five bags. Also _mulimi_
sikulitumika	a person low in selfesteem, e.g. _Ooyu muntu ngusikulitumika pesi nguuyinda kuvwuba._ = This man has low self-esteem, however he is the richest.
sikuloba	a dead person, e.g. Kuli ziimbo bantu nzyibakaanza kutembaula Cheelo sikuloba. = There are songs which people composed to honour the deceased Cheelo. _Ooyu mwana mmwanaa sikuloba._ = This child is the child of a dead person. Also _mufwu_
sikuluka	a weaver, e.g. _Sikuluka myoono ulamana yobilo abuzuba._ = The weaver of fishing-baskets finishes two per day. _Sikuluka zisuwo ulukide kale zili ciloba._ = The weaver of baskets has already woven seven.
sikulwisya	an opponent, e.g. Bamutanda sikulwisya watumidwe kuzikulanga cisi cesu mbocipona. = They have chased away the enemy who was sent to spy on our country. Amunyamuke, ngooyu wasika sikulwisya. = Rise up, here the enemy arrives.
sikulya muzimo	the one who 'eats' or inherits the spirit of the dead person. e.g. Nobakabungana bamadaala abamacembele bakalikuyanda kusala sikulya muzimo. = When the elderely men and women gathered they wanted to choose one who would inherit the spirit of the dead person. Also sikwaanga cifwuwa.
sikumana	a diseased person, e.g. Mudaala wakajula muswaangano kwiinda mukupiila mizimo yabasikumana munsi acisamu cipati. = The old man opened the meeting by praying to the spirits of the dead beside a big tree. Also basikuloba
sikuminzya	a sower, e.g. _Sikuminzya wakaminzya nsangu zyatantaacuulu._ = The sower planted rape-seed.
sikumulomo	a talkative person, e.g. Amumusiye alikke oyo, ngusikumulomo. = Leave her alone, she is too talkative.
