 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
Beetwa	the name of a clan whose totem is the goat. This clan is praised thus; Mbananandu, bana koona mulonga. e.g. Muka Moonga uzyalwa ku Beetwa. = Mukamoonga's patrilineal line is the Beetwa clan. Sena mumunzi ooyu nkobali Beetwa banji? Are there many of the Beetwa clan in this village?
bembelekwa	verge, edge, abembelekwa = on the verge of a precipice Also abambalikwa benkanene
castor-oil	plant, e.g. Tuyanda kusyanga benkanene mumbewu. = We want to plant castor-oil plants in the garden. Also ibbona.
beula	a European axe (ety. Dutch), pl. mabeula, e.g. Kondikwengela beula lyangu. = Sharpen my axe. Also bbeula.
beya	a type of bird (the button-quail), pl. babeya, e.g. Nitwakacili bana twakali kuyandisya kuvwima babeya. = When we were children we used to like hunting button-quails. (The button-quail runs through the grass quickly in a hunched position.) Also bbeya
bonga	a plant, the bulb when-cut in strips is eaten raw, pl. mabonga.
bonge	a plant (Disperma sp.) pl. mabonge, a salt source by ash infiltration. Also mweenge (a type of grass out of which salt is made by burning it.) bongo brains, mind, e.g. Bulwazi bwakasika kubongo, ncaakafwa Chizanda. = The disease reached the brain, that is why Chizanda died. Kamujula bongo bwanu akuyeeya kuti nkweli amunzi ano
nokuba	kuti mundizikke kunamaumbwe. = Open your mind and remember that I am present here in this village even though you bury me at the graveyard.
boofwu	blindness, e.g. Boofwu buboola kapati mubucembele. = Blindness comes especially in old age.
boombe	cold feeling in legs, e.g. Ndafwa boombe. = I have a cold feeling in the legs.
	pl. of moombe, a calf.
boombo	sexual impotence or infertility, e.g. Ooyu mwaalumi ulaa boombo. = This man is impotent. e.g. Musimbi waboombo tayandiki kukwata. = A barren woman is not sought for marriage. Also ngomwa, e.g. Ooyu mwaalumi ningomwa. = This man is impotent.
boome	cold feeling in legs, e.g. MuIwazi umvwa boome. The patient has a cold feeling in the legs. Also boombe
booneki	kingdom, kingship, (Ila) e.g. Muntu utaciti ciyanda Leza, takabuboni booneki bwakujulu. = A person who does not do the will of God, will not see the kingdom of heaven. Also bwami
boongo	strips of palm as used for sewing baskets, boongo bwamalala Also intima zyamalala.
boongozyi	old age, e.g. Boongozyi bupa kuciswa-ciswa. Old age makes one susceptible to illness. Also bucembele
Boono	the name of a clan whose totem is the cow. Also Bakonka
bowa	edible mushrooms, e.g. Imwi misyobo yabowa ilaligwa. Some types of mushroom are edible. e.g. mbuli baceenda-bulima, owananda, bakabbanza, bakambuwa-mbuwa, banankupwi, inyabonyabo, bakalowa-boombe, baka-pyu-pyu balamba-lamba, bacikanda, bacisamu (grows in bunches where a tree has been), idubansya (ijubasya) (giant-mushroom), indyu = perfectly white; busise, bwidu = very small, growing in fields; basyaansyuukwa, caampano, cipande, kabozu-kamomba; cikuuku or ciguugu = mushrooms just coming out of the ground;
	inedible mushrooms, e.g. Imwi misyobo yabowa tailigwi. = Some types of mush-room are inedible, e.g. basuntula, bakalizya-ngoma (produces black juice); basunkula-nameele (any type of poisonous mushroom.
	cowardice/fear, e.g. Mwanaangu musankwa ulaa bowa. = My son is full of fear. Also mowa, (Muntu mowa taumwi-umwi. = A coward is not often beaten.) Suntwe mowa nguuongola. (proverb) = The cowardly hyena lives long.)
boya	an animals hair, fur, or wool, e.g. Mapayi aalaa boya alakasaala kapati. = Blankets of hair-wool are very warm. Suntwe amukaintu wakwe abana bakwe bakayoowa kuzwa anze akaambo kaboya bwamulavwu mbubakabwene akkoma. = The hyena, his mate and cubs feared to come out of the house because of the hair of the lion which they saw at the door.
	hair on a person's body, e.g. Ooyu mwana ulaa boya amubili. = This child has a hair on its body.
bubala	small spots, e.g. Muntu wakali kuciswa ntomba ulaa bubala amubili. = The person who had chickenpox has spots on the body.
	construction of new village, e.g. Bubala mmulimo muyumu kapati. = Starting off a village is a very hard task. bubale a grass or wooden head-pad for carrying firewood, e.g. Amundibambile bubale mbweze cileye cankuni. = Can you make me a head-pad so that I can carry a bundle of firewood. Kondibikka bubale amutwe, njumune nkuni. = Put a pad on my head so that I can carry the firewood. Also cibale, nkata.
bubamba	a dancing belt of skins and pieces of metal, e.g. Basimbi tiibakazyana kabotu nkaambo tiibakalyaangide bubamba muzibuno zyabo. = The girls did not dance well because they had not tied dancing belts on their waists. Also mukaku, bungwele
bubange	After the ancient custom of knocking out the front teeth, the section of the gums remaining was called bubange. e.g. Kuzwa nindakabangwa, bubange bulacisa. = Since my teeth were knocked out the gums are sore. Also bubanje.
bubangu	a medicine for dogs to make them fierce, e.g. Babwa bakapegwa bubangu mbakali kapati. = The dogs who were given medicine to make them fierce are very vicious. Also lubangu.
bubbale	sticks joined together to support load carried on head, e.g. Kondibikka bubbale amutwe njumune nkuni. = Put a head-pad of sticks for me on my head so that I can carry the firewood. Also bubale, cibbale
bubbi	robbery, e.g. Bubbi munyika bwakomena, buya kumbele. Robbery is increasing in the world, it is going further.
bubbila	west, e.g. Izuba libbilila kububbila. = The sun sets in the west. Twasweeka! Tutozye kububbila. Tutobelezye zuba. We are lost! We should go westwards. We should follow the sun. Also mabbililo.
bubboli	a liquid which exudes from a secretion gland which lies below the eyes of certain animals like duikers. e.g. Muwezi wakajana bubboli acisamu mpoilicuusya insya. The hunter found the secretion on a tree where the duiker had rubbed itself. Also buboli.
bubemba	a sharp edge as of knife, blade or spear, e.g. *Bubemba bwacipeni tabubosyi pe.* = The blade of the knife is not sharp. *Bubemba* Bembaland, e.g. *Bantu bazwa ku Bubemba tabalimi mapopwe manji.* = People who come from Bembaland do not plant much maize.
bubi	evil, e.g. *Bubi bwasyuumbwa nkuluma.* = The badness of the lion is in its ability to bite.
	be busy, e.g. *Sunu ndajisi bubi, ncindamuka kusika kumulimo.* = Today I have been busy, that is why I am late for work.
	pregnancy, e.g. *Cilatondwa mu Chitonga kwaambaula makani aamulandu kuti mwana kacili bubi, ategwa baya kwaambaula akuba kabotu.* = It is taboo in Chitonga to talk about a court-case if the girl is still pregnant, it is said that they will talk about it when she is well.
	be filled with sexual desire, e.g. *Naakacenguluka Chaalama akubona musimbi wakwe, wakamvwa walimvwa bubi.* = When Chaalama turned around he saw his girl-friend, he was filled with desire.
bubili	a pair, e.g. *Twakeenda bubili kuya kudilwe kumbo aamulonga.* = We went, the two of us, to the funeral west of the river.
buboli	receding eyes, e.g. *Mwiinga ulaa buboli.* Mwiinga has receding eyes. *Bantu balaa buboli bwameso bakozya basokwe.* People with receding eyes resemble monkeys. Also *bubboli*.
bubulobulo	 a collection of nails, screws and bolts, e.g. *Jamba lyanombe lilaa bubulo-bulo bunji.* A plough has many screws and bolts.
bubumbi	pottery, e.g. *Bubumbi bwacisi bweelede kusumpulwa kutegwa bubote kwiindilila.* Traditional pottery ought to be improved so that the artistry increases.
bubotu	goodness, virtue, beauty, e.g. *Kunyina bubotu bujanwa mukulwana.* = There is no virtue to be found in fighting. *bubwa* dogishness, canine, e.g. *Bubwa bwabantu bamwi nkubbida babagwasya.* = Some people have a doggish trait in that they steal from those who help them.
bucaaca	ear-rings, e.g. *Kondibikka bucaaca kumatwi.* Put the ear-ornaments on my ears. e.g. *Basimbi bamunjanji balayandisya kusama bucaaca kumatwi.* = Prostitutes are fond of wearing ear-rings. Also mankwinta-nkwinta.
bucaala	 orphanhood, e.g. *Bucaala bwakomena munyika yoonse akaambo kabulwazi bwasikalileke.* Orphanhood has grown throughout the world because of the disease of AIDS. Also *bumucaala*.
